subset,active_n,native_core,identity_address_auc,identity_weave_auc,identity_weave_auc_sd,identity_hybrid_auc,identity_hybrid_auc_sd,fresh_weave_auc,fresh_weave_auc_sd,fresh_hybrid_auc,fresh_hybrid_auc_sd,fresh_address_auc,fresh_native_jaccard,native_core_retention,edge_jaccard
full_28719,28719,821,0.661638,0.590344,0.005654,0.659772,0.002002,0.911037,0.005576,0.912342,0.005648,0.516762,0.002526,0.003045,0.000092
interior_75pct,21539,208,0.660547,0.829696,0.004093,0.854559,0.002916,0.911686,0.006771,0.913676,0.005442,0.523886,0.002883,0.004808,0.000092
