vertex_id,substrate,depth,resultant_mag,net_drift,direction_spread,resultant_x,resultant_y,degree,depth_bin
0,AB_N30,0.9590168678298647,0.1275611441216966,0.12756114412291,2.0293641701725202,0.04881553646666664,0.11785113020000003,6,"(0.957, 0.977]"
1,AB_N30,0.3122533117435896,0.8047378541243652,0.8047378541307065,0.6591489993124834,0.5690355937333333,-0.5690355937333333,3,"(0.299, 0.319]"
2,AB_N30,0.3033645729093277,0.8047378541243652,0.8047378541333333,0.6591489993124834,-0.8047378541333333,0.0,3,"(0.299, 0.319]"
3,AB_N30,0.4422132289590407,0.6532814824381883,0.6532814824444025,0.9227645227127335,-0.25,-0.6035533906,4,"(0.439, 0.459]"
4,AB_N30,0.6838151454858231,0.307959844170429,0.30795984417335837,1.5347872038657673,-0.11785113020000003,-0.2845177968666667,6,"(0.678, 0.698]"
5,AB_N30,0.084216310696828,0.8047378541243652,0.8047378541307065,0.6591489993124834,0.5690355937333333,-0.5690355937333333,3,"(0.0798, 0.0998]"
6,AB_N30,0.23606664991016402,0.8047378541243652,0.8047378541333333,0.6591489993124834,-0.8047378541333333,0.0,3,"(0.219, 0.239]"
7,AB_N30,0.17732731883551145,0.6532814824381883,0.6532814824444025,0.9227645227127335,-0.25,-0.6035533906,4,"(0.16, 0.18]"
8,AB_N30,0.9173027484405163,0.307959844170429,0.30795984417335837,1.5347872038657673,-0.11785113020000003,0.2845177968666667,6,"(0.897, 0.917]"
9,AB_N30,0.39385973104010563,0.6532814824545203,0.6532814824539697,0.9227645226856411,0.6035533906,-0.250000000025,4,"(0.379, 0.399]"
10,AB_N30,0.2996714081441333,0.8047378541243652,0.8047378541333333,0.6591489993124834,-0.8047378541333333,0.0,3,"(0.299, 0.319]"
11,AB_N30,0.5466385543571086,0.4828427124887612,0.4828427124925661,1.2067015582845637,-0.34142135624000003,-0.34142135626000003,5,"(0.539, 0.558]"
12,AB_N30,0.7993585433349543,1.2500028789861067e-11,2.500000206852468e-11,7.075073481152709,-2.7755575615628914e-17,2.5000002068509275e-11,8,"(0.798, 0.818]"
13,AB_N30,0.18256792478408634,0.8047378541243652,0.8047378541307065,0.6591489993124834,0.5690355937333333,-0.5690355937333333,3,"(0.18, 0.199]"
14,AB_N30,0.2762056263772147,0.8047378541410318,0.8047378541333333,0.6591489992810631,-0.8047378541333333,3.33333360913457e-11,3,"(0.259, 0.279]"
15,AB_N30,0.28843428108681735,0.6532814824381883,0.6532814824444025,0.9227645227127335,-0.25,-0.6035533906,4,"(0.279, 0.299]"
16,AB_N30,0.8028447455575952,0.4828427124746191,0.48284271248,1.2067015583088356,-2.2204460492503132e-17,0.48284271248,5,"(0.798, 0.818]"
17,AB_N30,0.46270242445821885,0.6532814824381883,0.6532814824444025,0.9227645227127335,0.6035533906,-0.25,4,"(0.459, 0.479]"
18,AB_N30,0.27716426796292226,0.6532814824381883,0.6532814824444025,0.9227645227127335,-0.6035533906,0.25,4,"(0.259, 0.279]"
19,AB_N30,0.6438830818063885,0.482842712474619,0.482842712478424,1.2067015583088359,-0.34142135624000003,-0.34142135624000003,5,"(0.638, 0.658]"
20,AB_N30,0.9138996707145289,2.7755575615628914e-17,2.7755575615628914e-17,7.433841737616615,-2.7755575615628914e-17,0.0,8,"(0.897, 0.917]"
