substrate,n_interior,spearman_depth_vs_resultant,spearman_depth_vs_drift,spearman_depth_vs_spread,mean_resultant_shallow,mean_resultant_mid,mean_resultant_deep,mean_drift_shallow,mean_drift_mid,mean_drift_deep
AB_N30,16999,-0.7212172739284339,-0.7217110736381884,0.7039110091691706,0.7797965002025969,0.6560117236392653,0.20267499724963187,0.7797965002018591,0.6560117236392147,0.2026749972524803
Penrose_N24,21539,-0.7810337762823405,-0.7826081999568354,0.7791487220391721,0.8263579640538182,0.6670923898348038,0.10258511661896283,0.8263579640551557,0.6670923898348528,0.10258511662195526
