depth_bin,n,mean_depth,mean_resultant,mean_drift,mean_spread,mean_degree,substrate
"(-0.000956, 0.02]",16,0.011644774946365087,0.776339784435909,0.7763397844326562,0.7085769099448403,3.1875,AB_N30
"(0.02, 0.0399]",39,0.032465924610294856,0.7775533771535957,0.7775533771510756,0.7064646060793355,3.1794871794871793,AB_N30
"(0.0399, 0.0599]",101,0.05061035413504828,0.7882426057218515,0.7882426057209153,0.6878596008726661,3.108910891089109,AB_N30
"(0.0599, 0.0798]",206,0.07067881755751815,0.7915038022288179,0.7915038022275013,0.682183365436096,3.087378640776699,AB_N30
"(0.0798, 0.0998]",252,0.08991593756340499,0.7825002122476863,0.7825002122457521,0.6978544531490573,3.1468253968253967,AB_N30
"(0.0998, 0.12]",248,0.10981728597166583,0.7845843853105896,0.7845843853100729,0.694226871379282,3.1330645161290325,AB_N30
"(0.12, 0.14]",346,0.13028135930721577,0.7828510952093168,0.7828510952083126,0.6972437281291946,3.1445086705202314,AB_N30
"(0.14, 0.16]",400,0.15009118519173198,0.7789902709374938,0.7789902709371553,0.703963638291006,3.17,AB_N30
"(0.16, 0.18]",397,0.16987559110744554,0.7757436872528035,0.7757436872527212,0.7096144395596841,3.191435768261965,AB_N30
"(0.18, 0.199]",409,0.1897890289672884,0.7699288102641778,0.7699288102638012,0.7197354521246726,3.229828850855746,AB_N30
"(0.199, 0.219]",428,0.20943349516033266,0.7714740715574742,0.771474071556875,0.7170458666019193,3.2196261682242993,AB_N30
"(0.219, 0.239]",504,0.2297511061961069,0.7668737612029606,0.766873761202859,0.7250528801623516,3.25,AB_N30
"(0.239, 0.259]",573,0.24906079958856972,0.7642966239875165,0.7642966239865806,0.7295384846197297,3.2670157068062826,AB_N30
"(0.259, 0.279]",574,0.2693269289001386,0.7600890013222579,0.7600890013220253,0.7367681954719174,3.294425087108014,AB_N30
"(0.279, 0.299]",618,0.2892768505558932,0.7597845444066447,0.7597845444062222,0.7372176579922912,3.296116504854369,AB_N30
"(0.299, 0.319]",643,0.30909197840206637,0.7562152840355834,0.7562152840355534,0.7436043613964518,3.3203732503888026,AB_N30
"(0.319, 0.339]",644,0.32877365070809733,0.7478241243917515,0.7478241243917978,0.7582094910242636,3.375776397515528,AB_N30
"(0.339, 0.359]",653,0.3491637908762342,0.7446160854261852,0.7446160854261014,0.7637107385177632,3.3966309341500764,AB_N30
"(0.359, 0.379]",611,0.3689946330421611,0.734587030577975,0.7345870305782594,0.7812491517210723,3.463175122749591,AB_N30
"(0.379, 0.399]",594,0.3890154188939682,0.7294108187129951,0.7294108187123003,0.7900772311050678,3.4966329966329965,AB_N30
"(0.399, 0.419]",554,0.40858550484689904,0.7111367235982042,0.7111367235982604,0.8219964244739457,3.6173285198555956,AB_N30
"(0.419, 0.439]",555,0.4291073777264896,0.7075860091709041,0.7075860091710863,0.8278788001746965,3.637837837837838,AB_N30
"(0.439, 0.459]",546,0.44888973991086967,0.692910910083851,0.6929109100832171,0.8530193358317474,3.730769230769231,AB_N30
"(0.459, 0.479]",511,0.46883841803417725,0.6826529614213462,0.6826529614215516,0.8704969965570152,3.792563600782779,AB_N30
