vertex_type,count,mean_depth,mean_balance,mean_gap_deg
A,1105,0.7397182581961116,0.2311477126764426,72.00000000247145
B,706,0.7953521798569603,0.16725026816665067,72.20396600903406
C,5477,0.5621406444835579,0.5096948695556367,185.46211429686068
D,2904,0.6222744166352336,0.37556502762710187,168.99173553701985
E,11175,0.4014627446782029,0.7769164086353978,267.2730201343152
