vertex_id,degree,vertex_type,depth,balance_mag,balance_angle,gap_angle_rad,gap_angle_deg,gap_direction,cos_gap_alignment,perp_x,perp_y,type_rank
0,5,C,0.6986389924003449,0.12360679776739784,-3.1415926534684404,1.8849555922071064,108.00000000304989,0.9424777961035532,-0.5877852523691175,0.4959346906,-0.3757829997,2
1,5,C,0.6894509138904967,0.6472135955180685,-0.6283185306785829,3.769911184389165,216.00000000466463,2.513274122903905,-1.0,-0.3130823038,0.2120022525,2
2,3,E,0.1914000910784195,0.8726779962603943,2.513274122922484,5.026548245796899,288.0000000030499,-0.6283185306913438,-1.0,1.4959346906,-0.3757829997,4
3,4,D,0.684321476062999,0.2499999999507131,-2.513274122818136,2.51327412270952,143.99999999070005,0.628318530726339,-1.0,0.6869176962,0.2120022525,3
4,5,C,0.8937371389022629,2.0283552615296685e-11,0.0,1.2566370615362015,72.00000000574586,3.141592653589793,,0.1869176962,-0.1512690115,2
5,3,E,0.4697007701086846,0.872677996235706,-0.6283185307596005,5.026548245670892,287.99999999583014,2.513274122835446,-1.0,-0.6220992981,0.4365162408,4
6,3,E,0.3995989912966681,0.8726779962303164,3.141592653589793,5.026548245643385,287.99999999425415,0.0,-1.0,1.1869176962,-0.1512690115,4
7,7,A,0.7342864537120732,0.23114771268841933,-1.8849555922541943,1.256637061536202,72.00000000574589,0.0,-0.30901699447035585,0.3779007019,0.4365162408,0
8,4,D,0.8137066309081434,0.2499999999975032,-1.884955592145467,2.5132741228804707,144.00000000049482,1.2566370614402353,-1.0,0.4959346906,0.0732449768,3
9,5,C,0.5278172847045342,0.6472135955180685,-0.6283185307035829,3.769911184389165,216.00000000466463,2.513274122903905,-1.0,-0.3130823038,0.6610302291,2
10,5,C,0.22687609325923475,0.6472135955104829,3.141592653589793,3.7699111843524094,216.0000000025587,0.0,-1.0,1.4959346906,0.0732449768,2
11,3,E,0.5244280157374752,0.5393446629138938,-1.8849555921072478,3.7699111842991155,215.99999999950518,1.2566370614402351,-1.0,0.6869176962,0.6610302291,4
12,5,C,0.8420866182667084,2.028354151307859e-11,-1.0947033326596537e-06,1.2566370615362015,72.00000000574586,3.141592653589793,,0.1869176962,0.2977589651,2
13,3,E,0.30899266790622437,0.872677996235706,-0.6283185307596005,5.026548245670892,287.99999999583014,2.513274122835446,-1.0,-0.6220992981,0.8855442174,4
14,3,E,0.3883414255209482,0.8726779962303164,3.141592653589793,5.026548245643385,287.99999999425415,0.0,-1.0,1.1869176962,0.2977589651,4
15,5,C,0.4833980754343422,0.6472135955170357,-1.8849555921859174,3.769911184357894,216.00000000287292,1.256637061410846,-1.0,0.3779007019,0.8855442174,2
16,3,E,0.730524772026466,0.5393446629325278,1.256637061412541,3.769911184357894,216.00000000287292,-1.8849555921789476,-1.0,0.1869176962,-0.4287835629,4
17,5,C,0.5207595229732926,0.6472135954604828,0.0,3.769911184162198,215.9999999916604,3.141592653589793,-1.0,-0.6220992981,0.1590016894,2
18,5,C,0.35053370057046873,0.6472135954776177,2.5132741228408015,3.769911184235281,215.99999999584773,-0.628318530704052,-1.0,1.1869176962,-0.4287835629,2
19,5,C,0.8619498269527701,2.0283585922036035e-11,-3.1415904641879213,1.256637061536202,72.00000000574589,0.0,,0.3779007019,0.1590016894,2
20,5,C,0.7699620487932355,0.12360679775200945,-3.141592653589793,1.8849555921762047,108.00000000127935,0.9424777960881023,-0.587785252283441,0.4959346906,-0.2042695746,2
21,5,C,0.6418131562907945,0.6472135955180685,-0.628318530703583,3.769911184389165,216.00000000466463,2.513274122903905,-1.0,-0.3130823038,0.3835156777,2
22,3,E,0.21518612728754938,0.8726779962543398,2.5132741228820334,5.026548245765998,288.0000000012793,-0.6283185307067946,-1.0,1.4959346906,-0.2042695746,4
23,4,D,0.6373569101748126,0.2499999999699486,-2.513274122793136,2.5132741227904214,143.99999999533537,0.6283185306858882,-1.0,0.6869176962,0.3835156777,3
24,5,C,0.9939989548114302,2.0283552615296685e-11,0.0,1.2566370615362015,72.00000000574586,3.141592653589793,,0.1869176962,0.0202444137,2
