substrate,group,t,candidate_count,walkers,msd_phys,msd_perp,near_return_frac,near_return_n,near_return_mean_perp_mismatch,median_perp_tortuosity,p90_perp_tortuosity,start_texture_mean,start_depth_mean
AB_N30,all_interior75,16,16997,2200,14.875916821891954,1.4331740871950454,0.31,682,1.0047048416227928,14.78207252001727,27.31370850056404,-0.006521553845989103,0.32816328897358815
AB_N30,all_interior75,32,16997,2200,29.87581307997911,1.4205505563592995,0.16636363636363635,366,1.0094743335406773,29.564145040326025,71.3741599162355,-0.006521553845989103,0.32816328897358815
AB_N30,all_interior75,64,16997,2200,59.32003561100285,1.4054189344428514,0.08863636363636364,195,0.9605318498218693,59.12829008201628,142.74831983194892,-0.006521553845989103,0.32816328897358815
AB_N30,all_interior75,128,16997,2200,120.91899001797339,1.3973736183726777,0.03909090909090909,86,0.9663324393304247,118.25658016411325,304.5690124294051,-0.006521553845989103,0.32816328897358815
AB_N30,all_interior75,256,16997,2200,229.92986745596647,1.4919507258448221,0.019545454545454546,43,1.079672602143039,236.5131603214867,609.1380248776898,-0.006521553845989103,0.32816328897358815
AB_N30,all_interior75,512,16997,2200,436.02631025766215,1.450053378674138,0.01090909090909091,24,0.9942419851590275,471.8362851953326,1218.2760497934648,-0.006521553845989103,0.32816328897358815
AB_N30,texture_high_q25,16,4251,2200,14.821358380666522,1.8877325284172506,0.305,671,1.1864355572583838,12.069511671922136,27.313708499269556,1.4439649631723557,0.08715463820373108
AB_N30,texture_high_q25,32,4251,2200,30.404740175579512,1.8916234607638742,0.1590909090909091,350,1.1425471781893888,24.13902334439257,54.6274170006909,1.4439649631723557,0.08715463820373108
AB_N30,texture_high_q25,64,4251,2200,60.414430238730894,1.9328424885281716,0.08318181818181818,183,1.2267720955811823,48.86024713781133,116.55351506036698,1.4439649631723557,0.08715463820373108
AB_N30,texture_high_q25,128,4251,2200,117.06673841386349,1.9368979497645784,0.04363636363636364,96,1.1288310571578524,98.9280630504761,233.1070301234435,1.4439649631723557,0.08715463820373108
