substrate,group,start_texture_z,start_depth,final_phys_dist,final_perp_mismatch,near_return_phys_le2
AB_N30,all_interior75,-0.5782583692578254,1.2030780228602508e-16,6.573675032672936,0.8870155378501183,False
AB_N30,all_interior75,1.3365900402049304,0.07650484369966225,13.985018262596009,0.6475061361437613,False
AB_N30,all_interior75,-0.7136549858694442,0.7907905580018282,11.6568542495,0.3431457505,False
AB_N30,all_interior75,-0.5663098655656186,0.2092094419906586,13.98501826245294,0.6475061361426407,False
AB_N30,all_interior75,-0.46138848463847026,0.6377808706028736,29.32440831397949,0.28120639855695895,False
AB_N30,all_interior75,-0.5828869872750184,0.20203050889854732,29.97174835192801,1.301653075016289,False
AB_N30,all_interior75,1.8736565405574377,0.05917336606138658,1.8477590650401505,0.76536686473746,True
AB_N30,all_interior75,-0.8103583270404001,0.4040610178202373,11.656854249465107,0.34314575048034646,False
AB_N30,all_interior75,-0.6135306804176115,0.4040610177970948,8.363081100689653,1.4348778704518579,False
AB_N30,all_interior75,-0.6028818066745588,0.5887600490920799,9.552739606820259,0.8632299833256829,False
AB_N30,all_interior75,-0.5835066997575035,0.595938982238639,4.46088499481776,0.31702533556523005,False
AB_N30,all_interior75,-0.2313030699191783,0.1673675535472982,25.747348865316745,1.0363524519811014,False
AB_N30,all_interior75,2.0357689291982277,0.03466295526798589,10.769529054545012,0.13131619355288018,False
AB_N30,all_interior75,-0.7063263757484822,0.3939084733443878,28.20273055976461,0.7784529356875213,False
AB_N30,all_interior75,-0.707434014214803,0.26120387498181225,6.973336145507617,1.8364593656934272,False
AB_N30,all_interior75,0.14239677715710383,0.007178933139416079,22.44393045128312,0.51960167208516,False
AB_N30,all_interior75,-0.6109054536180262,0.2510513304209124,23.03167245693497,1.2417986295438832,False
AB_N30,all_interior75,-0.6950562539409594,0.6234230043712667,17.078173114402926,0.5796577227251101,False
AB_N30,all_interior75,-0.707042195277369,0.3203772409818139,42.55698156489661,0.9504315237565475,False
AB_N30,all_interior75,-0.6709561450872847,0.25823026350223344,6.828427124800001,1.1715728752,False
AB_N30,all_interior75,-0.7209818813000599,0.9336477009003737,30.132416987706968,0.1935109254061837,False
AB_N30,all_interior75,0.14098227426605042,0.13270459827931233,25.19491690742514,1.102797365093557,False
AB_N30,all_interior75,-0.6132377799920776,0.3448876517970931,20.84165720472789,1.2748823306431578,False
AB_N30,all_interior75,-0.7555808281170371,0.3592455179931387,13.985018262548504,0.6475061360444118,False
AB_N30,all_interior75,-0.745402093338686,0.379550607065079,6.308644059857914,0.44834152917222997,False
AB_N30,all_interior75,0.2406431390138495,0.11537312065986302,22.970187396664407,2.0905719220061467,False
AB_N30,all_interior75,-0.7978580308884127,0.4560554507407053,14.10655696359279,1.0025221363582222,False
AB_N30,all_interior75,1.1492711877907091,0.15300968745820095,13.509613909744065,1.2207915497537405,False
AB_N30,all_interior75,2.8641737734191186,0.034662955335427556,7.074010924502984,1.3994175358296517,False
AB_N30,all_interior75,-0.7651842279708773,0.5642496383712651,24.894030813774638,0.5359382803656203,False
AB_N30,all_interior75,-0.5678525537624448,0.27556174120278826,8.363081100639727,1.4348778704396479,False
AB_N30,all_interior75,0.06210850703192748,0.42857142852911057,27.16055091892629,1.518049334899011,False
AB_N30,all_interior75,2.0414455900219792,0.03168934387167009,15.672343997115508,1.5419577283189603,False
AB_N30,all_interior75,-0.5811413305281822,0.1846990312718429,12.481255783417279,0.4671767004969651,False
AB_N30,all_interior75,-0.7689749155023581,0.28571428571382806,1.4142135624000005,1.4142135624,True
AB_N30,all_interior75,2.413964964145123,0.04184188842311093,18.03386664340398,1.6672294052345815,False
AB_N30,all_interior75,3.8761570595448047,0.0316893438725179,17.843539979048,1.2681013422767715,False
AB_N30,all_interior75,1.2142277012374705,0.17034116509647662,36.54461384987709,0.7008555912803699,False
AB_N30,all_interior75,2.3411113167290236,0.0663522992079457,14.276672458620132,0.4202659980566693,False
AB_N30,all_interior75,-0.11061435958444824,0.18469903130618592,10.703669580806679,1.1964353325968806,False
AB_N30,all_interior75,-0.7518335262276082,0.7387961250284949,20.476904239496964,0.8345015091230842,False
AB_N30,all_interior75,0.21402311759931425,0.20920944195493862,19.863929248069702,1.1934466181270746,False
AB_N30,all_interior75,-0.760488580119712,0.33473510722131783,23.532353147550577,1.4927676768450358,False
AB_N30,all_interior75,0.02519630666168933,0.13567820975889122,15.452958915363899,1.0982079769900661,False
AB_N30,all_interior75,-0.7414672071626978,0.5295866830306931,12.146567632223954,0.6788923011719923,False
AB_N30,all_interior75,1.3571808263461722,0.049020821569669804,13.147350065335116,1.7740310756205193,False
AB_N30,all_interior75,-0.6020970799767075,0.35924551790987547,8.564773147080501,1.6262413538436518,False
AB_N30,all_interior75,-0.7899392926089952,0.2958668303069329,1.4142135624000005,1.4142135624,True
AB_N30,all_interior75,-0.6751782277754971,0.2438723973332291,25.94549314015182,1.682672195546452,False
AB_N30,all_interior75,1.268799148325578,0.1428571428487322,13.9343647950607,1.3540597322965346,False
AB_N30,all_interior75,0.07138812631578682,0.1428571428731193,22.882952367212443,0.6086796866279732,False
AB_N30,all_interior75,-0.6768502013978557,0.5050762723047343,31.53393347477363,1.2692673505014007,False
AB_N30,all_interior75,0.6984557356283263,0.11834673212277329,14.795081760544948,1.051454087066925,False
AB_N30,all_interior75,1.6174842655153379,0.06635229913391717,18.925932179481908,1.3450245875629698,False
AB_N30,all_interior75,0.3436429696102174,0.11834673208326661,8.15640312480567,1.2137083939479583,False
AB_N30,all_interior75,-0.5076830274653641,0.35206658490540965,10.92689203845093,0.7765503076828358,False
AB_N30,all_interior75,2.9290612584600892,0.029641193797668476,18.033866643318113,1.6672294051454948,False
AB_N30,all_interior75,-0.6915675182285633,0.41841888404437744,12.481255783417275,0.46717670049696514,False
AB_N30,all_interior75,-0.7173368735896527,0.21936198657417194,15.34209000350871,0.7875749633920175,False
AB_N30,all_interior75,0.31001623431421566,0.16736755357469074,6.573675032682871,0.8870155379237616,False
AB_N30,all_interior75,-0.7292601618188442,0.6031179152993266,23.56238226973958,0.9022980521635238,False
AB_N30,all_interior75,1.2514359489843405,0.0765048436756262,13.9850182625076,0.6475061360875517,False
AB_N30,all_interior75,-0.07958620944667238,0.1846990312718429,28.672668747178268,1.3704258140495784,False
