substrate,group,candidate_count,walkers,alpha_phys_msd,alpha_phys_r2,near_return_frac_t512,near_return_n_t512,near_return_mean_perp_mismatch_t512,median_perp_tortuosity_t512,p90_perp_tortuosity_t512,start_texture_mean,start_depth_mean,spearman_texture_vs_final_perp_mismatch,spearman_depth_vs_final_perp_mismatch
AB_N30,all_interior75,16997,2200,0.977905856071468,0.9995988964287359,0.01090909090909091,24,0.9942419851590275,471.8362851953326,1218.2760497934648,-0.006521553845989103,0.32816328897358815,0.19397771572191624,-0.2924276557721065
AB_N30,depth_high_q25,4254,2200,0.9725875209739987,0.9994105430366067,0.00909090909090909,20,0.7096204964322113,632.7441790385964,1492.077344051264,-0.5942378371655721,0.6661187079120142,0.029202222317332275,-0.10101825614510243
AB_N30,depth_low_q25,4269,2200,0.9773200159254954,0.9997954531875919,0.007727272727272728,17,1.4632191078226262,388.6008046633009,874.1951656503552,1.3475178792579883,0.06345488738033443,-0.013787130840066652,-0.05594887761211488
AB_N30,texture_high_q25,4251,2200,0.972817815380474,0.9996282212804847,0.015454545454545455,34,1.0454706289898699,401.6056915079014,894.91826058804,1.4439649631723557,0.08715463820373108,0.052823374488828914,-0.0788078343200796
AB_N30,texture_low_q25,4250,2200,0.9797934442790803,0.999543981585482,0.012272727272727272,27,0.8929497779395523,564.9671038254821,1393.5238914191,-0.7378478028404846,0.47904769636528893,-0.011526860191085168,-0.23128936182701754
Penrose_N24,all_interior75,21539,2200,0.9791283987432192,0.9995590050769285,0.011363636363636364,25,0.9948755006428633,469.65154647055755,1237.9408419968704,0.03011623873621485,0.45415938689884644,0.2653543839692746,-0.4115075145815414
Penrose_N24,depth_high_q25,5385,2200,0.9942725892981209,0.9998856933729005,0.013636363636363636,30,0.8741845312833227,598.9732368834407,1492.5945288740825,-0.698726043919631,0.7452011128505377,0.005096271226784221,-0.11385747548289145
Penrose_N24,depth_low_q25,5385,2200,0.990768420998771,0.9995762944061908,0.010454545454545454,23,1.2093952043975846,353.1171875375085,795.2683986951992,1.1707382639922987,0.16556912950544958,-0.039388741531564485,-0.08428633425650674
Penrose_N24,texture_high_q25,5385,2200,0.9744233810531538,0.9999670885507762,0.01,22,1.093715433495362,380.0802523783045,867.0367618206058,1.4579874242833548,0.25127990848980236,0.15817440891508883,-0.2905052828756678
Penrose_N24,texture_low_q25,5385,2200,0.9780064789992856,0.9998756947840782,0.012272727272727272,27,0.8673630540830053,535.8581883169757,1299.5807355777258,-0.8890306007267068,0.6016218178828171,0.15599951757401156,-0.29198328276597696
