vertex_id,x,y,degree,k_sum_mod4,K0,K1,K2,K3,perp_x,perp_y,perp_r,k_sum
10233,-57.9913780286,4.1213203436,6,0,-29,-19,2,22,-0.0086219714,0.1213203436,0.1216263300,-24
10234,-56.9913780286,4.1213203436,4,1,-28,-19,2,22,0.9913780286,0.1213203436,0.9987737589,-23
10235,-57.9913780286,6.5355339059,5,3,-29,-18,3,23,-0.0086219714,0.5355339059,0.5356033073,-21
10236,-56.9913780286,6.5355339059,4,0,-28,-18,3,23,0.9913780286,0.5355339059,1.1267772451,-20
10237,-57.9913780286,8.9497474683,4,2,-29,-17,4,24,-0.0086219714,0.9497474683,0.9497866034,-18
10238,-56.9913780286,8.9497474683,3,3,-28,-17,4,24,0.9913780286,0.9497474683,1.3728986304,-17
10239,-57.2842712475,11.6568542495,4,1,-29,-16,6,24,-0.7157287525,-0.3431457505,0.7937358838,-15
10240,-57.9913780286,12.3639610307,5,2,-29,-16,6,25,-0.0086219714,0.3639610307,0.3640631405,-14
10241,-56.9913780286,12.3639610307,4,3,-28,-16,6,25,0.9913780286,0.3639610307,1.0560767148,-13
10242,-57.9913780286,14.7781745931,4,1,-29,-15,7,26,-0.0086219714,0.7781745931,0.7782223562,-11
10243,-56.9913780286,14.7781745931,3,2,-28,-15,7,26,0.9913780286,0.7781745931,1.2603119030,-10
10244,-57.2842712475,17.4852813742,3,0,-29,-14,9,26,-0.7157287525,-0.5147186258,0.8815911246,-8
10245,-57.9913780286,18.1923881554,6,1,-29,-14,9,27,-0.0086219714,0.1923881554,0.1925812575,-7
10246,-56.9913780286,18.1923881554,4,2,-28,-14,9,27,0.9913780286,0.1923881554,1.0098730604,-6
10247,-57.9913780286,20.6066017178,4,0,-29,-13,10,28,-0.0086219714,0.6066017178,0.6066629892,-4
10248,-56.9913780286,20.6066017178,3,1,-28,-13,10,28,0.9913780286,0.6066017178,1.1622375143,-3
10249,-57.9913780286,23.0208152802,4,3,-29,-12,11,29,-0.0086219714,1.0208152802,1.0208516908,-1
10250,-56.9913780286,23.0208152802,3,0,-28,-12,11,29,0.9913780286,1.0208152802,1.4229877835,0
10251,-57.2842712475,25.7279220614,4,2,-29,-11,13,29,-0.7157287525,-0.2720779386,0.7656984079,2
10252,-57.9913780286,26.4350288425,5,3,-29,-11,13,30,-0.0086219714,0.4350288425,0.4351142749,3
10253,-56.9913780286,26.4350288425,4,0,-28,-11,13,30,0.9913780286,0.4350288425,1.0826266621,4
10254,-57.9913780286,28.8492424049,4,2,-29,-10,14,31,-0.0086219714,0.8492424049,0.8492861713,6
10255,-56.9913780286,28.8492424049,3,3,-28,-10,14,31,0.9913780286,0.8492424049,1.3053900023,7
10256,-57.2842712475,31.5563491861,3,1,-29,-9,16,31,-0.7157287525,-0.4436508139,0.8420770107,9
10257,-57.9913780286,32.2634559673,6,2,-29,-9,16,32,-0.0086219714,0.2634559673,0.2635970127,10
10258,-56.9913780286,32.2634559673,4,3,-28,-9,16,32,0.9913780286,0.2634559673,1.0257872306,11
10259,-57.9913780286,34.6776695297,4,1,-29,-8,17,33,-0.0086219714,0.6776695297,0.6777243760,13
10260,-56.9913780286,34.6776695297,3,2,-28,-8,17,33,0.9913780286,0.6776695297,1.2008606860,14
10261,-57.9913780286,37.0918830920,4,0,-29,-7,18,34,-0.0086219714,1.0918830920,1.0919171329,16
10262,-57.9913780286,38.0918830920,5,1,-29,-7,19,34,-0.0086219714,0.0918830920,0.0922867325,17
