index,n0,n1,n2,n3,x,y,perp_x,perp_y,perp_r,k_sum_mod5
11915,1,15,21,12,3.1213203436,40.0918830920,-0.9832203436,-1.8154169080,2.0645727872,4
11916,1,15,21,13,2.4142135624,40.7989898732,-0.2761135624,-1.1083101268,1.1421865156,0
11917,1,15,22,13,2.4142135624,41.7989898732,-0.2761135624,-2.1083101268,2.1263137798,1
11918,1,16,21,12,3.8284271247,40.7989898732,-1.6903271247,-1.1083101268,2.0212761132,0
11919,1,16,21,13,3.1213203436,41.5060966544,-0.9832203436,-0.4012033456,1.0619257830,1
11920,1,16,22,12,3.8284271247,41.7989898732,-1.6903271247,-2.1083101268,2.7022541293,1
11921,1,16,22,13,3.1213203436,42.5060966544,-0.9832203436,-1.4012033456,1.7117514597,2
11922,1,16,22,14,2.4142135624,43.2132034356,-0.2761135624,-0.6940965644,0.7469998260,3
11923,1,16,23,13,3.1213203436,43.5060966544,-0.9832203436,-2.4012033456,2.5947061011,3
11924,1,16,23,14,2.4142135624,44.2132034356,-0.2761135624,-1.6940965644,1.7164503689,4
11925,1,17,22,13,3.8284271247,43.2132034356,-1.6903271247,-0.6940965644,1.8272864661,3
11926,1,17,23,13,3.8284271247,44.2132034356,-1.6903271247,-1.6940965644,2.3931504253,4
11927,1,17,23,14,3.1213203436,44.9203102168,-0.9832203436,-0.9869897832,1.3931514907,0
11928,1,17,24,14,3.1213203436,45.9203102168,-0.9832203436,-1.9869897832,2.2169462426,1
11929,1,17,24,15,2.4142135624,46.6274169980,-0.2761135624,-1.2798830020,1.3093277658,2
11930,1,17,25,15,2.4142135624,47.6274169980,-0.2761135624,-2.2798830020,2.2965420097,3
11931,1,18,24,14,3.8284271247,46.6274169980,-1.6903271247,-1.2798830020,2.1202137363,2
11932,1,18,24,15,3.1213203436,47.3345237792,-0.9832203436,-0.5727762208,1.1378905234,3
11933,1,18,25,14,3.8284271247,47.6274169980,-1.6903271247,-2.2798830020,2.8381459250,3
11934,1,18,25,15,3.1213203436,48.3345237792,-0.9832203436,-1.5727762208,1.8548173185,4
11935,1,18,25,16,2.4142135624,49.0416305603,-0.2761135624,-0.8656694397,0.9086375945,0
