vertex_id,substrate,degree,mean_abs_dev_from_regular,max_dev_from_regular,std_spacing,regularity,mean_snap_to_grid,max_snap_to_grid,is_commensurate
0,AB,6,20.0,30.000000000000004,21.213203435596423,0.6464466094070639,5.737991092844423e-15,1.4033418597069752e-14,False
1,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,9.355612398046501e-15,1.4033418597069752e-14,False
2,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,4.677806199023251e-15,1.4033418597069752e-14,False
3,AB,4,67.5,135.0,77.94228634059948,0.13397459621611263,1.0525063947802313e-14,1.4033418597069752e-14,True
4,AB,6,24.999999999999996,75.0,33.54101966249684,0.44098300562558634,7.016709298534876e-15,1.4033418597069752e-14,False
5,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,9.355612398046501e-15,1.4033418597069752e-14,False
6,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,4.677806199023251e-15,1.4033418597069752e-14,False
7,AB,4,67.5,135.0,77.94228634059948,0.13397459621611263,1.0525063947802313e-14,1.4033418597069752e-14,True
8,AB,6,24.999999999999996,75.0,33.54101966249684,0.44098300562558634,3.399087993332798e-15,1.4033418597069752e-14,False
9,AB,4,67.50000000202571,135.00000000405143,77.94228634293857,0.13397459619012286,1.012862606408059e-09,4.0514223587950425e-09,True
10,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,4.677806199023251e-15,1.4033418597069752e-14,False
11,AB,5,43.200000001620566,108.00000000405142,54.0000000020257,0.24999999997246214,8.102916195882941e-10,4.05141599768568e-09,False
12,AB,8,2.0257095891201806e-09,4.05141599768568e-09,2.8647837253729712e-09,0.9999999999363381,1.012856548737415e-09,4.0514300311042765e-09,True
13,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,9.355612398046501e-15,1.4033418597069752e-14,False
14,AB,3,100.00000000270093,150.00000000405143,106.0660171808469,0.11611652349336443,1.3504673214223607e-09,4.051401964267082e-09,False
15,AB,4,67.5,135.0,77.94228634059948,0.13397459621611263,1.0525063947802313e-14,1.4033418597069752e-14,True
16,AB,5,43.199999999999996,108.0,54.0,0.25000000000059686,1.2722218725854069e-15,6.3611093629270335e-15,False
17,AB,4,67.5,135.0,77.94228634059948,0.13397459621611274,7.016709298534876e-15,1.4033418597069752e-14,True
18,AB,4,67.5,135.0,77.94228634059948,0.13397459621611263,3.508354649267438e-15,1.4033418597069752e-14,True
19,AB,5,43.199999999999996,108.0,53.99999999999999,0.25000000000059697,8.42005115824185e-15,1.4033418597069752e-14,False
20,AB,8,3.1805546814635168e-15,6.3611093629270335e-15,4.497983566394945e-15,0.9999999999999999,6.057670644267036e-15,1.4033418597069752e-14,True
21,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,9.355612398046501e-15,1.4033418597069752e-14,False
22,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,4.677806199023251e-15,1.4033418597069752e-14,False
23,AB,4,67.5,135.0,77.94228634059948,0.13397459621611263,1.0525063947802313e-14,1.4033418597069752e-14,True
24,AB,6,24.999999999999996,75.0,33.54101966249684,0.44098300562558634,7.016709298534876e-15,1.4033418597069752e-14,False
25,AB,3,99.99999999999999,150.0,106.06601717798213,0.11611652351723756,9.355612398046501e-15,1.4033418597069752e-14,False
