model,checkpoint,reader,auc,bal_acc,paired_frac,tie_frac,signed_sep,mean_added_present
Reinforced,2000,added_whole_D1,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Reinforced,2000,added_presence_PD,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Reinforced,5000,onebit_Shigh,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Reinforced,5000,complement_negSlow,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Reinforced,5000,added_exact_D0,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Reinforced,5000,added_whole_D1,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Reinforced,5000,added_presence_PD,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Reinforced,10000,onebit_Shigh,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Reinforced,10000,complement_negSlow,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Reinforced,10000,added_exact_D0,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Reinforced,10000,added_whole_D1,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Reinforced,10000,added_presence_PD,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Growing,0,onebit_Shigh,0.5000,0.5000,0.5000,1.0000,0.000000,30.0000
Growing,0,complement_negSlow,0.0000,0.0000,0.0000,0.0000,-28.000000,30.0000
Growing,0,added_exact_D0,1.0000,1.0000,1.0000,0.0000,28.000000,30.0000
Growing,0,added_whole_D1,1.0000,1.0000,1.0000,0.0000,28.000000,30.0000
Growing,0,added_presence_PD,1.0000,1.0000,1.0000,0.0000,28.000000,30.0000
Growing,100,onebit_Shigh,0.7615,0.7012,0.7625,0.1350,1.635000,45.7500
Growing,100,complement_negSlow,0.0433,0.1088,0.0375,0.0050,-24.585000,45.7500
Growing,100,added_exact_D0,0.9022,0.8150,0.9050,0.0000,48.407716,45.7500
Growing,100,added_whole_D1,0.9003,0.8100,0.9025,0.0150,49.775000,45.7500
Growing,100,added_presence_PD,0.9513,0.8750,0.9550,0.0000,26.220000,45.7500
Growing,200,onebit_Shigh,0.7882,0.7375,0.8025,0.0350,3.375000,57.5450
Growing,200,complement_negSlow,0.1099,0.1800,0.1250,0.0000,-21.875000,57.5450
Growing,200,added_exact_D0,0.8567,0.7850,0.8300,0.0000,60.099688,57.5450
Growing,200,added_whole_D1,0.8558,0.7837,0.8350,0.0000,61.795000,57.5450
Growing,200,added_presence_PD,0.8888,0.8225,0.8800,0.0100,25.250000,57.5450
Growing,400,onebit_Shigh,0.7960,0.7112,0.8150,0.0200,6.535000,74.7300
Growing,400,complement_negSlow,0.1834,0.2737,0.1675,0.0050,-16.885000,74.7300
Growing,400,added_exact_D0,0.8306,0.7325,0.8300,0.0000,75.945418,74.7300
Growing,400,added_whole_D1,0.8295,0.7225,0.8225,0.0050,77.650000,74.7300
Growing,400,added_presence_PD,0.8338,0.7288,0.8525,0.0150,23.420000,74.7300
Growing,1000,onebit_Shigh,0.7519,0.6787,0.7475,0.0150,10.975000,102.5700
Growing,1000,complement_negSlow,0.3997,0.4263,0.3850,0.0200,-2.985000,102.5700
Growing,1000,added_exact_D0,0.7529,0.6800,0.7450,0.0000,74.966254,102.5700
Growing,1000,added_whole_D1,0.7521,0.6787,0.7450,0.0000,75.640000,102.5700
Growing,1000,added_presence_PD,0.7475,0.6713,0.7625,0.0450,13.960000,102.5700
Growing,2000,onebit_Shigh,0.7314,0.6875,0.7350,0.0200,11.760000,119.5850
Growing,2000,complement_negSlow,0.6971,0.6575,0.7075,0.0350,6.450000,119.5850
Growing,2000,added_exact_D0,0.7278,0.6850,0.7400,0.0000,60.518335,119.5850
Growing,2000,added_whole_D1,0.7278,0.6863,0.7350,0.0000,60.245000,119.5850
Growing,2000,added_presence_PD,0.6728,0.6300,0.6825,0.0450,5.310000,119.5850
Growing,5000,onebit_Shigh,0.6764,0.6250,0.6925,0.0450,4.230000,127.7550
Growing,5000,complement_negSlow,0.6782,0.6300,0.7000,0.0400,4.100000,127.7550
Growing,5000,added_exact_D0,0.6796,0.6425,0.6950,0.0000,15.718169,127.7550
Growing,5000,added_whole_D1,0.6790,0.6362,0.6925,0.0050,15.070000,127.7550
Growing,5000,added_presence_PD,0.5215,0.5112,0.5200,0.8300,0.130000,127.7550
Growing,10000,onebit_Shigh,0.6192,0.5775,0.6050,0.3500,0.375000,127.9950
Growing,10000,complement_negSlow,0.6194,0.5775,0.6050,0.3500,0.385000,127.9950
Growing,10000,added_exact_D0,0.6409,0.6100,0.6400,0.0000,1.094744,127.9950
Growing,10000,added_whole_D1,0.6162,0.5787,0.6075,0.3050,1.030000,127.9950
Growing,10000,added_presence_PD,0.4975,0.4988,0.4975,0.9950,-0.010000,127.9950
Growing-MatchedControl,0,onebit_Shigh,0.5000,0.5000,0.5000,1.0000,0.000000,30.0000
Growing-MatchedControl,0,complement_negSlow,0.5000,0.5000,0.5000,1.0000,0.000000,30.0000
Growing-MatchedControl,0,added_exact_D0,0.5000,0.5000,0.5000,1.0000,0.000000,30.0000
Growing-MatchedControl,0,added_whole_D1,0.5000,0.5000,0.5000,1.0000,0.000000,30.0000
Growing-MatchedControl,0,added_presence_PD,0.5000,0.5000,0.5000,1.0000,0.000000,30.0000
Growing-MatchedControl,100,onebit_Shigh,0.5958,0.5787,0.5875,0.1850,0.490000,45.7500
Growing-MatchedControl,100,complement_negSlow,0.5316,0.5012,0.5650,0.0800,0.690000,45.7500
Growing-MatchedControl,100,added_exact_D0,0.5926,0.5713,0.5900,0.0000,4.914950,45.7500
Growing-MatchedControl,100,added_whole_D1,0.5929,0.5763,0.5950,0.0400,5.170000,45.7500
Growing-MatchedControl,100,added_presence_PD,0.4925,0.4900,0.4875,0.2150,-0.200000,45.7500
Growing-MatchedControl,200,onebit_Shigh,0.5585,0.5388,0.5575,0.1150,0.560000,57.5450
Growing-MatchedControl,200,complement_negSlow,0.5266,0.5125,0.5450,0.0300,0.565000,57.5450
Growing-MatchedControl,200,added_exact_D0,0.5478,0.5225,0.5650,0.0000,4.385431,57.5450
Growing-MatchedControl,200,added_whole_D1,0.5477,0.5238,0.5675,0.0150,4.545000,57.5450
Growing-MatchedControl,200,added_presence_PD,0.5013,0.4975,0.4575,0.1250,-0.005000,57.5450
