family,extent,offx,offy,k,law,movable_feasible_frac,groups_fail_frac,distinct_frac,destchange,con_med,con_p95,con_max,unc_med,unc_p95,ratio_med,ratio_p95,lambda
platinum,20,0.41,0.23,6,U,0.9075,0.0279,1.000,0.6765,1.1541,2.2783,4.8081,1.9534,4.7383,0.5908,0.4808,1.0000
platinum,20,0.41,0.23,6,DW,0.9075,0.0279,1.000,0.3965,0.7390,1.8754,3.0409,1.9534,4.7383,0.3783,0.3958,1.0000
platinum,20,0.41,0.23,8,U,0.9897,0.0056,1.000,0.7620,1.2075,2.5421,5.0295,1.9534,4.7383,0.6181,0.5365,1.0000
platinum,20,0.41,0.23,8,DW,0.9897,0.0056,1.000,0.4091,0.6218,1.8692,2.9882,1.9534,4.7383,0.3183,0.3945,1.0000
platinum,20,0.41,0.23,12,U,1.0000,0.0000,1.000,0.8129,1.3857,3.3905,5.4113,1.9534,4.7383,0.7094,0.7156,1.0000
platinum,20,0.41,0.23,12,DW,1.0000,0.0000,1.000,0.4026,0.6218,1.8939,2.9882,1.9534,4.7383,0.3183,0.3997,1.0000
platinum,20,0.41,0.23,16,U,1.0000,0.0000,1.000,0.8041,1.4589,4.3998,6.0840,1.9534,4.7383,0.7468,0.9286,1.0000
platinum,20,0.41,0.23,16,DW,1.0000,0.0000,1.000,0.3940,0.6218,1.8998,3.4123,1.9534,4.7383,0.3183,0.4009,1.0000
platinum,20,0.41,0.23,32,U,1.0000,0.0000,1.000,0.8397,1.9290,4.5476,6.0840,1.9534,4.7383,0.9875,0.9597,1.0000
platinum,20,0.41,0.23,32,DW,1.0000,0.0000,1.000,0.4248,0.6218,1.8939,3.4123,1.9534,4.7383,0.3183,0.3997,1.0000
platinum,20,0.05,0.47,2,U,0.1713,0.5808,1.000,0.2846,0.6265,1.9654,3.4606,1.8796,4.8000,0.3333,0.4095,1.0000
platinum,20,0.05,0.47,2,DW,0.1713,0.5808,1.000,0.1949,0.6210,1.8486,3.4606,1.8796,4.8000,0.3304,0.3851,1.0000
platinum,20,0.05,0.47,4,U,0.6098,0.1737,1.000,0.6117,0.8310,1.9795,3.4606,1.8796,4.8000,0.4421,0.4124,1.0000
platinum,20,0.05,0.47,4,DW,0.6098,0.1737,1.000,0.3680,0.6210,1.4587,3.4606,1.8796,4.8000,0.3304,0.3039,1.0000
platinum,20,0.05,0.47,6,U,0.8679,0.0419,1.000,0.7021,0.9694,2.2364,3.6027,1.8796,4.8000,0.5158,0.4659,1.0000
platinum,20,0.05,0.47,6,DW,0.8679,0.0419,1.000,0.4092,0.6210,1.5779,3.4606,1.8796,4.8000,0.3304,0.3287,1.0000
platinum,20,0.05,0.47,8,U,0.9548,0.0120,1.000,0.7591,1.0867,2.6645,5.4179,1.8796,4.8000,0.5782,0.5551,1.0000
platinum,20,0.05,0.47,8,DW,0.9548,0.0120,1.000,0.4235,0.6210,1.6132,3.4606,1.8796,4.8000,0.3304,0.3361,1.0000
platinum,20,0.05,0.47,12,U,0.9753,0.0060,1.000,0.8151,1.2698,3.7324,6.1415,1.8796,4.8000,0.6756,0.7776,1.0000
platinum,20,0.05,0.47,12,DW,0.9753,0.0060,1.000,0.4406,0.6210,1.6132,3.4606,1.8796,4.8000,0.3304,0.3361,1.0000
platinum,20,0.05,0.47,16,U,0.9753,0.0060,1.000,0.8279,1.3619,4.2039,6.1415,1.8796,4.8000,0.7246,0.8758,1.0000
platinum,20,0.05,0.47,16,DW,0.9753,0.0060,1.000,0.4504,0.6210,1.6153,4.4464,1.8796,4.8000,0.3304,0.3365,1.0000
platinum,20,0.05,0.47,32,U,1.0000,0.0000,1.000,0.8515,1.7443,4.6007,6.1415,1.8796,4.8000,0.9280,0.9585,1.0000
platinum,20,0.05,0.47,32,DW,1.0000,0.0000,1.000,0.4346,0.6210,1.6153,4.2343,1.8796,4.8000,0.3304,0.3365,1.0000
platinum,20,0.19,0.31,2,U,0.1947,0.5235,1.000,0.2601,0.8350,1.9551,3.4343,1.9684,4.8283,0.4242,0.4049,1.0000
platinum,20,0.19,0.31,2,DW,0.1947,0.5235,1.000,0.2273,0.8350,1.9551,3.4343,1.9684,4.8283,0.4242,0.4049,1.0000
platinum,20,0.19,0.31,4,U,0.6491,0.1706,1.000,0.5889,0.9661,1.9944,3.4343,1.9684,4.8283,0.4908,0.4131,1.0000
platinum,20,0.19,0.31,4,DW,0.6491,0.1706,1.000,0.3837,0.8068,1.6242,3.4343,1.9684,4.8283,0.4099,0.3364,1.0000
platinum,20,0.19,0.31,6,U,0.9467,0.0412,1.000,0.7101,1.0381,2.2359,3.7021,1.9684,4.8283,0.5274,0.4631,1.0000
platinum,20,0.19,0.31,6,DW,0.9467,0.0412,1.000,0.4411,0.7961,1.6680,3.4343,1.9684,4.8283,0.4044,0.3455,1.0000
platinum,20,0.19,0.31,8,U,1.0000,0.0000,1.000,0.7703,1.2000,2.5782,5.1012,1.9684,4.8283,0.6096,0.5340,1.0000
platinum,20,0.19,0.31,8,DW,1.0000,0.0000,1.000,0.4586,0.7961,1.6974,3.4343,1.9684,4.8283,0.4044,0.3515,1.0000
platinum,20,0.19,0.31,12,U,1.0000,0.0000,1.000,0.8250,1.3579,3.3212,5.6452,1.9684,4.8283,0.6898,0.6879,1.0000
platinum,20,0.19,0.31,12,DW,1.0000,0.0000,1.000,0.4501,0.7961,1.6974,3.4343,1.9684,4.8283,0.4044,0.3515,1.0000
platinum,20,0.19,0.31,16,U,1.0000,0.0000,1.000,0.8346,1.4897,4.5197,6.1462,1.9684,4.8283,0.7568,0.9361,1.0000
platinum,20,0.19,0.31,16,DW,1.0000,0.0000,1.000,0.4546,0.7961,1.6974,3.4343,1.9684,4.8283,0.4044,0.3515,1.0000
platinum,20,0.19,0.31,32,U,1.0000,0.0000,1.000,0.8681,1.9178,4.7226,6.1462,1.9684,4.8283,0.9743,0.9781,1.0000
platinum,20,0.19,0.31,32,DW,1.0000,0.0000,1.000,0.4544,0.7961,1.6974,4.4294,1.9684,4.8283,0.4044,0.3515,1.0000
platinum,20,0.37,0.09,2,U,0.2432,0.5202,1.000,0.2972,0.6867,2.0806,2.5884,1.9346,4.8054,0.3550,0.4330,1.0000
platinum,20,0.37,0.09,2,DW,0.2432,0.5202,1.000,0.2322,0.6290,2.0806,2.5884,1.9346,4.8054,0.3251,0.4330,1.0000
platinum,20,0.37,0.09,4,U,0.5457,0.2370,1.000,0.5829,0.8955,2.0806,2.8582,1.9346,4.8054,0.4629,0.4330,1.0000
platinum,20,0.37,0.09,4,DW,0.5457,0.2370,1.000,0.4055,0.7444,1.7183,2.5884,1.9346,4.8054,0.3848,0.3576,1.0000
platinum,20,0.37,0.09,6,U,0.8482,0.0636,1.000,0.7059,1.0423,2.3279,3.7800,1.9346,4.8054,0.5388,0.4844,1.0000
platinum,20,0.37,0.09,6,DW,0.8482,0.0636,1.000,0.4529,0.7444,1.7523,3.0444,1.9346,4.8054,0.3848,0.3647,1.0000
platinum,20,0.37,0.09,8,U,0.9915,0.0058,1.000,0.7909,1.1804,2.6377,5.4757,1.9346,4.8054,0.6101,0.5489,1.0000
platinum,20,0.37,0.09,8,DW,0.9915,0.0058,1.000,0.4534,0.6290,1.8107,3.2836,1.9346,4.8054,0.3251,0.3768,1.0000
platinum,20,0.37,0.09,12,U,1.0000,0.0000,1.000,0.8214,1.3542,3.5024,6.4207,1.9346,4.8054,0.7000,0.7289,1.0000
platinum,20,0.37,0.09,12,DW,1.0000,0.0000,1.000,0.4756,0.6290,1.8107,4.4596,1.9346,4.8054,0.3251,0.3768,1.0000
platinum,20,0.37,0.09,16,U,1.0000,0.0000,1.000,0.8331,1.4462,4.4404,6.4207,1.9346,4.8054,0.7476,0.9241,1.0000
platinum,20,0.37,0.09,16,DW,1.0000,0.0000,1.000,0.4643,0.6290,1.8107,3.2442,1.9346,4.8054,0.3251,0.3768,1.0000
platinum,20,0.37,0.09,32,U,1.0000,0.0000,1.000,0.8473,1.8935,4.6984,6.4207,1.9346,4.8054,0.9788,0.9777,1.0000
platinum,20,0.37,0.09,32,DW,1.0000,0.0000,1.000,0.4523,0.6290,1.8118,3.2836,1.9346,4.8054,0.3251,0.3770,1.0000
