substrate,group,seed,candidate_count,walkers,alpha_phys_msd,alpha_phys_r2,tortuosity_median,tortuosity_p90,final_perp_mismatch_mean,spearman_texture_vs_perp,spearman_depth_vs_perp,nr_frac_t1024_d1.0,nr_n_t1024_d1.0,nr_mean_perp_t1024_d1.0,nr_median_perp_t1024_d1.0,nr_frac_t1024_d2.0,nr_n_t1024_d2.0,nr_mean_perp_t1024_d2.0,nr_median_perp_t1024_d2.0,nr_frac_t1024_d3.0,nr_n_t1024_d3.0,nr_mean_perp_t1024_d3.0,nr_median_perp_t1024_d3.0
AB_N30,all_interior75,0,16999,16999,0.9455140241002841,0.9997136982751632,959.0455389064125,2465.9352626095756,1.0887062836846195,-0.10542954250609443,-0.30666334186982974,0.0011177128066356846,19,0.8752542939643729,0.0,0.006882757809282899,117,0.9479658502417994,0.76536686473746,0.010706512147773399,182,1.0425270298203189,1.0823922002644217
AB_N30,texture_high_q25,0,4251,4251,0.948196831426214,0.9994808897372094,1023.5566136139782,2551.1447989858866,1.0312561966665648,0.08077542564911763,-0.2988655107768586,0.0014114326040931546,6,0.3079598441733583,0.0,0.0051752528816749,22,0.7585916223218547,0.76536686473746,0.008703834391907786,37,0.9719084318236895,1.0823922002644217
AB_N30,texture_low_q25,0,4434,4434,0.9487606256495947,0.9996421669879996,838.8000393605341,2089.321754628497,1.221871069146583,-0.03320737089481858,-0.11827953756113514,0.0020297699594046007,9,1.4371459394756723,1.84775906504015,0.006765899864682003,30,1.2222352488806,1.414213562373095,0.009472259810554804,42,1.3016223260299828,1.4142135623365475
AB_N30,depth_high_q25,0,4250,4250,0.9441885797264925,0.9992082721442858,1198.784519782123,2984.154687489218,0.8650124154735135,-0.01084762742751301,-0.104794672205584,0.0007058823529411765,3,0.0,0.0,0.0051764705882352945,22,0.7789707827440544,0.76536686473746,0.008941176470588235,38,0.9067271690805041,1.0823922002644217
AB_N30,depth_low_q25,0,4250,4250,0.9410740808429278,0.9990109544694324,788.0133827534669,1864.8562409834763,1.29234972338899,0.012864805529183614,-0.057481468877491115,0.0007058823529411765,3,0.6159196883467167,0.0,0.004470588235294118,19,1.0424804557646887,0.7653668647374601,0.0075294117647058826,32,1.3234577872974906,1.248302881301345
AB_N30,texture_high_depth_high,0,1333,1333,0.9387549825335217,0.9996490455334549,1233.4215717140703,3183.5087353722233,0.8488167723229177,-0.06895323505663815,-0.14744597276048563,0.0015003750937734434,2,0.0,0.0,0.006001500375093774,8,0.5740251485674456,0.76536686473746,0.009752438109527382,13,0.7695509376904984,0.7653668647757284
AB_N30,texture_low_depth_low,0,2088,2088,0.9339256513335588,0.9991481190822094,784.9852245283374,1753.4950208782207,1.2959492971498525,0.014862104186638784,-0.07276449278354884,0.0019157088122605363,4,1.84775906504015,1.84775906504015,0.007662835249042145,16,1.2347882415794778,1.0897902135744117,0.011973180076628353,25,1.3070119956614408,1.08239220030269
AB_N30,all_interior75,1,16999,16999,0.9517126030216008,0.999663604998146,965.1112782411444,2436.5520997013145,1.088179193238289,-0.07751457587808276,-0.3095790943183852,0.001470674745573269,25,1.0347450764141963,1.8477590650018818,0.007235719748220484,123,1.0544253616879746,0.76536686473746,0.010530031178304606,179,1.0978835430723421,1.08239220030269
AB_N30,texture_high_q25,1,4251,4251,0.9387477780787827,0.9999088114818011,1002.9113039096187,2599.323997821014,1.0416434477667604,0.084611537421114,-0.3089103812752235,0.0009409550693954364,4,0.923879532487411,0.923879532473881,0.006821924253116914,29,1.0513699861961934,0.7653668647757284,0.0103505057633498,44,1.1100845019660401,1.08239220030269
AB_N30,texture_low_q25,1,4434,4434,0.9423318166446095,0.9995892520262822,838.8000393628085,2066.2668682804997,1.2234955839060462,-0.022059743247376286,-0.13105543382257834,0.0009021199819576004,4,1.3858192987801126,1.84775906504015,0.004961659900766802,22,1.1673739643927834,1.08979021351873,0.008344609833107803,37,1.297014507717609,1.08239220030269
AB_N30,depth_high_q25,1,4250,4250,0.9567767562564968,0.9998518630796246,1215.733139749691,2964.605037990004,0.8651560542545991,-0.010033710571961788,-0.12823245551283852,0.002352941176470588,10,0.3695518130080301,0.0,0.006823529411764706,29,0.7407490361489494,0.76536686473746,0.008705882352941176,37,0.8146178283973725,0.76536686473746
AB_N30,depth_low_q25,1,4250,4250,0.9455810145593617,0.9995227337618724,803.2113830808082,1887.345140608654,1.2754018229454516,-0.0018100146553661758,-0.08092758484865774,0.0009411764705882353,4,0.923879532520075,0.923879532520075,0.005647058823529412,24,1.0351031543012497,0.7653668647757284,0.010588235294117647,45,1.2658387030901646,1.08239220030269
AB_N30,texture_high_depth_high,1,1333,1333,0.9519473871636603,0.9999119101764963,1203.6750954683298,3122.1880282852653,0.8536590221317755,-0.009230135346949357,-0.11930129526133992,0.0,0,,,0.006751687921980495,9,0.7653668647091547,0.76536686473746,0.011252813203300824,15,0.8921769989389153,0.7653668647757282
AB_N30,texture_low_depth_low,1,2088,2088,0.9546153882107155,0.9986909122140296,784.4996157744895,1864.8562411545638,1.2833909167607713,-0.0265900904468934,-0.06127687809573121,0.0023946360153256703,5,1.4782072520321201,1.84775906504015,0.010057471264367816,21,1.2380596453524904,1.4142135623730951,0.013409961685823755,28,1.2369660962756435,1.08239220030269
AB_N30,all_interior75,2,16999,16999,0.941870692176788,0.9997470097701167,959.0455389046565,2465.9352627028993,1.0876632977095917,-0.0845821442251375,-0.31262135067084795,0.0013530207659274076,23,0.9640482078430181,1.847759064947762,0.00694158479910583,118,1.020300059453295,0.76536686473746,0.01000058826989823,170,1.092864360455053,1.0823922002644217
AB_N30,texture_high_q25,2,4251,4251,0.9392188061970842,0.9991661258484735,1021.1659856608912,2599.3239977444546,1.0367372958817027,0.08335968718355642,-0.306593732429062,0.0009409550693954364,4,1.3858192987609785,1.847759065001882,0.0061162079510703364,26,0.9831739018063457,0.76536686473746,0.009880028228652082,42,1.0680346950588666,1.0823922002644217
AB_N30,texture_low_q25,2,4434,4434,0.9418550954010814,0.9996636482115621,833.9890647349841,2036.8605014107684,1.2286516827449616,-0.019463297759358303,-0.08845152083299215,0.0015787099684258007,7,1.319827903600107,1.8477590650401499,0.007893549842129003,35,1.2027447730095582,1.4142135623730951,0.012178619756427604,54,1.2976831120338461,1.08239220030269
AB_N30,depth_high_q25,2,4250,4250,0.9549704947886125,0.9998323059237021,1233.4215716804597,3138.9452467192914,0.8495673617055625,-0.007435283203134704,-0.08388581949183518,0.0009411764705882353,4,0.0,0.0,0.006352941176470588,27,0.7481046177575349,0.76536686473746,0.009647058823529411,41,0.8622515971594643,0.7653668647757284
AB_N30,depth_low_q25,2,4250,4250,0.945281045508776,0.999411918339585,815.5410857678423,1887.3451405994977,1.2662040440221685,0.001980499345131218,-0.08314764537837813,0.0016470588235294118,7,1.3198279035682436,1.847759064947762,0.006823529411764706,29,1.1589926096776566,0.76536686473746,0.01011764705882353,43,1.1586820750252063,1.08239220030269
AB_N30,texture_high_depth_high,2,1333,1333,0.9168076880485562,0.9995440164207726,1233.421571714904,2962.8572296933953,0.8452815182864055,-0.00415617859889753,-0.1049316955951025,0.002250562640660165,3,0.0,0.0,0.008252063015753939,11,0.7335886373372471,0.7653668647757284,0.011252813203300824,15,0.8266029207946987,0.7653668647757284
AB_N30,texture_low_depth_low,2,2088,2088,0.9538258607403918,0.9992175472572824,802.4813333480101,1864.856241325375,1.2810554677383845,0.00179364367197156,-0.012683168561235603,0.0019157088122605363,4,1.84775906504015,1.84775906504015,0.007662835249042145,16,1.352505731132862,1.4142135624,0.012452107279693486,26,1.2893487093225047,1.08239220030269
AB_N30,all_interior75,3,16999,16999,0.9428694627198645,0.9997291576678161,977.0507447551269,2487.365808233342,1.0772628533605326,-0.09175390567805619,-0.3056694593006929,0.0013530207659274076,23,0.4820241039161728,0.0,0.006235660921230661,106,0.8796167699458235,0.76536686473746,0.008824048473439615,150,0.9743993208898938,1.0823922002644217
AB_N30,texture_high_q25,3,4251,4251,0.9335151219479466,0.9998897689329079,996.1096742462256,2496.407748944111,1.0502189633532464,0.06272290297275195,-0.3103523628352315,0.0009409550693954364,4,0.46193976625047045,0.0,0.0056457304163726185,24,0.9554856824225219,0.7653668647565941,0.008233356857210068,35,1.0861465372836712,1.0823922002644217
AB_N30,texture_low_q25,3,4434,4434,0.9443834009465946,0.9997251767645444,830.4000174426512,2031.8854222724583,1.2292314225661136,-0.01065816658176628,-0.10224241835006304,0.0015787099684258007,7,0.5279311614400429,0.0,0.005863779882724403,26,1.0185890326635632,0.76536686473746,0.009923319801533603,44,1.2276013990931725,1.08239220030269
AB_N30,depth_high_q25,3,4250,4250,0.9287875471577662,0.9995658700419223,1191.9688652014001,2984.154687927031,0.8657626700226759,-0.017412336229888175,-0.14557767803095248,0.001176470588235294,5,0.36955181300803003,0.0,0.007058823529411765,30,0.7642823592140503,0.76536686473746,0.01011764705882353,43,0.8604551018687556,0.76536686473746
AB_N30,depth_low_q25,3,4250,4250,0.9402842989071903,0.9996117082526571,807.506439653258,1887.3451407415698,1.2696041911007172,-0.007269975643583918,-0.051999646942781266,0.0016470588235294118,7,0.5279311614400429,0.0,0.0075294117647058826,32,0.9528040500008231,0.76536686473746,0.010823529411764706,46,1.1042834601883869,1.0823922002644217
AB_N30,texture_high_depth_high,3,1333,1333,0.9493145126200154,0.9992295012342016,1218.2760497025106,2984.1546881011604,0.8507996895488228,-0.044383353297342776,-0.1448652505192541,0.002250562640660165,3,0.0,0.0,0.006001500375093774,8,0.559460127674934,0.76536686473746,0.012753188297074268,17,0.8363065190593458,1.0823922002644217
AB_N30,texture_low_depth_low,3,2088,2088,0.9499013046582474,0.9995691614262526,791.0753008507661,1970.74038635892,1.2834765804550428,0.017474339193539825,-0.035239748970350544,0.0019157088122605363,4,0.4619397662600375,0.0,0.004789272030651341,10,0.7737653648736179,0.76536686473746,0.011015325670498084,23,1.2643772391184012,1.08239220030269
AB_N30,all_interior75,4,16999,16999,0.941465428174841,0.9997594736421047,959.0455388739615,2487.3658079548186,1.0867972481413042,-0.09235854265279296,-0.3256601375785461,0.0007647508676980999,13,1.1370825015560628,1.8477590650401499,0.005765045002647215,98,1.0239705031289619,0.76536686473746,0.008941702453085476,152,1.1287885471590287,1.08239220030269
AB_N30,texture_high_q25,4,4251,4251,0.9442293070095448,0.9995832458094582,1009.8541923611409,2599.323998179099,1.0387627649031557,0.08121772200403242,-0.31136196493182416,0.0011761938367442955,5,0.3695518130003764,0.0,0.005410491649023759,23,0.9532021228873538,0.7653668647757282,0.008468595624558928,36,1.0292722269833021,1.0823922002644217
AB_N30,texture_low_q25,4,4434,4434,0.9665937832756292,0.999379979841836,825.8975581194838,2036.860501412101,1.2349530694451012,0.007926386242886852,-0.12648508009876996,0.0011276499774470004,5,0.7391036260160601,0.0,0.005638249887235002,25,0.9652227498383863,0.76536686473746,0.008344609833107803,37,1.0852699576177836,1.08239220030269
AB_N30,depth_high_q25,4,4250,4250,0.9506804157927888,0.9989569420600822,1214.4696133475672,2984.1546879188504,0.8612849288251145,-0.013968988600232426,-0.10265901043865333,0.001176470588235294,5,0.0,0.0,0.009647058823529411,41,0.7511570882517572,0.76536686473746,0.015529411764705882,66,0.8766249337232761,0.76536686473746
AB_N30,depth_low_q25,4,4250,4250,0.9545664853097797,0.999635934047513,797.1934444132394,1887.345140631744,1.2783033625960478,-0.019081013925902227,-0.07551880042047238,0.0018823529411764706,8,1.1548494156337616,1.847759064974822,0.005647058823529412,24,1.3146212926217802,1.4142135623730951,0.010588235294117647,45,1.3443115274467214,1.08239220030269
AB_N30,texture_high_depth_high,4,1333,1333,0.9388569189305452,0.9993916419137062,1186.242391792854,2984.1546874803826,0.8702689104573864,-0.08543929659867679,-0.09560905088439423,0.0007501875468867217,1,0.0,0.0,0.005251312828207052,7,0.7487211265618828,0.76536686473746,0.008252063015753939,11,0.8700560624606731,0.7653668647757284
AB_N30,texture_low_depth_low,4,2088,2088,0.9524693221770181,0.999426244184413,798.2655465056231,1837.9996253796862,1.2838837972861536,0.007287323860249861,-0.03054735718835686,0.0014367816091954023,3,1.2318393766934335,1.84775906504015,0.007662835249042145,16,1.0555950537470673,0.76536686473746,0.012452107279693486,26,1.1881000417916796,1.08239220030269
AB_N30,all_interior75,5,16999,16999,0.9489909274056183,0.999818019066462,959.045538908065,2436.5520996989776,1.0889996925881076,-0.09386823376109628,-0.3099975755564567,0.0012941937761044768,22,1.0078685809267915,1.847759064993956,0.007412200717689276,126,1.0405851486000646,0.76536686473746,0.010118242249544092,172,1.0932223793171894,1.082392200283556
AB_N30,texture_high_q25,5,4251,4251,0.9391907959605333,0.9992540302461227,1021.423829803551,2465.935262726938,1.0503715949085146,0.09344126382494419,-0.3226951398889999,0.0014114326040931546,6,0.9238795324765229,0.9238795324547469,0.009409550693954364,40,1.030884769987861,0.7653668647757284,0.012232415902140673,52,1.0631374989262556,1.0823922002644217
AB_N30,texture_low_q25,5,4434,4434,0.9317967948767772,0.9995126197528071,830.4000174044743,2096.9847804098304,1.2274721762002119,-0.01192021940134653,-0.14326756016030903,0.0020297699594046007,9,1.2318393766934337,1.84775906504015,0.007668019846639603,34,1.0987658730202463,1.089790213537864,0.011276499774470004,50,1.1966026730435337,1.08239220030269
AB_N30,depth_high_q25,5,4250,4250,0.9471741074341945,0.9994127040854766,1227.0798660053533,3183.5087350990025,0.8563056837704016,-0.0073625237229219915,-0.12899401405021063,0.001176470588235294,5,0.36955181300803003,0.0,0.007058823529411765,30,0.7859105824584464,0.76536686473746,0.00988235294117647,42,0.8706196161236748,0.76536686473746
AB_N30,depth_low_q25,5,4250,4250,0.9496606996711714,0.9992505329832929,804.9821232546647,1970.7403864088071,1.2722727765909623,-0.015946212950786666,-0.08627986602043689,0.0009411764705882353,4,1.3858192987801126,1.84775906504015,0.006352941176470588,27,1.3719622545114347,1.4142135623730951,0.011294117647058824,48,1.4158906067714556,1.4142135623730951
AB_N30,texture_high_depth_high,5,1333,1333,0.9388079481538726,0.9989580201379459,1218.2760498751222,3183.5087353982653,0.8573104974102014,-0.08592670861337551,-0.11758514433352073,0.0015003750937734434,2,0.0,0.0,0.007501875468867217,10,0.6122934917922096,0.76536686473746,0.009752438109527382,13,0.7207778091378383,0.76536686473746
AB_N30,texture_low_depth_low,5,2088,2088,0.9448388308323401,0.9994883076813682,781.7639542138716,1887.345140718495,1.2896915264587516,0.028340905773322357,-0.06360662694788621,0.0019157088122605363,4,1.3858192987801126,1.84775906504015,0.006226053639846743,13,1.2058317281571838,1.4142135624,0.009099616858237548,19,1.4455489144180955,1.4142135624
AB_N30,all_interior75,6,16999,16999,0.9470635883142505,0.9995785034650883,971.2935861414679,2436.5521000866574,1.0847441272836063,-0.09412717691865938,-0.3199995596147024,0.0009412318371668922,16,0.923879532520075,0.9238795325200749,0.006118006941584799,104,0.9501460574577428,0.76536686473746,0.00923583740220013,157,1.0478532075128328,1.0823922002644217
AB_N30,texture_high_q25,6,4251,4251,0.9409483030962446,0.999765444713514,1009.2529250791465,2599.323997745726,1.043496195059455,0.07905683525900732,-0.32808543251617833,0.0011761938367442955,5,0.7391036259899287,0.0,0.009174311926605505,39,1.0067054157654707,0.76536686473746,0.011761938367442954,50,1.0868996728361708,0.923879532520075
AB_N30,texture_low_q25,6,4434,4434,0.9488427363897289,0.9995515531015211,837.9686879819855,2066.2668686463644,1.2186865368687219,-0.008259401224702968,-0.1302252868674287,0.0018042399639152007,8,1.6167891819101312,1.84775906504015,0.006089309878213802,27,1.303680888774213,1.4142135623730951,0.010148849797023005,45,1.3296947192641198,1.4142135623
AB_N30,depth_high_q25,6,4250,4250,0.9463775000192955,0.9997735994316984,1227.079866022239,3183.5087345876136,0.8541853161521108,-0.034289570719425955,-0.10899836440243356,0.001411764705882353,6,0.0,0.0,0.0075294117647058826,32,0.6624134961899725,0.76536686473746,0.011294117647058824,48,0.8024063975576893,0.76536686473746
AB_N30,depth_low_q25,6,4250,4250,0.9472333567637523,0.9998331071448857,791.4245043951695,1887.3451406149643,1.2780042540528207,-0.021396985056404756,-0.11149210362552175,0.001411764705882353,6,1.5397992208450155,1.8477590650210158,0.005411764705882353,23,1.1903367542012675,1.4142135623,0.008470588235294117,36,1.3709857253991635,1.4142135623365477
AB_N30,texture_high_depth_high,6,1333,1333,0.9490645887374257,0.9997356444536181,1191.9688651986855,2863.8424710196105,0.8760469315347619,-0.011187381443016281,-0.11728732808766355,0.0007501875468867217,1,1.8477590650018818,1.8477590650018818,0.008252063015753939,11,0.9817382825001132,0.76536686473746,0.012003000750187547,16,1.0131926318086348,0.923879532520075
AB_N30,texture_low_depth_low,6,2088,2088,0.9521254929036149,0.9995471238086112,795.1165292808105,1869.9434873628225,1.2829511926307304,-0.0193346368965851,-0.034331805630747114,0.0019157088122605363,4,0.923879532520075,0.9238795325200749,0.005747126436781609,12,1.1373727478176638,1.4142135623730951,0.011494252873563218,24,1.242264066714572,1.08239220030269
AB_N30,all_interior75,7,16999,16999,0.9481712326535703,0.9996828112016357,968.1876286889229,2465.9352629823784,1.0819833017416969,-0.09510664623784343,-0.31481509921221684,0.0015295017353961998,26,0.9238795325150497,0.923879532473881,0.006588622860168245,112,0.9864231430065011,0.76536686473746,0.009765280310606507,166,1.1163110537716938,1.0823922002644217
AB_N30,texture_high_q25,7,4251,4251,0.9514530527748571,0.9997979394640257,1009.2529250793931,2487.365808476433,1.0477787272502517,0.09417793747618448,-0.33699900980485414,0.0016466713714420136,7,0.7918967421172669,0.0,0.006351446718419196,27,0.9117620057327729,0.76536686473746,0.009880028228652082,42,1.0483479853080329,1.0823922002644217
AB_N30,texture_low_q25,7,4434,4434,0.9382448536480482,0.9994159938427499,829.027806437778,1970.7403864056348,1.2363261945155886,-0.006697589070257666,-0.12450856027206363,0.0011276499774470004,5,1.8477590650401503,1.84775906504015,0.006991429860171402,31,1.329489678172625,1.4142135623730951,0.011502029769959404,51,1.4111600759995246,1.4142135623730951
AB_N30,depth_high_q25,7,4250,4250,0.9501139259635054,0.999455537779127,1218.2760498755722,2984.154687481786,0.8587117504811531,-0.021781510783180108,-0.1179873797030433,0.0018823529411764706,8,0.23096988313001876,0.0,0.0075294117647058826,32,0.8345322123476646,0.7653668647374601,0.01011764705882353,43,0.8979382557753502,1.0823922002644217
AB_N30,depth_low_q25,7,4250,4250,0.9475237817400578,0.9996895272695455,802.4813333370851,1910.6677720520436,1.2714590334731222,0.008111831727214988,-0.06686889520889926,0.0018823529411764706,8,0.923879532487411,0.9238795324547469,0.0051764705882352945,22,1.1388320572795883,1.4142135623730951,0.010823529411764706,46,1.408682689196205,1.4142135623730951
AB_N30,texture_high_depth_high,7,1333,1333,0.9557393907754185,0.9985204185737915,1210.694727410962,2945.479763828684,0.8608461859591117,-0.04862927267636057,-0.15855327184732063,0.0,0,,,0.006001500375093774,8,0.8464727019221805,0.76536686473746,0.008252063015753939,11,0.9108143832917254,0.76536686473746
AB_N30,texture_low_depth_low,7,2088,2088,0.9472819470935578,0.9990613036178784,777.2016093285065,1864.856240962095,1.3003373046770912,-0.020237234231264688,-0.0505222606276566,0.0,0,,,0.003352490421455939,7,1.2108115744755061,0.7653668647757284,0.006704980842911878,14,1.3735417605061557,1.08239220030269
AB_N30,all_interior75,8,16999,16999,0.9438957197939615,0.999654951464352,968.1876286879158,2436.5520999878413,1.0846320397741287,-0.1006799629063056,-0.31895790835034926,0.0016471557150420613,28,0.461939766256738,0.0,0.00617683393140773,105,0.8562776100268018,0.76536686473746,0.009647626330960645,164,0.9875598836399214,1.0823922002644217
AB_N30,texture_high_q25,8,4251,4251,0.9431941920360881,0.9997752638113745,1021.4238298192563,2487.365808484273,1.04682470278561,0.06237499610017332,-0.28563047410346243,0.0014114326040931546,6,0.6159196883403387,0.0,0.0051752528816749,22,0.9015667341505424,0.76536686473746,0.007998118089861209,34,0.9965360969448513,1.082392200283556
AB_N30,texture_low_q25,8,4434,4434,0.9448766538709005,0.9995882751470371,837.9686879818464,2036.860501409879,1.228777389448064,-0.00875704923344228,-0.1275146909041492,0.0022552999548940008,10,1.2934313455281052,1.84775906504015,0.007668019846639603,34,1.2395391555516413,1.4142135623730951,0.009246729815065404,41,1.264370296912325,1.4142135623730951
AB_N30,depth_high_q25,8,4250,4250,0.9456496742741045,0.9998891366756164,1227.0798658954207,3055.159156793439,0.8575879382564137,-0.021872702276531514,-0.10899799925064622,0.0016470588235294118,7,0.26396558072002146,0.0,0.008705882352941176,37,0.7932619429858905,0.76536686473746,0.010823529411764706,46,0.8498309063722962,0.76536686473746
AB_N30,depth_low_q25,8,4250,4250,0.9500632637546489,0.9998654810474282,799.4939236119753,1887.3451406205766,1.279577245341527,-0.01870365902730573,-0.0902195830446101,0.0009411764705882353,4,0.4619397662600375,0.0,0.006823529411764706,29,1.0324022044855383,0.76536686473746,0.01011764705882353,43,1.168534267416295,1.08239220030269
AB_N30,texture_high_depth_high,8,1333,1333,0.9322826367620268,0.999552998944772,1227.0798658827425,3183.5087354062125,0.8492400427996768,-0.00156163581380326,-0.04806901819135094,0.0007501875468867217,1,0.0,0.0,0.006001500375093774,8,0.6696960066365311,0.76536686473746,0.00900225056264066,12,0.8072614045188727,0.7653668647757284
AB_N30,texture_low_depth_low,8,2088,2088,0.9410135385920116,0.9997322098529756,778.1407947214662,1864.8562413052452,1.3012520686380182,0.009762655787833217,-0.047532826723214246,0.0019157088122605363,4,0.923879532520075,0.923879532520075,0.007183908045977011,15,1.1969449280662527,1.4142135623730951,0.011015325670498084,23,1.375029797677892,1.4142135623730951
AB_N30,all_interior75,9,16999,16999,0.9398191255549089,0.9995891887063446,968.1876287009434,2487.36580820517,1.0811180355611945,-0.08983805803716874,-0.3194740162940872,0.0012941937761044768,22,0.41994524205038014,0.0,0.006000352961938938,102,0.9237571693742667,0.76536686473746,0.009824107300429437,167,1.0472237235008022,1.08239220030269
AB_N30,texture_high_q25,9,4251,4251,0.9395664209363715,0.9997028998124536,1002.911304051154,2487.365808396594,1.0507576601245494,0.06829622387993475,-0.3183538229380007,0.0007057163020465773,3,1.2318393766934335,1.84775906504015,0.005880969183721477,25,1.0498835564976252,0.76536686473746,0.0103505057633498,44,1.1329148636414923,1.082392200283556
AB_N30,texture_low_q25,9,4434,4434,0.9427884050290084,0.9998422292771558,833.9890647471009,2110.1160160296213,1.2215528327891856,-0.004226763651230603,-0.13125578296259321,0.0018042399639152007,8,0.923879532520075,0.9238795325200749,0.006314839873703203,28,1.0842290502357383,1.0897902135552775,0.009021199819576003,40,1.2425359064428065,1.2483028813378927
