vertex_id,degree,vertex_type,depth,balance,drift_x,drift_y,boundary_dist,nearest_edge,perp_x,perp_y,cos_alignment,type_rank
0,6,C,0.9590168678298647,0.1275611441216966,0.04881553646666664,0.11785113020000003,1.1480502970788546,6,0.405591591,-0.0208152802,2.2965246541316245e-11,2
1,3,F,0.3122533117435896,0.8047378541243652,0.5690355937333333,-0.5690355937333333,0.5139996259232668,3,-0.3015151902,0.686291501,0.9238795325112867,5
2,3,F,0.3033645729093277,0.8047378541243652,-0.8047378541333333,0.0,0.23543591303525868,7,1.405591591,-0.0208152802,0.38268343236509045,5
3,4,E,0.4422132289590407,0.6532814824381883,-0.25,-0.6035533906,0.6021880197026958,1,0.6984848098,0.686291501,-0.7071067811837615,4
4,6,C,0.6838151454858231,0.307959844170429,-0.11785113020000003,-0.2845177968666667,0.9848714520502091,1,0.405591591,0.3933982822,-0.7071067811893335,2
5,3,F,0.084216310696828,0.8047378541243652,0.5690355937333333,-0.5690355937333333,0.1359823709026211,2,-0.3015151902,1.1005050634,0.9238795325112867,5
6,3,F,0.23606664991016402,0.8047378541243652,-0.8047378541333333,0.0,0.16977781625297506,0,1.405591591,0.3933982822,-0.3826834323650897,5
7,4,E,0.17732731883551145,0.6532814824381883,-0.25,-0.6035533906,0.21950458731274924,1,0.6984848098,1.1005050634,-0.7071067811837615,4
8,6,C,0.9173027484405163,0.307959844170429,-0.11785113020000003,0.2845177968666667,0.9895376293474614,6,0.405591591,-0.1923881554,0.7071067811893338,2
9,4,E,0.39385973104010563,0.6532814824545203,0.6035533906,-0.250000000025,0.57965772270555,3,-0.3015151902,0.5147186258,0.7071067812087616,4
10,3,F,0.2996714081441333,0.8047378541243652,-0.8047378541333333,0.0,0.1697778162529754,7,1.405591591,-0.1923881554,0.38268343236509045,5
11,5,D,0.5466385543571086,0.4828427124887612,-0.34142135624000003,-0.34142135626000003,0.7607006874340891,1,0.6984848098,0.5147186258,-0.9238795325000783,3
12,8,A,0.7993585433349543,1.2500028789861067e-11,-2.7755575615628914e-17,2.5000002068509275e-11,1.1433841198739905,1,0.405591591,0.2218254069,,0
13,3,F,0.18256792478408634,0.8047378541243652,0.5690355937333333,-0.5690355937333333,0.29449503872640226,2,-0.3015151902,0.9289321881,0.9238795325112867,5
14,3,F,0.2762056263772147,0.8047378541410318,-0.8047378541333333,3.33333360913457e-11,0.23543591307352663,0,1.405591591,0.2218254069,-0.3826834323268214,5
15,4,E,0.28843428108681735,0.6532814824381883,-0.25,-0.6035533906,0.3780172551365304,1,0.6984848098,0.9289321881,-0.7071067811837615,4
16,5,D,0.8028447455575952,0.4828427124746191,-2.2204460492503132e-17,0.48284271248,0.8310249615236801,6,0.405591591,-0.3639610307,0.38268343236509,3
17,4,E,0.46270242445821885,0.6532814824381883,0.6035533906,-0.25,0.6453158195261016,3,-0.3015151902,0.3431457505,0.7071067811837616,4
18,4,E,0.27716426796292226,0.6532814824381883,-0.6035533906,0.25,0.10411971943242371,7,1.405591591,-0.3639610307,0.7071067811837619,4
19,5,D,0.6438830818063885,0.482842712474619,-0.34142135624000003,-0.34142135624000003,0.8422901100195833,0,0.6984848098,0.3431457505,-0.9238795325112867,3
20,8,A,0.9138996707145289,2.7755575615628914e-17,-2.7755575615628914e-17,0.0,1.186511919735114,7,0.405591591,0.0502525317,,0
21,3,F,0.275705329084712,0.8047378541243652,0.5690355937333333,-0.5690355937333333,0.45300770645779576,2,-0.3015151902,0.7573593129,0.9238795325112867,5
22,3,F,0.299261412609242,0.8047378541243652,-0.8047378541333333,0.0,0.2626323872238273,7,1.405591591,0.0502525317,0.38268343236509045,5
23,4,E,0.39772651971307516,0.6532814824381883,-0.25,-0.6035533906,0.5365299228679238,1,0.6984848098,0.7573593129,-0.7071067811837615,4
24,6,C,0.6358864841074459,0.307959844170429,-0.11785113020000003,-0.2845177968666667,0.9192133552154371,1,0.405591591,0.4644660941,-0.7071067811893335,2
25,3,F,0.042326167553248695,0.8047378541243652,0.5690355937333333,-0.5690355937333333,0.07032427406784891,2,-0.3015151902,1.1715728753,0.9238795325112867,5
26,3,F,0.21501595327614076,0.8047378541243652,-0.8047378541333333,0.0,0.14258134206440665,0,1.405591591,0.4644660941,-0.3826834323650897,5
27,4,E,0.13093743372879774,0.6532814824381883,-0.25,-0.6035533906,0.15384649047797705,1,0.6984848098,1.1715728753,-0.7071067811837615,4
28,6,C,0.9620305399425931,0.307959844181317,-0.11785113020000003,0.28451779688333334,1.0551957260898455,6,0.405591591,-0.1213203436,0.7071067811746892,2
29,4,E,0.36134321924854196,0.6532814824381883,0.6035533906,-0.25,0.5524612485552498,3,-0.3015151902,0.5857864376,0.7071067811837616,4
30,3,F,0.30353536984827456,0.8047378541410318,-0.8047378541333333,3.33333360913457e-11,0.19697429040327563,7,1.405591591,-0.1213203436,0.3826834324033587,5
31,5,D,0.5040029653914699,0.4828427124746191,-0.34142135624000003,-0.34142135624000003,0.695042590691705,1,0.6984848098,0.5857864376,-0.9238795325112868,3
32,7,B,0.7515407895563415,0.1428571428571429,-0.10101525445714288,-0.10101525445714286,1.0777260230392183,1,0.405591591,0.2928932188,-0.9238795325112868,1
33,3,F,0.14236150025698868,0.8047378541243652,0.5690355937333333,-0.5690355937333333,0.22883694189163029,2,-0.3015151902,1.0,0.9238795325112867,5
34,3,F,0.2615196140657391,0.8047378541243652,-0.8047378541333333,0.0,0.20823943888495822,0,1.405591591,0.2928932188,-0.3826834323650897,5
35,4,E,0.24258705385893842,0.6532814824381883,-0.25,-0.6035533906,0.3123591583017584,1,0.6984848098,1.0,-0.7071067811837615,4
36,6,C,0.8505268127001172,0.307959844170429,-0.11785113020000003,0.2845177968666667,0.8966830583584522,6,0.405591591,-0.2928932188,0.7071067811893338,2
37,4,E,0.4360546679167865,0.6532814824381883,0.6035533906,-0.25,0.618119345337533,3,-0.3015151902,0.4142135624,0.7071067811837616,4
