vertex_type,count,mean_bd,std_bd,mean_balance,mean_depth
A,499,1.1592561776681327,0.04944543528864652,6.1247039011534825e-12,0.8525231492905456
B,207,1.069214192726104,0.01597519413517526,0.14285714285739093,0.8110045991915041
C,1004,0.9527819876374054,0.07080293645262023,0.30742080422990886,0.7465023483562613
D,2395,0.8096652688895181,0.08022997892791485,0.48261068416087505,0.6458314162570429
E,5840,0.4650180477130752,0.16882546539841098,0.6531831904606601,0.4245786582742652
F,7047,0.27292613228502416,0.13725042047570013,0.8047055868351071,0.2790166086583933
