substrate,start_vertex,perp_residue,depth,balance,gap_deg,degree,boundary_dist,vertex_type
AB,824,1.0823922002644217,0.7735051750902124,0.307959844181317,135.00000000405143,6,0.9782724808359352,C
AB,13809,1.0823922002644217,0.391350700990152,0.6532814824545202,225.0000000040514,4,0.5955890484979263,E
AB,1121,1.08239220030269,0.4204424550982172,0.8047378541243652,270.0,3,0.28982886139088193,F
AB,6637,1.0823922002644217,0.2954133221081451,0.6532814824314233,225.0,4,0.409879906540247,E
AB,1975,1.08239220030269,0.6485482984262865,0.482842712474619,180.0,5,0.9079482067619672,D
AB,9443,0.76536686473746,0.2638291527604997,0.6532814824381883,225.0,4,0.08818839370126197,E
AB,16768,1.4142135623,0.5847305822831841,0.6532814824449533,225.0,4,0.507400654830996,E
AB,3089,1.08239220030269,0.8438226701671575,1.2500028789861067e-11,45.000000004051415,8,1.120853822958949,A
AB,11331,1.4142135623,0.6989559814550318,0.482842712474619,180.0,5,0.7222390648420056,D
AB,17888,0.76536686473746,0.44838987490085325,0.6532814824381883,225.0,4,0.5590602198033048,E
AB,3837,0.76536686473746,0.5520702479837292,0.8047378541243652,270.0,3,0.5093334487036314,F
AB,10976,1.8477590650401499,0.28945315250100667,0.804737854124365,270.0,3,0.11538486783593904,F
AB,19349,0.0,0.11365720368886079,0.8047378541243652,270.0,3,0.13131619358721158,F
AB,13688,0.76536686473746,0.44968946049907865,0.6532814824449532,225.0,4,0.4914693290755583,E
AB,2335,0.76536686473746,0.7687569880278062,0.14285714284704135,90.0,7,1.0936573487500412,B
AB,1831,1.4142135623730951,0.3606019896729935,0.6532814824381883,225.0,4,0.22417076464433305,E
AB,4503,0.76536686473746,0.6974042798346288,0.307959844170429,135.0,6,1.000802777781371,C
AB,15046,1.4142135623730951,0.24842363366018227,0.8047378541243652,270.0,3,0.31702533557945034,F
AB,5595,1.0823922002644217,0.6012511290854683,0.6532814824449532,225.0,4,0.5796577227829388,E
AB,5495,0.7653668647757282,0.6641186252144735,0.30795984418131694,135.00000000405143,6,0.8356911387910887,C
AB,9095,0.0,0.7342823250581627,0.30795984415503097,135.0,6,0.930478503741735,C
AB,16488,1.0823922002644217,0.6299247880398451,0.48284271248461896,180.0,5,0.7607006874745393,D
AB,20395,1.4142135623730951,0.14248264195769078,0.8047378541243652,270.0,3,0.2354359130391952,F
AB,196,0.765366864645072,0.7325537971259841,0.307959844181317,135.00000000405143,6,0.9782724808459906,C
AB,12650,0.7653668647757284,0.650594177526882,0.4828427124746191,180.0,5,0.8038284873013309,D
AB,8901,1.08239220030269,0.7967842608993219,0.307959844170429,135.0,6,1.043930577655936,C
AB,12677,2.000000000038049,0.3047583054701001,0.6532814824545202,225.0000000040514,4,0.08158942248305068,E
AB,11469,2.0,0.29824664279481294,0.6532814824314233,225.0,4,0.2626323872562051,E
AB,8434,0.76536686473746,0.5662209301690535,0.4828427124746191,180.0,5,0.8422901100296386,D
AB,19640,1.0823922002644217,0.41746742682630367,0.8047378541410318,270.0000000040514,3,0.2785637129832017,F
AB,8077,0.76536686473746,0.43692753679283525,0.6532814824381883,225.0,4,0.5955890484641455,E
AB,974,2.1414449415378507,0.13205169716598097,0.8047378541243652,270.0,3,0.22883694189556714,F
AB,12753,1.4142135623730951,0.5323789353368815,0.8047378541243649,270.0,3,0.6115203742916328,F
AB,6344,1.4142135623730951,0.29294727809693377,0.804737854124365,270.0,3,0.1200510451580179,F
AB,4633,0.76536686473746,0.871449980686841,0.0,45.0,8,1.193110890881276,A
AB,12344,0.76536686473746,0.4512574410279927,0.6532814824545203,225.0000000040514,4,0.4868031517980945,E
AB,1131,1.4142135623730951,0.5813046864498591,0.6532814824381883,225.0,4,0.6068541969661677,E
AB,11691,1.4142135623730951,0.2509375086176632,0.6532814824381883,225.0,4,0.3714182839323119,E
AB,369,0.76536686473746,0.6552008678402432,0.482842712474619,180.0,5,0.803828487397656,D
AB,8170,0.7653668646450721,0.6365552109280769,0.6532814824150912,224.99999999594857,4,0.6565809680753456,E
AB,19796,2.1414449415378507,0.13135794327269656,0.8047378541243652,270.0,3,0.18570914192608035,F
AB,7598,1.0823922002644217,0.38839962607919143,0.6532814824150912,224.99999999594857,4,0.2898288614070561,E
AB,13289,1.08239220030269,0.5824863954373501,0.4828427124746191,180.0,5,0.8150936357447454,D
AB,14432,1.08239220030269,0.687593363013296,0.6532814824545202,225.0000000040514,4,0.6499819967990776,E
AB,2380,0.7653668646833404,0.41603959087928066,0.6532814824314233,225.0,4,0.563726397066776,E
AB,1323,1.8477590650018818,0.12291807360990559,0.8047378541410316,270.0000000040514,3,0.011265148443414308,F
AB,455,1.08239220030269,0.5828895638739039,0.8047378541243652,270.0,3,0.5683925742998531,F
AB,16510,1.08239220030269,0.21863397115984484,0.6532814824381883,225.0,4,0.328290484070638,E
AB,15938,0.0,0.47623678773057954,0.6532814824381883,225.0,4,0.5252647744266911,E
AB,11680,0.0,0.6914523945306029,0.4828427124887612,180.00000000405143,5,0.8197598130741472,D
AB,442,0.0,0.17811714089359798,0.8047378541243652,270.0,3,0.21290561615848502,F
AB,14529,0.0,0.6173362176819057,0.4828427124746191,180.0,5,0.7607006874402079,D
AB,21579,1.08239220030269,0.4487086469702204,0.8047378541243652,270.0,3,0.3826834323536319,F
AB,9315,1.0823922002644217,0.6302463992174198,0.6532814824381883,225.0,4,0.6293844938826121,E
AB,16653,1.08239220030269,0.4896325003758273,0.6532814824381883,225.0,4,0.48680315180476397,E
AB,20774,1.0823922002644217,0.198018037668647,0.8047378540910316,269.99999999189714,3,0.31702533565290203,F
AB,17430,1.4142135623730951,0.3189145281040042,0.6532814824381883,225.0,4,0.4755380033990668,E
AB,2356,1.8477590650401503,0.6450918133333423,0.6532814824381883,225.0,4,0.6453158195699378,E
AB,18426,2.0,0.3158138901853761,0.6532814824381883,225.0,4,0.28982886137666153,E
AB,2862,1.08239220030269,0.8404483022302468,0.4828427124746191,180.0,5,0.9238795324749718,D
AB,9832,0.7653668646450721,0.6013691907737928,0.6532814824449533,225.0,4,0.6021880197465322,E
AB,8230,0.7653668646450721,0.7303190387981184,0.4828427124604769,179.99999999594857,5,0.8535552584872739,D
AB,16396,1.4142135624,0.7253767239244485,0.6532814824381883,225.0,4,0.7043749451904353,E
AB,1960,0.7653668647374602,0.3944913484624265,0.8047378541243649,270.0,3,0.3939485808009834,F
AB,19423,0.7653668646450721,0.1995389064013363,0.8047378540910316,269.99999999189714,3,0.32169151291637355,F
AB,21113,1.0823922002644217,0.25047541662784223,0.8047378541410316,270.0000000040514,3,0.06099191958135619,F
AB,11757,0.76536686473746,0.32566390233730724,0.8047378541243652,270.0,3,0.4436753518588039,F
AB,2762,1.4142135623,0.2718110207124922,0.6532814824381883,225.0,4,0.3667521066649031,E
AB,12915,0.7653668646450721,0.4558783244518785,0.6532814824150912,224.99999999594857,4,0.3057601871516593,E
AB,8692,0.0,0.36214238411237376,0.6532814824381883,225.0,4,0.48680315177993694,E
AB,8691,1.4142135623730951,0.7235448934724151,0.4828427124746191,180.0,5,0.7607006874840442,D
AB,18358,1.4142135623730951,0.2743098791743981,0.8047378541243652,270.0,3,0.4258112323392924,F
AB,13261,0.7653668647757284,0.14275651574803006,0.6532814824545203,225.0000000040514,4,0.21290561613225556,E
AB,1401,1.84775906504015,0.2932870029367881,0.804737854124365,270.0,3,0.4530077065016316,F
AB,11499,0.7653668646450721,0.6867575200449306,0.307959844181317,135.00000000405143,6,1.0279992518917722,C
AB,1698,1.9999999999673386,0.3070959975744386,0.8047378541243652,270.0,3,0.4980683002462245,F
AB,12728,0.0,0.7232158612734958,0.48284271248876115,180.00000000405143,5,0.7653668646693481,D
AB,512,0.76536686473746,0.19384092371627681,0.8047378541243652,270.0,3,0.2898288613571014,F
AB,6201,0.76536686473746,0.36010093458512515,0.6532814824381883,225.0,4,0.486803151798645,E
AB,15544,0.7653668647757284,0.4802833916136773,0.6532814824545203,225.0000000040514,4,0.6387168483509474,E
AB,4686,0.0,0.3614002269048566,0.6532814824381883,225.0,4,0.5571274258525019,E
AB,2630,1.08239220030269,0.7822282995991986,2.7755575615628914e-17,45.00000000000001,8,1.1593154455566004,A
AB,16146,0.7653668647757284,0.4424090730647312,0.8047378541243652,270.0,3,0.48020418058775727,F
AB,18792,0.7653668646450721,0.30102094531803814,0.8047378540910316,269.99999999189714,3,0.15851266782518425,F
AB,1550,0.7653668647757284,0.5128082866872768,0.6532814824545203,225.0000000040514,4,0.44834152918228554,E
AB,8629,0.76536686473746,0.6745252916768439,0.307959844170429,135.0,6,0.9510760066816977,C
AB,1494,1.0823922002644217,0.6337179148586124,0.6532814824545203,225.0000000040514,4,0.634050671160304,E
AB,2243,0.765366864645072,0.8889389908094291,1.2500028789861067e-11,45.000000004051415,8,1.170580594024291,A
AB,6509,1.08239220030269,0.18778823667760502,0.8047378541243652,270.0,3,0.2354359129671464,F
AB,15831,2.0,0.4780077667479634,0.6532814824381883,225.0,4,0.34888798697288326,E
AB,5022,1.4142135623,0.712892001932363,0.4828427124604769,179.99999999594857,5,0.8422901100438593,D
AB,7410,0.76536686473746,0.7245470617256426,0.307959844170429,135.0,6,0.9670073324120809,C
AB,13458,0.76536686473746,0.4767344960453217,0.8047378541243652,270.0,3,0.5299309517117065,F
AB,22403,1.08239220030269,0.39751283888030464,0.8047378541243652,270.0,3,0.5477950713160543,F
AB,764,1.4142135624,0.7220219715783462,0.4828427124887612,180.00000000405143,5,0.8197598130702104,D
AB,15178,1.4142135623730951,0.3033014914154979,0.804737854124365,270.0,3,0.26729856448928224,F
AB,10878,2.1414449414743264,0.26968594431337123,0.6532814824150912,224.99999999594857,4,0.22417076463427743,E
AB,13482,1.4142135624,0.3638720624321081,0.8047378541243652,270.0,3,0.30109400987256485,F
AB,4913,1.08239220030269,0.9176793750440226,0.14285714285714285,90.0,7,1.0551957261336817,B
AB,1134,0.76536686473746,0.7772263509961989,0.0,45.0,8,1.152716474414375,A
AB,12670,1.08239220030269,0.33850525793730624,0.8047378541243649,270.0,3,0.2241707646382144,F
AB,8325,1.4142135623730951,0.9120278596157726,0.307959844170429,135.0,6,1.0214002807995015,C
AB,13534,2.1414449415733867,0.25723639829629497,0.6532814824381883,225.0,4,0.2241707645857256,E
AB,3258,1.0823922002644217,0.4750861991589447,0.6532814824150912,224.99999999594857,4,0.6884436195078254,E
AB,801,1.08239220030269,0.28428645932852414,0.8047378541076983,269.9999999959486,3,0.3939485808213221,F
AB,7902,1.8477590650401499,0.3531116009350199,0.8047378541243652,270.0,3,0.23543591301823263,F
AB,16365,0.0,0.47755214041904315,0.6532814824150912,224.99999999594857,4,0.34888798704711377,E
AB,14370,1.4142135623730951,0.33727498337238826,0.6532814824150912,224.99999999594857,4,0.3282904840672518,E
AB,14523,0.76536686473746,0.5338688559006801,0.6532814824381883,225.0,4,0.6950425906196565,E
AB,13949,1.08239220030269,0.26396904351271233,0.8047378541243652,270.0,3,0.10411971943636078,F
AB,10209,0.76536686473746,0.17604513774025976,0.8047378541243649,270.0,3,0.21950458735518263,F
AB,9457,1.08239220030269,0.4310992144636572,0.8047378541243652,270.0,3,0.2832298901623871,F
AB,5660,1.8477590650401503,0.0741847500242262,0.8047378541243652,270.0,3,0.18570914202438882,F
AB,2156,1.4142135623,0.6648502673585855,0.6532814824449532,225.0,4,0.6725122937766637,E
AB,8547,1.08239220030269,0.6797667285258864,0.4828427124604769,179.99999999594857,5,0.8356911388491453,D
AB,15523,2.141444941537851,0.3401938650649108,0.8047378541243652,270.0,3,0.31235915830592365,F
AB,14214,2.000000000038049,0.4738993273449661,0.6532814824381883,225.0,4,0.3329566612721159,E
AB,10787,1.4142135623,0.697174059464044,0.482842712474619,180.0,5,0.7269052421336899,D
AB,10782,0.0,0.7427210346553408,0.482842712474619,180.0,5,0.7925633389159732,D
AB,9973,2.000000000038049,0.21904825605735367,0.8047378541243652,270.0,3,0.3826834323455597,F
AB,758,0.765366864645072,0.5477983916246247,0.6532814824150912,224.99999999594857,4,0.5252647744644089,E
AB,11530,1.8477590650401503,0.45736929896893985,0.6532814824545202,225.0000000040514,4,0.6771784710253637,E
AB,11461,0.765366864645072,0.3047289468972906,0.8047378541243649,270.0,3,0.3554869582396466,F
AB,5845,2.1414449415378507,0.16290755735702167,0.8047378541243652,270.0,3,0.2513672388167274,F
AB,13502,0.76536686473746,0.4377827940895259,0.6532814824381883,225.0,4,0.27856371292931015,E
AB,20068,1.4142135623730951,0.4420652315945883,0.8047378541243652,270.0,3,0.34888798703289337,F
AB,15963,1.4142135623730951,0.3719033193644936,0.6532814824381883,225.0,4,0.5524612486186458,E
AB,3254,1.0823922002644217,0.16474286146086803,0.8047378541243649,270.0,3,0.25136723878294687,F
AB,8909,0.76536686473746,0.7844637967504006,0.482842712474619,180.0,5,0.9464098294520071,D
AB,12781,1.08239220030269,0.33875965054849466,0.8047378541243649,270.0,3,0.39394858080351736,F
AB,19889,1.4142135624,0.331642150692504,0.8047378541410316,270.0000000040514,3,0.18104296470032666,F
AB,16522,0.76536686473746,0.41374077205019255,0.6532814824381883,225.0,4,0.6453158196258124,E
AB,19582,1.84775906504015,0.2012049180643657,0.8047378541410316,270.0000000040514,3,0.28982886135850383,F
