substrate,lambda,seed,walkers,alpha_vs_cost_time,alpha_vs_cost_time_r2,alpha_vs_steps,alpha_vs_steps_r2,mean_cost_time_at_1024,msd_phys_at_1024,near_return_frac_d2,near_return_mean_perp_mismatch,final_mean_perp_mismatch
AB_N30,0,0,5000,0.9378044468759236,0.9998192909848753,0.9378044468759236,0.9998192909848753,1024.0,805.3126306745919,0.0082,1.0918566958498714,1.0882806408040058
AB_N30,0,1,5000,0.9408613587744883,0.9996124282111685,0.9408613587744883,0.9996124282111685,1024.0,795.0397619367002,0.0064,0.9501795187047211,1.0965858869962959
AB_N30,0,2,5000,0.9372364331685279,0.9995372826440255,0.9372364331685279,0.9995372826440255,1024.0,805.438112925641,0.0052,0.998597376324121,1.0843369859085699
AB_N30,0,3,5000,0.942131955085547,0.9997634820270535,0.942131955085547,0.9997634820270535,1024.0,808.5314718990886,0.0064,1.0340018594755898,1.0920604428546867
AB_N30,0,4,5000,0.95322931686418,0.9997173039433109,0.95322931686418,0.9997173039433109,1024.0,813.0038891256172,0.0068,1.0048330290867535,1.092225220042734
AB_N30,0,5,5000,0.9483086913276164,0.9994864251111432,0.9483086913276164,0.9994864251111432,1024.0,808.3559244677239,0.0068,1.2516750602860445,1.0845056119708105
AB_N30,0,6,5000,0.9521089602780366,0.9990098659525581,0.9521089602780366,0.9990098659525581,1024.0,813.18958356986,0.0062,0.9614568430421614,1.0782516899237635
AB_N30,0,7,5000,0.9573900074687346,0.9994122989074513,0.9573900074687346,0.9994122989074513,1024.0,831.908905779874,0.007,0.9666429036103188,1.0725432344887638
AB_N30,0,8,5000,0.9466244310799558,0.9995172697584697,0.9466244310799558,0.9995172697584697,1024.0,805.7914469802024,0.0072,0.899926758974449,1.0833859316688341
AB_N30,0,9,5000,0.960622788009691,0.9996029638276639,0.960622788009691,0.9996029638276639,1024.0,820.886466999241,0.0082,1.0946437106377676,1.072824116739036
AB_N30,1,0,5000,0.9213836066901815,0.9998453245798604,0.9214518356003896,0.9998453426153912,1213.9554387681337,798.2759751523987,0.0056,1.1639804907219953,1.074132784483074
AB_N30,1,1,5000,0.949422562825616,0.9993476915507085,0.9497032194153157,0.9993429152552877,1213.8456637347076,806.6022635309172,0.008,0.9223492271415497,1.086107953052985
AB_N30,1,2,5000,0.946548924394437,0.9997322049271126,0.946861179343356,0.9997305911191762,1213.8618941304776,816.1768759344544,0.0072,0.962803576426905,1.0779881171171601
AB_N30,1,3,5000,0.9423435035113586,0.9998994422652525,0.9427079177729414,0.9998987741961957,1213.8854524012158,821.1943937378118,0.0068,0.9729979643647693,1.0787199339704647
AB_N30,1,4,5000,0.9382495199227159,0.9993723767308353,0.9383993715625358,0.9993723420649435,1213.8874403181287,797.242498472002,0.0056,0.9347394380219614,1.0729246436453916
AB_N30,1,5,5000,0.9574253601888312,0.9998017436528068,0.9577174933156601,0.9998013753676813,1213.8019257449105,817.1764447938524,0.0066,1.1332334413066938,1.0766318380816646
AB_N30,1,6,5000,0.9470434060557064,0.9998091635320848,0.9473091891195685,0.9998081749541465,1213.7835720093235,804.0601021905455,0.0084,1.164599280740945,1.078695649039994
AB_N30,1,7,5000,0.9456553938552507,0.999576463170535,0.9460420145011106,0.9995747132556758,1213.8047391631794,813.208509053204,0.007,0.7639304560231914,1.078999066924429
AB_N30,1,8,5000,0.9358624916235806,0.9998284384413011,0.9361657148229021,0.999826236761328,1213.7860487744626,816.3350729041352,0.0064,0.9986688459252014,1.0930895943465408
AB_N30,1,9,5000,0.9345917497226323,0.9998070198002356,0.9348519827944282,0.9998073916928908,1213.8335790034641,805.1735366486702,0.005,0.7940882916309644,1.0776478754160788
AB_N30,2,0,5000,0.9388692351086151,0.9994000807732378,0.9392406623652046,0.9993952294570941,1513.0512282650689,807.4243452619927,0.0066,0.9637036067252557,1.0803786973751144
AB_N30,2,1,5000,0.9539667334518679,0.9998080025465077,0.954319947713914,0.9998082556550613,1513.464558424187,811.715578303853,0.0092,0.961491354911233,1.078123292599936
