substrate,lambda,alpha_cost_mean,alpha_cost_std,alpha_cost_r2_mean,alpha_steps_mean,alpha_steps_std,msd_phys_mean,mean_cost_time,nr_frac_mean,nr_perp_mean,final_perp_mean
AB_N30,0,0.9476318388932701,0.00814838910544399,0.999547861136772,0.9476318388932701,0.00814838910544399,810.745819435854,1024.0,0.006840000000000001,1.0253813755991799,1.08449997613975
AB_N30,1,0.941852651879031,0.009911164148542546,0.9997019868650732,0.9421209918248208,0.009973381219941761,809.5445672417992,1213.8445754048003,0.006660000000000001,0.9811391012304176,1.0794937456077782
AB_N30,2,0.9465541224904956,0.00811267145568209,0.9996268948765241,0.9469715855892726,0.008151912517132777,815.1580233752431,1513.023417600697,0.006559999999999999,1.0175053062096915,1.083029359217253
AB_N30,3,0.9448036775259252,0.006823554682652626,0.999538050776367,0.9455770816432112,0.00694822670368112,808.5995265310222,1996.873419645724,0.00694,0.9906914940181967,1.0808780449497806
AB_N30,4,0.9400613804654308,0.00498043591659634,0.9996270419309884,0.9410398564161723,0.0049605551545843,812.1098586571691,2797.7937178632446,0.00712,0.9531339344400298,1.0839383148896389
AB_N30,5,0.9411266419869027,0.00778742344311211,0.9996489125714968,0.9426115574244651,0.007433480599633029,804.6316144239566,4150.038131528281,0.0066,1.0403572061161108,1.0869320587827298
AB_N30,6,0.9435669745213465,0.006441802695442339,0.9995142342453827,0.9453868840137452,0.006949375879678858,812.4166514087519,6472.5406401733835,0.006620000000000001,0.9658978298842225,1.080827395225043
AB_N30,7,0.943620211098751,0.006971719819080688,0.9995415824730115,0.9453075717774485,0.005935252666992664,808.6116282380849,10527.11747708526,0.0076,1.0037931777840186,1.080872237840028
AB_N30,8,0.9434061307692149,0.01030006261219652,0.9995855746239638,0.9451935555862845,0.010714158725323799,805.7671996887035,17691.704944806323,0.00664,1.020328247197469,1.0821705757055065
AB_N30,9,0.9432652351115491,0.005586145979705495,0.999558665308857,0.9453738749782215,0.005427598648419326,812.6978100824817,30505.626010786567,0.00594,0.9456161510379388,1.0861429810990917
AB_N30,10,0.9420557430247876,0.006701361269678581,0.9995541663951618,0.9444574780715819,0.006428055396559002,811.9442954898881,53590.518072044244,0.00636,0.9751095275787465,1.0799387619298737
AB_N30,12,0.9455737445703087,0.009622702925782834,0.9996276880880643,0.9479239246442157,0.008665005248440473,811.2895924600052,172404.08668330722,0.0077800000000000005,1.024283274954282,1.0856563056902242
AB_N30,14,0.9473486360224765,0.006167637447279522,0.999569569498872,0.9491310719060231,0.006443707709858696,814.4793647696176,576238.0087930472,0.0068000000000000005,1.011450256108616,1.0835060691782616
AB_N30,16,0.9410601515058218,0.008130320134558675,0.9994653698580207,0.9441512363367387,0.005965083499538202,807.6778683599119,1975126.0399470753,0.006719999999999999,1.0097261696959101,1.0860663599227032
AB_N30,18,0.9417320583265754,0.010501800313586131,0.9995967270252277,0.9445255581786448,0.00848246333518684,815.534671970938,6887178.436945614,0.00642,1.0167187052651026,1.0862113807755782
AB_N30,20,0.944432740325604,0.009248991805241134,0.999670823666353,0.9455236229141535,0.008267641764240188,812.2117405387903,24371672.792274423,0.006619999999999999,1.0084517343760842,1.08289388876331
Penrose_N24,0,0.960055898162592,0.009813026557959995,0.9997906121539272,0.960055898162592,0.009813026557959995,830.40790066162,1024.0,0.0064600000000000005,1.1048149959117484,1.1327485659879322
Penrose_N24,1,0.9604443466725348,0.007732157912685168,0.9997643498985729,0.9605257283807864,0.0077247559988935744,829.1137008238904,1200.9563131779637,0.00608,1.0935968209771807,1.1305777076135564
Penrose_N24,2,0.9569111105903776,0.008060239619009231,0.9998251127218815,0.9570312045576104,0.007955739620898482,829.9587246221156,1469.2756210221091,0.00596,1.069069215334005,1.1304289122836424
Penrose_N24,3,0.9606603816358392,0.00734126256668221,0.9997016058627223,0.9609266199794033,0.00747294837569583,826.9225147906394,1884.5324346145044,0.00626,1.0428338309667589,1.132221042457907
