vertex_type,count,mean_degree,mean_depth,std_depth,mean_balance,std_balance,mean_drift,mean_perp_dist
A,499,8.0,0.8525231492905456,0.06478240890836003,6.1247039011534825e-12,6.749673582332672e-12,1.2249379661449778e-11,0.2182912612701866
B,207,7.0,0.8110045991915041,0.08245007182019617,0.14285714285739093,8.051598642607695e-12,0.14285714285872478,0.27974590058225446
C,1004,6.0,0.7465023483562613,0.09626894465311571,0.30742080422990886,0.009851304584409777,0.30742080423033635,0.37522039452388906
D,2395,5.0,0.6458314162570429,0.10336945035236302,0.48261068416087505,0.006993813413137418,0.4826106841615472,0.5242307960578763
E,5840,4.0,0.4245786582742652,0.1409415870497621,0.6531831904606601,0.004336002038952256,0.6531831904607298,0.851723167689268
F,7047,3.0,0.2790166086583933,0.12354365840763354,0.8047055868351071,0.0027087231119406648,0.8047055868344016,1.06718019196708
