vertex_id,degree,vertex_type,depth,resultant_mag,net_drift,perp_x,perp_y,perp_dist_from_centre,type_rank
0,6,C,0.9590168678298647,0.1275611441216966,0.12756114412291,0.405591591,-0.0208152802,0.06066212811830868,2
1,3,F,0.3122533117435896,0.8047378541243652,0.8047378541307065,-0.3015151902,0.686291501,1.0179841194850068,5
2,3,F,0.3033645729093277,0.8047378541243652,0.8047378541333333,1.405591591,-0.0208152802,1.031140991237408,5
3,4,E,0.4422132289590407,0.6532814824381883,0.6532814824444025,0.6984848098,0.686291501,0.8256209512517757,4
4,6,C,0.6838151454858231,0.307959844170429,0.30795984417335837,0.405591591,0.3933982822,0.46800830336693255,2
5,3,F,0.084216310696828,0.8047378541243652,0.8047378541307065,-0.3015151902,1.1005050634,1.355518344926514,5
6,3,F,0.23606664991016402,0.8047378541243652,0.8047378541333333,1.405591591,0.3933982822,1.130753563798327,5
7,4,E,0.17732731883551145,0.6532814824381883,0.6532814824444025,0.6984848098,1.1005050634,1.2176979391682234,4
8,6,C,0.9173027484405163,0.307959844170429,0.30795984417335837,0.405591591,-0.1923881554,0.12240624382508826,2
9,4,E,0.39385973104010563,0.6532814824545203,0.6532814824539697,-0.3015151902,0.5147186258,0.897192496187628,4
10,3,F,0.2996714081441333,0.8047378541243652,0.8047378541333333,1.405591591,-0.1923881554,1.036607514225895,5
11,5,D,0.5466385543571086,0.4828427124887612,0.4828427124925661,0.6984848098,0.5147186258,0.6710533979033332,3
12,8,A,0.7993585433349543,1.2500028789861067e-11,2.500000206852468e-11,0.405591591,0.2218254069,0.29698407870661525,0
13,3,F,0.18256792478408634,0.8047378541243652,0.8047378541307065,-0.3015151902,0.9289321881,1.209940935429459,5
14,3,F,0.2762056263772147,0.8047378541410318,0.8047378541333333,1.405591591,0.2218254069,1.0713409322094622,5
15,4,E,0.28843428108681735,0.6532814824381883,0.6532814824444025,0.6984848098,0.9289321881,1.0532404069585142,4
16,5,D,0.8028447455575952,0.4828427124746191,0.48284271248,0.405591591,-0.3639610307,0.2918238960978715,3
17,4,E,0.46270242445821885,0.6532814824381883,0.6532814824444025,-0.3015151902,0.3431457505,0.7952933960699895,4
18,4,E,0.27716426796292226,0.6532814824381883,0.6532814824444025,1.405591591,-0.3639610307,1.0699219767609056,4
19,5,D,0.6438830818063885,0.482842712474619,0.482842712478424,0.6984848098,0.3431457505,0.527114668221972,3
20,8,A,0.9138996707145289,2.7755575615628914e-17,2.7755575615628914e-17,0.405591591,0.0502525317,0.12744338779332895,0
21,3,F,0.275705329084712,0.8047378541243652,0.8047378541307065,-0.3015151902,0.7573593129,1.0720814587833964,5
22,3,F,0.299261412609242,0.8047378541243652,0.8047378541333333,1.405591591,0.0502525317,1.037214378571018,5
23,4,E,0.39772651971307516,0.6532814824381883,0.6532814824444025,0.6984848098,0.7573593129,0.8914689797684258,4
24,6,C,0.6358864841074459,0.307959844170429,0.30795984417335837,0.405591591,0.4644660941,0.5389510167009036,2
25,3,F,0.042326167553248695,0.8047378541243652,0.8047378541307065,-0.3015151902,1.1715728753,1.4175230062520787,5
26,3,F,0.21501595327614076,0.8047378541243652,0.8047378541333333,1.405591591,0.4644660941,1.1619122378326,5
27,4,E,0.13093743372879774,0.6532814824381883,0.6532814824444025,0.6984848098,1.1715728753,1.2863629973208004,4
28,6,C,0.9620305399425931,0.307959844181317,0.3079598441887563,0.405591591,-0.1213203436,0.0562013718479003,2
