model,checkpoint,reader,auc,paired_frac,tie_frac,bal_acc,signed_sep
Reinforced,0,original_B0,1.0000,1.0000,0.0000,1.0000,140.000000
Reinforced,0,added_D0,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,0,full_M0,1.0000,1.0000,0.0000,1.0000,140.000000
Reinforced,0,departure_R0,1.0000,1.0000,0.0000,1.0000,140.000000
Reinforced,0,original_B1,1.0000,1.0000,0.0000,1.0000,128.000000
Reinforced,0,added_D1,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,0,full_M1,1.0000,1.0000,0.0000,1.0000,128.000000
Reinforced,0,departure_R1,1.0000,1.0000,0.0000,1.0000,128.000000
Reinforced,100,presence,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,100,original_B0,0.9942,1.0000,0.0000,0.9500,137.360653
Reinforced,100,added_D0,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,100,full_M0,0.9942,1.0000,0.0000,0.9500,137.360653
Reinforced,100,departure_R0,0.9942,1.0000,0.0000,0.9500,137.360653
Reinforced,100,original_B1,0.9878,1.0000,0.0000,0.9375,131.890000
Reinforced,100,added_D1,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,100,full_M1,0.9878,1.0000,0.0000,0.9375,131.890000
Reinforced,100,departure_R1,0.9878,1.0000,0.0000,0.9375,131.890000
Reinforced,200,presence,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,200,original_B0,0.9187,0.9550,0.0000,0.8125,122.012964
Reinforced,200,added_D0,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,200,full_M0,0.9187,0.9550,0.0000,0.8125,122.012964
Reinforced,200,departure_R0,0.9187,0.9550,0.0000,0.8125,122.012964
Reinforced,200,original_B1,0.9040,0.9425,0.0050,0.7900,117.620000
Reinforced,200,added_D1,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,200,full_M1,0.9040,0.9425,0.0050,0.7900,117.620000
Reinforced,200,departure_R1,0.9040,0.9425,0.0050,0.7900,117.620000
Reinforced,400,presence,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,400,original_B0,0.7983,0.8350,0.0000,0.7125,97.320329
Reinforced,400,added_D0,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,400,full_M0,0.7983,0.8350,0.0000,0.7125,97.320329
Reinforced,400,departure_R0,0.7983,0.8350,0.0000,0.7125,97.320329
Reinforced,400,original_B1,0.7844,0.8250,0.0100,0.7012,93.700000
Reinforced,400,added_D1,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,400,full_M1,0.7844,0.8250,0.0100,0.7012,93.700000
Reinforced,400,departure_R1,0.7844,0.8250,0.0100,0.7012,93.700000
Reinforced,1000,presence,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,1000,original_B0,0.6788,0.6950,0.0000,0.6200,59.134357
Reinforced,1000,added_D0,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,1000,full_M0,0.6788,0.6950,0.0000,0.6200,59.134357
Reinforced,1000,departure_R0,0.6788,0.6950,0.0000,0.6200,59.134357
Reinforced,1000,original_B1,0.6729,0.6825,0.0050,0.6113,57.245000
Reinforced,1000,added_D1,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,1000,full_M1,0.6729,0.6825,0.0050,0.6113,57.245000
Reinforced,1000,departure_R1,0.6729,0.6825,0.0050,0.6113,57.245000
Reinforced,2000,presence,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,2000,original_B0,0.6433,0.6500,0.0000,0.6100,30.972111
Reinforced,2000,added_D0,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,2000,full_M0,0.6433,0.6500,0.0000,0.6100,30.972111
Reinforced,2000,departure_R0,0.6433,0.6500,0.0000,0.6100,30.972111
Reinforced,2000,original_B1,0.6404,0.6475,0.0050,0.6038,29.880000
Reinforced,2000,added_D1,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,2000,full_M1,0.6404,0.6475,0.0050,0.6038,29.880000
Reinforced,2000,departure_R1,0.6404,0.6475,0.0050,0.6038,29.880000
Reinforced,5000,presence,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,5000,original_B0,0.6149,0.6350,0.0000,0.6125,3.420139
Reinforced,5000,added_D0,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,5000,full_M0,0.6149,0.6350,0.0000,0.6125,3.420139
Reinforced,5000,departure_R0,0.6149,0.6350,0.0000,0.6125,3.420139
Reinforced,5000,original_B1,0.6080,0.6125,0.0650,0.5850,3.255000
Reinforced,5000,added_D1,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,5000,full_M1,0.6080,0.6125,0.0650,0.5850,3.255000
Reinforced,5000,departure_R1,0.6080,0.6125,0.0650,0.5850,3.255000
Reinforced,10000,presence,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,10000,original_B0,0.5622,0.5900,0.0000,0.5725,-0.047507
Reinforced,10000,added_D0,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,10000,full_M0,0.5622,0.5900,0.0000,0.5725,-0.047507
Reinforced,10000,departure_R0,0.5622,0.5900,0.0000,0.5725,-0.047507
Reinforced,10000,original_B1,0.4975,0.4975,0.9450,0.4988,-0.045000
Reinforced,10000,added_D1,0.5000,0.5000,1.0000,0.5000,0.000000
Reinforced,10000,full_M1,0.4975,0.4975,0.9450,0.4988,-0.045000
Reinforced,10000,departure_R1,0.4975,0.4975,0.9450,0.4988,-0.045000
Growing,0,presence,1.0000,1.0000,0.0000,1.0000,28.000000
Growing,0,original_B0,1.0000,1.0000,0.0000,1.0000,140.000000
Growing,0,added_D0,1.0000,1.0000,0.0000,1.0000,28.000000
Growing,0,full_M0,1.0000,1.0000,0.0000,1.0000,168.000000
Growing,0,departure_R0,0.5000,0.5000,1.0000,0.5000,0.000000
Growing,0,original_B1,1.0000,1.0000,0.0000,1.0000,128.000000
Growing,0,added_D1,1.0000,1.0000,0.0000,1.0000,28.000000
Growing,0,full_M1,1.0000,1.0000,0.0000,1.0000,156.000000
Growing,0,departure_R1,0.0000,0.0000,0.0000,0.0000,-12.000000
Growing,100,presence,0.9513,0.9550,0.0000,0.8750,26.220000
Growing,100,original_B0,0.9992,1.0000,0.0000,0.9825,142.945135
Growing,100,added_D0,0.9022,0.9050,0.0000,0.8150,48.407716
Growing,100,full_M0,0.9900,0.9900,0.0000,0.9575,191.352851
Growing,100,departure_R0,0.8981,0.8950,0.0000,0.8125,34.032851
Growing,100,original_B1,0.9979,1.0000,0.0000,0.9738,138.735000
Growing,100,added_D1,0.9003,0.9025,0.0150,0.8100,49.775000
Growing,100,full_M1,0.9855,0.9900,0.0000,0.9450,188.510000
Growing,100,departure_R1,0.8845,0.8775,0.0050,0.7950,31.190000
Growing,200,presence,0.8888,0.8800,0.0100,0.8225,25.250000
Growing,200,original_B0,0.9862,0.9800,0.0000,0.9400,142.830970
Growing,200,added_D0,0.8567,0.8300,0.0000,0.7850,60.099688
Growing,200,full_M0,0.9535,0.9350,0.0000,0.8900,202.930658
Growing,200,departure_R0,0.9529,0.9450,0.0000,0.8950,51.430658
Growing,200,original_B1,0.9800,0.9600,0.0000,0.9325,140.070000
Growing,200,added_D1,0.8558,0.8350,0.0000,0.7837,61.795000
Growing,200,full_M1,0.9474,0.9275,0.0050,0.8850,201.865000
Growing,200,departure_R1,0.9463,0.9325,0.0050,0.8762,50.365000
Growing,400,presence,0.8338,0.8525,0.0150,0.7288,23.420000
Growing,400,original_B0,0.9547,0.9350,0.0000,0.8725,140.318720
Growing,400,added_D0,0.8306,0.8300,0.0000,0.7325,75.945418
Growing,400,full_M0,0.9076,0.9050,0.0000,0.8050,216.264138
Growing,400,departure_R0,0.9444,0.9300,0.0000,0.8525,75.744138
Growing,400,original_B1,0.9471,0.9250,0.0000,0.8625,138.585000
Growing,400,added_D1,0.8295,0.8225,0.0050,0.7225,77.650000
Growing,400,full_M1,0.9010,0.9000,0.0000,0.7925,216.235000
Growing,400,departure_R1,0.9355,0.9200,0.0000,0.8425,75.715000
Growing,1000,presence,0.7475,0.7625,0.0450,0.6713,13.960000
Growing,1000,original_B0,0.8598,0.8750,0.0000,0.7725,113.144067
Growing,1000,added_D0,0.7529,0.7450,0.0000,0.6800,74.966254
Growing,1000,full_M0,0.8109,0.8350,0.0000,0.7425,188.110321
Growing,1000,departure_R0,0.8465,0.8400,0.0000,0.7750,104.350321
Growing,1000,original_B1,0.8536,0.8700,0.0000,0.7675,111.745000
Growing,1000,added_D1,0.7521,0.7450,0.0000,0.6787,75.640000
Growing,1000,full_M1,0.8071,0.8300,0.0000,0.7350,187.385000
Growing,1000,departure_R1,0.8405,0.8275,0.0050,0.7712,103.625000
Growing,2000,presence,0.6728,0.6825,0.0450,0.6300,5.310000
Growing,2000,original_B0,0.7856,0.8000,0.0000,0.7150,72.874512
Growing,2000,added_D0,0.7278,0.7400,0.0000,0.6850,60.518335
Growing,2000,full_M0,0.7603,0.7600,0.0000,0.6975,133.392848
Growing,2000,departure_R0,0.7823,0.7550,0.0000,0.7100,101.532848
Growing,2000,original_B1,0.7822,0.8025,0.0050,0.7150,71.280000
Growing,2000,added_D1,0.7278,0.7350,0.0000,0.6863,60.245000
Growing,2000,full_M1,0.7582,0.7650,0.0000,0.7037,131.525000
