substrate,threshold,seed,n_near_loops,mean_perp_residue,median_perp_residue,mean_residue_high_depth_range,mean_residue_low_depth_range,mean_residue_high_excursion,mean_residue_low_excursion,mean_residue_high_cum_depth,mean_residue_low_cum_depth,mean_residue_dip_return,mean_residue_no_dip,n_dip_return,n_no_dip,spearman_depth_range_vs_residue,spearman_excursion_vs_residue,spearman_cum_depth_vs_residue,spearman_start_depth_vs_residue,mean_depth_range,mean_depth_excursion,mean_cum_abs_depth_change
AB_N30,1.0,4.5,23.9,0.7773123190742762,0.7391036259891361,0.7182796746417845,0.9177203356265181,0.25399354767017324,1.033865191143303,0.6974557232733645,0.6566877058057992,0.41311382512627537,1.3686881992134017,14.8,9.1,-0.1017744050869529,-0.29421293993592895,0.013928849385827424,-0.3004407132265975,0.935033169510582,0.3792141847407919,302.8978449710265
AB_N30,2.0,4.5,130.8,0.9977010040132717,0.7653668647451136,0.9980531939167945,1.0117037000922422,0.802190134868518,1.1583759349995737,1.0031474792873576,0.9770513473033496,0.8685251083466735,1.1403065657290516,69.7,61.1,-0.0011854124338029563,-0.2631091121125634,0.025317593373158143,-0.26371692103142724,0.9345414429270237,0.399621276983622,303.22391580616863
AB_N30,3.0,4.5,193.6,1.083702949274295,1.0823922002873827,1.0912579981875132,1.0853550631576667,0.8854278728187511,1.2785259447838135,1.083049608001865,1.0798735722323047,0.9567929965181976,1.212605801080837,97.9,95.7,0.011365830951002664,-0.28521895704070377,0.01269790464213924,-0.286512168048316,0.9349272321655541,0.3951860990814232,303.22661524671014
Penrose_N24,1.0,4.5,21.3,0.6141042787469502,0.0,0.5170003840247193,0.5663118960575042,0.3883281573018185,0.6957546151604972,0.6526070421228461,0.6202463623540053,0.3672680323653456,1.1981156440508476,15.3,6.0,0.022606464448931326,-0.14539165359141173,-0.04087095651620817,-0.15632639060622494,0.9192615129311932,0.45125452598593635,287.7017699776966
Penrose_N24,2.0,4.5,127.2,1.031286808673609,1.1755705045666462,0.978545151686577,1.0503283275484587,0.7933583850925287,1.2635256981665126,1.0208372998808604,1.0344488392843374,0.8831462327632874,1.2137872531837555,70.2,57.0,-0.02869573956784994,-0.30195102090457737,-0.02708984560594378,-0.3047059320056106,0.9159237438786374,0.4501074817608225,287.58261377199153
Penrose_N24,3.0,4.5,168.7,1.189467348011648,1.1755705046075366,1.1654089681554294,1.210905206206585,0.9164700164093718,1.4990173867231464,1.2076064893613103,1.1690398502296169,1.0095491290936125,1.3876443859343983,88.3,80.4,-0.012455840943675326,-0.358897665006931,-0.00769608322723134,-0.36404937900014156,0.9159742328147585,0.43233404304434186,287.6323468216548
