substrate,seed,threshold,phys_return_dist,perp_residue,start_depth,min_depth,max_depth,depth_range,depth_excursion,cum_abs_depth_change,mean_depth,sign_changes,dip_return,cum_perp_path
AB_N30,0,1.0,0.0,0.0,0.14971821061479695,0.0521053061086475,0.997205341051542,0.9451000349428945,0.09761290450614946,299.1038145423246,0.4785340140450202,777,False,1023.9999999992838
AB_N30,0,1.0,0.0,0.0,0.15153387159242437,0.042983235987749,0.9874360119293708,0.9444527759416218,0.10855063560467537,304.95039081040414,0.48579958235926785,790,False,1024.000000001874
AB_N30,0,1.0,0.0,0.0,0.4164692453883334,0.010522931577144679,0.9597822552092989,0.9492593236321543,0.40594631381118873,302.76216688564716,0.4693384768429218,782,True,1023.9999999983692
AB_N30,0,1.0,0.0,0.0,0.25604980982671244,0.04574436631360135,0.9604275329333151,0.9146831666197137,0.2103054435131111,310.1433138503128,0.47324632310912407,771,True,1023.99999999857
AB_N30,0,1.0,0.7653668647374569,1.84775906504015,0.42628013858681724,0.024188640960717378,0.997205341051542,0.9730167000908246,0.40209149762609986,297.85845534555176,0.47883908527696534,782,False,1024.0000000015048
AB_N30,0,1.0,0.7653668647374647,1.84775906504015,0.26716169676590396,0.007552027041436871,0.965925235708089,0.9583732086666521,0.2596096697244671,298.8769920557279,0.48017327413891175,799,True,1024.0000000017453
AB_N30,0,1.0,0.0,0.0,0.09198475769905878,0.003269900366847822,0.9620305399425931,0.9587606395757453,0.08871485733221096,306.8148056663863,0.46761564468420225,769,False,1023.999999999338
AB_N30,0,1.0,0.7653668647374599,1.84775906504015,0.46782117773534937,0.00013626652507470194,0.9802168214973057,0.980080554972231,0.46768491121027467,310.9530188141315,0.4880780121756097,787,False,1024.0000000002656
AB_N30,0,1.0,0.7653668647374583,1.84775906504015,0.3199066042440569,0.02573842920064362,0.9817341603070816,0.955995731106438,0.2941681750434133,306.4423022656367,0.48118289161403105,768,True,1024.0000000026798
AB_N30,0,1.0,0.7653668647374634,1.84775906504015,0.2533278422456552,0.03398175201137421,0.958137958435729,0.9241562064243548,0.21934609023428098,302.47783839601766,0.4754889839838511,780,True,1023.9999999959955
AB_N30,0,1.0,0.0,0.0,0.35993860381408205,0.036883927351446744,0.9822758956256835,0.9453919682742368,0.3230546764626353,306.1994613168986,0.4781460149719608,787,True,1024.000000001709
AB_N30,0,1.0,0.0,0.0,0.6677503112936005,0.07778840713076596,0.9739926672107198,0.8962042600799538,0.5899619041628346,296.9544040391454,0.49249294788420994,785,True,1023.99999999906
AB_N30,0,1.0,0.0,0.0,0.5448736320029753,0.05224440377692352,0.9553369881679582,0.9030925843910347,0.4926292282260518,316.3481021251801,0.4864331986379408,814,True,1023.9999999981086
