model,seed,history,checkpoint,M,struct_access,eff_alt,edge_count,total_weight,n_active
Fixed,170,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,171,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,172,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,173,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,174,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,175,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,176,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,177,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,178,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,179,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,180,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,181,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,182,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,183,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,184,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,185,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,186,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,187,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,188,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,189,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,190,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,191,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,192,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,193,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,194,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,195,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,196,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,197,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,198,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,199,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,0,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,1,A,100,0.000000,40,256.000000,144,144.000000,0
