vertex_id,substrate,depth,drift_mag,alignment_angle,radial_drift,tangential_drift,pos_mag,degree,depth_bin
0,AB_N30,0.9590168678298647,0.12756114412291,6.907219043796444,0.12663533050391662,0.01534074829040706,0.06066212811830868,6,"(0.957, 0.977]"
1,AB_N30,0.3122533117435896,0.8047378541307065,-176.70956822964334,-0.8034111759542861,-0.046189784830039604,1.0179841194850068,3,"(0.299, 0.319]"
2,AB_N30,0.3033645729093277,0.8047378541333333,177.06230680854702,-0.8036803138973951,0.04124278032463901,1.031140991237408,3,"(0.299, 0.319]"
3,AB_N30,0.4422132289590407,0.6532814824444025,-179.49371698457477,-0.6532559784045711,-0.005772519678858695,0.8256209512517757,4,"(0.439, 0.459]"
4,AB_N30,0.6838151454858231,0.30795984417335837,161.14899939654762,-0.29144150244685274,0.09950435304447885,0.46800830336693255,6,"(0.678, 0.698]"
5,AB_N30,0.084216310696828,0.8047378541307065,-164.97860918143132,-0.7772392626733777,-0.20857167216532208,1.355518344926514,3,"(0.0798, 0.0998]"
6,AB_N30,0.23606664991016402,0.8047378541333333,155.6033279240084,-0.7328809229894707,0.3323982048586055,1.130753563798327,3,"(0.219, 0.239]"
7,AB_N30,0.17732731883551145,0.6532814824444025,172.86642529853748,-0.6482246515580818,0.08112642243535378,1.2176979391682234,4,"(0.16, 0.18]"
8,AB_N30,0.9173027484405163,0.30795984417335837,-171.58355605539904,-0.3046432294415741,-0.045075141471631094,0.12240624382508826,6,"(0.897, 0.917]"
9,AB_N30,0.39385973104010563,0.6532814824539697,-161.51957749113132,-0.6195930761664301,-0.2070775586196545,0.897192496187628,4,"(0.379, 0.399]"
10,AB_N30,0.2996714081441333,0.8047378541333333,-173.423244654929,-0.7994421264918222,-0.09216995315912646,1.036607514225895,3,"(0.299, 0.319]"
11,AB_N30,0.5466385543571086,0.4828427124925661,163.74123515099197,-0.4635324013595733,0.13518431083896656,0.6710533979033332,5,"(0.539, 0.558]"
12,AB_N30,0.7993585433349543,2.500000206852468e-11,5.756203682548504,2.4873943672789192e-11,2.5073949806819532e-12,0.29698407870661525,8,"(0.798, 0.818]"
13,AB_N30,0.18256792478408634,0.8047378541307065,-169.04173440735227,-0.7900641907340297,-0.15297577713702648,1.209940935429459,3,"(0.18, 0.199]"
14,AB_N30,0.2762056263772147,0.8047378541333333,163.9897050918378,-0.7735238060877877,0.22195480461252604,1.0713409322094622,3,"(0.259, 0.279]"
15,AB_N30,0.28843428108681735,0.6532814824444025,175.34048425045458,-0.6511224096295257,0.053068851344233225,1.0532404069585142,4,"(0.279, 0.299]"
16,AB_N30,0.8028447455575952,0.48284271248,174.14172380348964,-0.4803210223373709,0.049282862090455286,0.2918238960978715,5,"(0.798, 0.818]"
17,AB_N30,0.46270242445821885,0.6532814824444025,-170.89285807201585,-0.6450462713781602,-0.10340214255947083,0.7952933960699895,4,"(0.459, 0.479]"
18,AB_N30,0.27716426796292226,0.6532814824444025,173.24330749063708,-0.6487442603284355,0.076860783210082,1.0699219767609056,4,"(0.259, 0.279]"
19,AB_N30,0.6438830818063885,0.482842712478424,172.74593582780807,-0.4789780372296974,0.060968228161138616,0.527114668221972,5,"(0.638, 0.658]"
20,AB_N30,0.9138996707145289,2.7755575615628914e-17,103.51611677693323,-6.487001862097563e-18,2.698686318555821e-17,0.12744338779332895,8,"(0.897, 0.917]"
21,AB_N30,0.275705329084712,0.8047378541307065,-174.18165509408823,-0.800592087519251,-0.08158016469989693,1.0720814587833964,3,"(0.259, 0.279]"
22,AB_N30,0.299261412609242,0.8047378541333333,173.13860989260525,-0.7989743804476288,0.096140279089724,1.037214378571018,3,"(0.299, 0.319]"
23,AB_N30,0.39772651971307516,0.6532814824444025,178.72082425783668,-0.6531186775419879,0.014583838677144245,0.8914689797684258,4,"(0.379, 0.399]"
24,AB_N30,0.6358864841074459,0.30795984417335837,160.66815018021802,-0.2905961683113406,0.10194671444458694,0.5389510167009036,6,"(0.618, 0.638]"
25,AB_N30,0.042326167553248695,0.8047378541307065,-163.54311992893182,-0.7717703265947695,-0.2279771410880862,1.4175230062520787,3,"(0.0399, 0.0599]"
26,AB_N30,0.21501595327614076,0.8047378541333333,152.4101282003618,-0.7132274611858815,0.3727057854198992,1.1619122378326,3,"(0.199, 0.219]"
27,AB_N30,0.13093743372879774,0.6532814824444025,172.0275857894166,-0.6469674912046127,0.09060772941182021,1.2863629973208004,4,"(0.12, 0.14]"
28,AB_N30,0.9620305399425931,0.3079598441887563,170.49550942233847,-0.30373237557632327,0.05085184027669397,0.0562013718479003,6,"(0.957, 0.977]"
29,AB_N30,0.36134321924854196,0.6532814824444025,-158.26602516373364,-0.6068417652104661,-0.2419085928630932,0.9453225609194232,4,"(0.359, 0.379]"
30,AB_N30,0.30353536984827456,0.8047378541333333,-177.35020652956126,-0.8038774037891661,-0.03720394538637208,1.0308881822097915,3,"(0.299, 0.319]"
31,AB_N30,0.5040029653914699,0.482842712478424,161.07330306696306,-0.45673749628022314,0.15661399836922368,0.7341614480517749,5,"(0.499, 0.519]"
32,AB_N30,0.7515407895563415,0.14285714285986068,139.64560290418487,-0.10886484548723849,0.09250193880736951,0.36776262959935846,7,"(0.738, 0.758]"
33,AB_N30,0.14236150025698868,0.8047378541307065,-167.2458424460678,-0.7848819965330334,-0.17766053413522626,1.2694534018196981,3,"(0.14, 0.16]"
34,AB_N30,0.2615196140657391,0.8047378541333333,160.4067078982395,-0.7581408922702477,0.26986181897925937,1.0930787719794295,3,"(0.259, 0.279]"
35,AB_N30,0.24258705385893842,0.6532814824444025,174.22767418420054,-0.6499689556705176,0.06570427664416428,1.1211022375384978,4,"(0.239, 0.259]"
36,AB_N30,0.8505268127001172,0.30795984417335837,-165.23710782316726,-0.2977936666455544,-0.07847418511252974,0.22124618490835812,6,"(0.838, 0.858]"
37,AB_N30,0.4360546679167865,0.6532814824444025,-166.73476280435938,-0.6358508027499864,-0.14990147413202456,0.834736687389725,4,"(0.419, 0.439]"
38,AB_N30,0.28868886211664413,0.8047378541333333,-167.9816755423463,-0.787098850135098,-0.16756614810613973,1.052863582976791,3,"(0.279, 0.299]"
39,AB_N30,0.6048229354845029,0.482842712478424,168.4805495565916,-0.4731167962081143,0.09642397077123357,0.5849304444945517,5,"(0.598, 0.618]"
40,AB_N30,0.8667429299387932,2.500000206852468e-11,-171.31454856928568,-2.4713308623672353e-11,-3.775245726752133e-12,0.1972435250474578,8,"(0.858, 0.878]"
41,AB_N30,0.23788415330725377,0.8047378541071364,-171.90055948757768,-0.7967106210160775,-0.11338077523608259,1.1280633442350194,3,"(0.219, 0.239]"
42,AB_N30,0.29191896800110084,0.8047378541333333,169.27843356102514,-0.7906894174811604,0.14971058398932696,1.0480824672683775,3,"(0.279, 0.299]"
43,AB_N30,0.35273565020090836,0.6532814823982086,177.18225075218132,-0.6524916367316819,0.03211478226007147,0.9580632527286069,4,"(0.339, 0.359]"
44,AB_N30,0.7352077640846799,0.48284271248,175.64152145932803,-0.4814463736670262,0.03669433577425937,0.3919383338771182,5,"(0.718, 0.738]"
45,AB_N30,0.4949669989521074,0.6532814824444025,-177.46790741650472,-0.6526436397795772,-0.028861302119303045,0.7475362421388112,4,"(0.479, 0.499]"
46,AB_N30,0.255865449427079,0.8047378541307065,155.7818084144196,-0.7339128099062812,0.3301136188138277,1.1014479141496405,3,"(0.239, 0.259]"
47,AB_N30,0.6947314184393028,0.3079598441733583,158.07181211663175,-0.28567976317268584,0.11500581957830348,0.45185033023473353,6,"(0.678, 0.698]"
