substrate,n_drifters,frac_outward_all,frac_outward_shallow,frac_outward_deep,mean_radial_shallow,mean_radial_deep,mean_tangential_all,mean_tangential_shallow,mean_tangential_deep,spearman_depth_vs_radial,spearman_depth_vs_abs_tangential
AB_N30,16500,6.0606060606060605e-05,0.0,0.0005941770647653001,-0.7526871809225669,-0.3473500769953555,0.00013183715498135194,0.00022863533677708512,0.0008842843432978817,0.727986244406332,-0.10406653462985715
Penrose_N24,20450,0.004254278728606357,0.0,0.028336079077429983,-0.7769179515489181,-0.25116164159591176,-5.970676600078662e-05,0.0006149561611152193,-8.01891088582004e-05,0.7583630932660207,-0.4766113135639661
