arm,patch,pair,seed,replicate,budget,S_local_null
regular,0,1,3,1,100,3.00000
regular,0,1,3,1,300,3.00000
regular,0,1,3,1,1000,3.00000
regular,0,2,3,1,100,-6.00000
regular,0,2,3,1,300,-1.00000
regular,0,2,3,1,1000,-1.00000
regular,0,0,3,2,100,5.00000
regular,0,0,3,2,300,5.00000
regular,0,0,3,2,1000,5.00000
regular,0,1,3,2,100,5.00000
regular,0,1,3,2,300,5.00000
regular,0,1,3,2,1000,3.00000
regular,0,2,3,2,100,-2.00000
regular,0,2,3,2,300,-2.00000
regular,0,2,3,2,1000,-1.00000
regular,0,0,3,3,100,-2.00000
regular,0,0,3,3,300,2.00000
regular,0,0,3,3,1000,5.00000
regular,0,1,3,3,100,-2.00000
regular,0,1,3,3,300,2.00000
regular,0,1,3,3,1000,3.00000
regular,0,2,3,3,100,-1.00000
regular,0,2,3,3,300,0.00000
regular,0,2,3,3,1000,-2.00000
regular,0,0,3,4,100,-2.00000
regular,0,0,3,4,300,5.00000
regular,0,0,3,4,1000,5.00000
regular,0,1,3,4,100,-2.00000
regular,0,1,3,4,300,3.00000
regular,0,1,3,4,1000,3.00000
regular,0,2,3,4,100,-8.00000
regular,0,2,3,4,300,-7.00000
regular,0,2,3,4,1000,-1.00000
regular,0,0,4,0,100,-10.00000
regular,0,0,4,0,300,-10.00000
regular,0,0,4,0,1000,-3.00000
regular,0,1,4,0,100,-10.00000
regular,0,1,4,0,300,-10.00000
regular,0,1,4,0,1000,-2.00000
regular,0,2,4,0,100,-8.00000
regular,0,2,4,0,300,-8.00000
regular,0,2,4,0,1000,0.00000
regular,0,0,4,1,100,-22.00000
regular,0,0,4,1,300,-23.00000
regular,0,0,4,1,1000,-16.00000
regular,0,1,4,1,100,-22.00000
regular,0,1,4,1,300,-23.00000
regular,0,1,4,1,1000,-15.00000
regular,0,2,4,1,100,-16.00000
regular,0,2,4,1,300,-16.00000
regular,0,2,4,1,1000,-7.00000
regular,0,0,4,2,100,0.00000
regular,0,0,4,2,300,6.00000
regular,0,0,4,2,1000,-16.00000
regular,0,1,4,2,100,0.00000
regular,0,1,4,2,300,6.00000
regular,0,1,4,2,1000,-15.00000
regular,0,2,4,2,100,2.00000
regular,0,2,4,2,300,9.00000
regular,0,2,4,2,1000,-7.00000
regular,0,0,4,3,100,-1.00000
regular,0,0,4,3,300,-15.00000
regular,0,0,4,3,1000,-16.00000
regular,0,1,4,3,100,-1.00000
regular,0,1,4,3,300,-15.00000
regular,0,1,4,3,1000,-15.00000
regular,0,2,4,3,100,0.00000
regular,0,2,4,3,300,-9.00000
regular,0,2,4,3,1000,-7.00000
regular,0,0,4,4,100,-21.00000
regular,0,0,4,4,300,-22.00000
regular,0,0,4,4,1000,-16.00000
regular,0,1,4,4,100,-21.00000
regular,0,1,4,4,300,-22.00000
regular,0,1,4,4,1000,-15.00000
regular,0,2,4,4,100,-14.00000
regular,0,2,4,4,300,-14.00000
regular,0,2,4,4,1000,-7.00000
regular,0,0,5,0,100,9.00000
regular,0,0,5,0,300,14.00000
regular,0,0,5,0,1000,15.00000
regular,0,1,5,0,100,3.00000
regular,0,1,5,0,300,2.00000
regular,0,1,5,0,1000,3.00000
regular,0,2,5,0,100,-14.00000
regular,0,2,5,0,300,-16.00000
regular,0,2,5,0,1000,-15.00000
regular,0,0,5,1,100,16.00000
regular,0,0,5,1,300,16.00000
regular,0,0,5,1,1000,15.00000
regular,0,1,5,1,100,17.00000
regular,0,1,5,1,300,7.00000
regular,0,1,5,1,1000,3.00000
regular,0,2,5,1,100,7.00000
regular,0,2,5,1,300,-6.00000
regular,0,2,5,1,1000,-14.00000
regular,0,0,5,2,100,12.00000
regular,0,0,5,2,300,15.00000
regular,0,0,5,2,1000,15.00000
regular,0,1,5,2,100,-1.00000
regular,0,1,5,2,300,2.00000
regular,0,1,5,2,1000,2.00000
regular,0,2,5,2,100,-10.00000
regular,0,2,5,2,300,-16.00000
regular,0,2,5,2,1000,-16.00000
regular,0,0,5,3,100,3.00000
regular,0,0,5,3,300,14.00000
regular,0,0,5,3,1000,15.00000
regular,0,1,5,3,100,-3.00000
regular,0,1,5,3,300,1.00000
regular,0,1,5,3,1000,2.00000
regular,0,2,5,3,100,-11.00000
regular,0,2,5,3,300,-20.00000
regular,0,2,5,3,1000,-16.00000
regular,0,0,5,4,100,17.00000
regular,0,0,5,4,300,15.00000
regular,0,0,5,4,1000,15.00000
regular,0,1,5,4,100,18.00000
regular,0,1,5,4,300,6.00000
regular,0,1,5,4,1000,2.00000
regular,0,2,5,4,100,5.00000
regular,0,2,5,4,300,-8.00000
regular,0,2,5,4,1000,-16.00000
regular,0,0,6,0,100,-4.00000
regular,0,0,6,0,300,-2.00000
regular,0,0,6,0,1000,-2.00000
regular,0,1,6,0,100,-4.00000
regular,0,1,6,0,300,-2.00000
regular,0,1,6,0,1000,-2.00000
regular,0,2,6,0,100,-3.00000
regular,0,2,6,0,300,0.00000
regular,0,2,6,0,1000,4.00000
regular,0,0,6,1,100,0.00000
