substrate,n_interior,spearman_depth_vs_mean_mismatch,spearman_p,spearman_depth_vs_max_mismatch,spearman_depth_vs_std_mismatch,mean_mismatch_shallow,mean_mismatch_mid,mean_mismatch_deep,overall_mean_mismatch,overall_std_mismatch
AB_N30,16999,0.0016180550201898203,0.8329286416017896,0.11496556707000741,0.23659882228321302,0.999999999998898,0.9999999999997773,0.9999999999999881,0.9999999999996614,1.4849683376619356e-11
Penrose_N24,21539,-0.07544267376351228,1.4465759864050797e-28,0.04719624190668218,0.08859396169147078,1.0000000000016636,1.000000000000308,0.9999999999999184,1.0000000000003324,2.002684920160869e-11
