vertex_id,substrate,depth,mean_nbr_mismatch,max_nbr_mismatch,std_nbr_mismatch,mean_nbr_depth_diff,degree,perp_x,perp_y,depth_bin
0,AB_N30,0.9590168678298647,1.0000000000095124,1.0000000000190246,9.512298357356802e-12,0.6402751993012039,6,0.405591591,-0.0208152802,"(0.957, 0.977]"
1,AB_N30,0.3122533117435896,1.0000000000063416,1.0000000000190246,8.968263451476566e-12,0.32632875225645813,3,-0.3015151902,0.686291501,"(0.299, 0.319]"
2,AB_N30,0.3033645729093277,1.0000000000126832,1.0000000000190246,8.96826345239283e-12,0.3327615030353539,3,1.405591591,-0.0208152802,"(0.299, 0.319]"
3,AB_N30,0.4422132289590407,1.0000000000095124,1.0000000000190246,9.512279853333776e-12,0.21262842226118067,4,0.6984848098,0.686291501,"(0.439, 0.459]"
4,AB_N30,0.6838151454858231,1.0000000000095124,1.0000000000190246,9.512279853333776e-12,0.31329469885730415,6,0.405591591,0.3933982822,"(0.678, 0.698]"
5,AB_N30,0.084216310696828,1.0000000000063416,1.0000000000190246,8.968263451476566e-12,0.37867053659787314,3,-0.3015151902,1.1005050634,"(0.0798, 0.0998]"
6,AB_N30,0.23606664991016402,1.0000000000126832,1.0000000000190246,8.96826345239283e-12,0.3329044172210894,3,1.405591591,0.3933982822,"(0.219, 0.239]"
7,AB_N30,0.17732731883551145,1.0000000000095124,1.0000000000190246,9.512279853333776e-12,0.28519601159687913,4,0.6984848098,1.1005050634,"(0.16, 0.18]"
8,AB_N30,0.9173027484405163,1.0000000000095124,1.0000000000190246,9.512279853333776e-12,0.570837664926144,6,0.405591591,-0.1923881554,"(0.897, 0.917]"
9,AB_N30,0.39385973104010563,0.9999999999918348,1.0000000000190246,2.6299634382315988e-11,0.2540525563810264,4,-0.3015151902,0.5147186258,"(0.379, 0.399]"
10,AB_N30,0.2996714081441333,1.0000000000126832,1.0000000000190246,8.96826345239283e-12,0.32197294298229573,3,1.405591591,-0.1923881554,"(0.299, 0.319]"
11,AB_N30,0.5466385543571086,0.9999999999972727,1.0000000000190246,2.5915695410654528e-11,0.22817620038310213,5,0.6984848098,0.5147186258,"(0.539, 0.558]"
12,AB_N30,0.7993585433349543,0.9999999999918348,1.0000000000190246,2.629965734735529e-11,0.48993532889668073,8,0.405591591,0.2218254069,"(0.798, 0.818]"
13,AB_N30,0.18256792478408634,1.0000000000063416,1.0000000000190246,8.968263451476566e-12,0.36082999204940824,3,-0.3015151902,0.9289321881,"(0.18, 0.199]"
