depth_bin,n,mean_depth,mean_mismatch,median_mismatch,std_mismatch,mean_max_mismatch,mean_depth_diff,mean_degree,substrate
"(-0.000956, 0.02]",16,0.011644774946365087,0.9999999999964803,0.9999999999977272,1.6860622365235862e-11,1.0000000000130793,0.35884392637679186,3.1875,AB_N30
"(0.02, 0.0399]",39,0.032465924610294856,0.9999999999975991,1.0000000000063416,1.685357561677802e-11,1.000000000013171,0.3620291374046386,3.1794871794871793,AB_N30
"(0.0399, 0.0599]",101,0.05061035413504828,0.9999999999982567,1.0000000000063416,1.6729695959568916e-11,1.0000000000148805,0.37015351543384895,3.108910891089109,AB_N30
"(0.0599, 0.0798]",206,0.07067881755751815,0.9999999999981056,1.0000000000063416,1.7291272930735008e-11,1.000000000014684,0.3785339278607129,3.087378640776699,AB_N30
"(0.0798, 0.0998]",252,0.08991593756340499,0.9999999999970581,1.0000000000063416,1.8787571737848287e-11,1.0000000000142686,0.36945386746715386,3.1468253968253967,AB_N30
"(0.0998, 0.12]",248,0.10981728597166583,0.9999999999990486,1.0000000000063416,1.7094274803529287e-11,1.0000000000153424,0.36561755587649725,3.1330645161290325,AB_N30
"(0.12, 0.14]",346,0.13028135930721577,0.9999999999986402,1.0000000000063416,1.6458443758593707e-11,1.0000000000149007,0.36211286713967805,3.1445086705202314,AB_N30
"(0.14, 0.16]",400,0.15009118519173198,0.9999999999997193,1.0000000000063416,1.664122730661843e-11,1.0000000000152196,0.35595092876842144,3.17,AB_N30
"(0.16, 0.18]",397,0.16987559110744554,0.9999999999997493,1.0000000000063416,1.528269949380564e-11,1.0000000000153346,0.3505421411110117,3.191435768261965,AB_N30
"(0.18, 0.199]",409,0.1897890289672884,0.9999999999992301,1.0000000000063416,1.604168047645111e-11,1.00000000001535,0.3403410936182961,3.229828850855746,AB_N30
"(0.199, 0.219]",428,0.20943349516033266,0.9999999999991622,1.0000000000063416,1.6137454511781856e-11,1.0000000000151574,0.33526010350695834,3.2196261682242993,AB_N30
"(0.219, 0.239]",504,0.2297511061961069,0.9999999999999037,1.0000000000063416,1.5398613951875586e-11,1.0000000000154008,0.32743154475625075,3.25,AB_N30
"(0.239, 0.259]",573,0.24906079958856972,0.9999999999987129,1.0000000000063416,1.665197582286537e-11,1.0000000000150073,0.3207092870078883,3.2670157068062826,AB_N30
"(0.259, 0.279]",574,0.2693269289001386,0.9999999999995837,1.0000000000063416,1.5856672245316982e-11,1.0000000000155114,0.3114252604146779,3.294425087108014,AB_N30
"(0.279, 0.299]",618,0.2892768505558932,0.999999999999249,1.0000000000063416,1.6547218976199898e-11,1.0000000000153304,0.3030288022728424,3.296116504854369,AB_N30
"(0.299, 0.319]",643,0.30909197840206637,0.9999999999999585,1.0000000000063416,1.503662506196174e-11,1.0000000000156812,0.2939829681075681,3.3203732503888026,AB_N30
"(0.319, 0.339]",644,0.32877365070809733,1.0000000000000302,1.0000000000063416,1.46986706174136e-11,1.0000000000157752,0.28284201249936913,3.375776397515528,AB_N30
"(0.339, 0.359]",653,0.3491637908762342,0.9999999999998311,1.0000000000063416,1.542084870444975e-11,1.000000000015645,0.26999191306065623,3.3966309341500764,AB_N30
"(0.359, 0.379]",611,0.3689946330421611,1.0000000000004106,1.0000000000063416,1.4549969031085652e-11,1.000000000015942,0.25700062172062105,3.463175122749591,AB_N30
"(0.379, 0.399]",594,0.3890154188939682,0.9999999999990001,1.0000000000063416,1.5653064197197247e-11,1.0000000000151492,0.24383710591420568,3.4966329966329965,AB_N30
"(0.399, 0.419]",554,0.40858550484689904,0.9999999999999383,1.0000000000095124,1.523826765890265e-11,1.0000000000160025,0.2318749025258682,3.6173285198555956,AB_N30
"(0.419, 0.439]",555,0.4291073777264896,1.0000000000001301,1.0000000000095122,1.4886670093148192e-11,1.0000000000160765,0.21842908454978457,3.637837837837838,AB_N30
"(0.439, 0.459]",546,0.44888973991086967,0.9999999999989133,1.0000000000063416,1.5646328849185852e-11,1.0000000000157494,0.20822316491728168,3.730769230769231,AB_N30
"(0.459, 0.479]",511,0.46883841803417725,1.0000000000003393,1.0000000000095124,1.4257963334539568e-11,1.0000000000162697,0.19788444731729551,3.792563600782779,AB_N30
"(0.479, 0.499]",491,0.4884894759633864,0.9999999999998186,1.0000000000095122,1.506723753482093e-11,1.0000000000162348,0.1911994309466939,3.90020366598778,AB_N30
"(0.499, 0.519]",478,0.5085659558856005,0.9999999999997314,1.00000000000761,1.4470589550325955e-11,1.0000000000161988,0.18506017815890213,4.0,AB_N30
"(0.519, 0.539]",439,0.5281876975328165,1.0000000000003548,1.00000000000761,1.3789278832538562e-11,1.0000000000164244,0.18216925495471395,4.14123006833713,AB_N30
"(0.539, 0.558]",454,0.5484774507760494,0.9999999999999972,1.00000000000761,1.3759393931311904e-11,1.000000000016594,0.18070475580413126,4.240088105726873,AB_N30
"(0.558, 0.578]",418,0.5681819644584576,0.9999999999995626,1.00000000000761,1.4244264090841311e-11,1.0000000000166125,0.17967439511887912,4.330143540669856,AB_N30
"(0.578, 0.598]",390,0.5883090521027448,0.9999999999990964,1.00000000000761,1.453477834784323e-11,1.000000000016439,0.18076231097245607,4.415384615384616,AB_N30
"(0.598, 0.618]",377,0.6077558742498983,0.9999999999998441,1.00000000000761,1.3946148309675067e-11,1.0000000000171574,0.19135878980425797,4.607427055702917,AB_N30
"(0.618, 0.638]",355,0.6283369892762137,0.9999999999999613,1.00000000000761,1.3570447215819423e-11,1.0000000000169345,0.1985583065953125,4.647887323943662,AB_N30
"(0.638, 0.658]",354,0.6480922677379748,0.9999999999999749,1.00000000000761,1.3350702017485011e-11,1.0000000000171436,0.21527174316231962,4.805084745762712,AB_N30
"(0.658, 0.678]",325,0.6679510633477425,1.000000000000333,1.00000000000761,1.2942582010624865e-11,1.000000000017561,0.2375914080637187,4.92,AB_N30
"(0.678, 0.698]",286,0.6879717595454488,0.9999999999996129,1.00000000000761,1.3602340755527619e-11,1.0000000000170957,0.2708213213213532,5.101398601398602,AB_N30
"(0.698, 0.718]",287,0.7081914238761704,1.0000000000000229,1.00000000000761,1.2471022893566862e-11,1.0000000000177651,0.3025632297345626,5.264808362369338,AB_N30
"(0.718, 0.738]",260,0.7278449916097446,0.9999999999997252,1.00000000000761,1.3223778742436914e-11,1.0000000000177807,0.33671940896944885,5.503846153846154,AB_N30
"(0.738, 0.758]",251,0.7480810883662441,0.9999999999996224,1.00000000000761,1.1969773563655983e-11,1.0000000000178118,0.3684026722527793,5.745019920318725,AB_N30
"(0.758, 0.778]",223,0.7675180544465072,1.000000000000936,1.00000000000761,1.1220067077291127e-11,1.0000000000186833,0.39721441245157024,5.941704035874439,AB_N30
"(0.778, 0.798]",194,0.7876904323318753,1.0000000000017382,1.00000000000761,1.1607975667725324e-11,1.0000000000186324,0.42205167636024943,6.025773195876289,AB_N30
"(0.798, 0.818]",186,0.8072859948865001,1.000000000000625,1.00000000000761,1.1574602710276544e-11,1.0000000000186156,0.45333143274461185,6.344086021505376,AB_N30
"(0.818, 0.838]",169,0.8274443658263732,0.9999999999984839,1.00000000000761,1.2656172753164233e-11,1.0000000000187994,0.4770052878917591,6.408284023668639,AB_N30
"(0.838, 0.858]",154,0.8473629271194978,1.000000000000903,1.0000000000081535,1.1754363556444063e-11,1.0000000000184068,0.5010792664619793,6.487012987012987,AB_N30
"(0.858, 0.878]",128,0.8673104796883866,0.9999999999991732,0.9999999999977273,1.1104310821829613e-11,1.0000000000185787,0.5238506508666884,6.5703125,AB_N30
"(0.878, 0.897]",100,0.8862667136411772,0.9999999999989071,1.00000000000761,1.2650169368549059e-11,1.0000000000184537,0.5502497664237976,6.94,AB_N30
"(0.897, 0.917]",90,0.9076117088437242,1.0000000000016533,1.0000000000095124,1.0243356108545044e-11,1.0000000000190246,0.5730220728900893,6.877777777777778,AB_N30
"(0.917, 0.937]",72,0.9264266548168644,0.9999999999986886,0.9999999999977273,1.122018552884025e-11,1.0000000000187603,0.5978824554265092,7.305555555555555,AB_N30
"(0.937, 0.957]",52,0.9467657736635491,1.000000000002088,1.000000000008833,1.0066219428214227e-11,1.0000000000190246,0.6184563999871477,7.288461538461538,AB_N30
