substrate,model,x_type,x,msd_phys,mean_perp_mismatch,near_return_frac,near_return_mean_perp_mismatch,near_return_n
AB_N30,baseline_uniform,steps,32.0,29.994902999713414,1.0907733142589247,0.15916666666666668,1.0234622045603397,191
AB_N30,baseline_uniform,steps,64.0,59.2549769945806,1.0761000281191635,0.09083333333333334,1.0523869705514715,109
AB_N30,baseline_uniform,steps,128.0,111.89349139032565,1.0775767598944948,0.050833333333333335,0.9501460357749433,61
AB_N30,baseline_uniform,steps,256.0,216.28403190685015,1.098113070120003,0.03166666666666667,0.8465070026643446,38
AB_N30,baseline_uniform,steps,512.0,436.293347901252,1.0919535487347047,0.010833333333333334,0.9560489126973343,13
AB_N30,baseline_uniform,steps,1024.0,830.0169248456857,1.1189433289173307,0.009166666666666667,0.7441813798123014,11
AB_N30,bias_beta_5,steps,32.0,23.322887792222428,0.9829107747943892,0.2325,0.9606568520373033,279
AB_N30,bias_beta_5,steps,64.0,44.378862586111296,0.9898065837561969,0.14416666666666667,0.9624001834947694,173
AB_N30,bias_beta_5,steps,128.0,86.64477243115044,0.984020642178937,0.06916666666666667,0.9405578268186876,83
AB_N30,bias_beta_5,steps,256.0,164.84099231774252,0.9943648940600163,0.03,0.7825751184597153,36
AB_N30,bias_beta_5,steps,512.0,323.0601116833185,1.0089733698903944,0.018333333333333333,0.9281933904234357,22
AB_N30,bias_beta_5,steps,1024.0,616.295404121144,0.9880939631566444,0.0125,0.8873681931128841,15
AB_N30,bias_beta_10,steps,32.0,11.175793163309624,0.9633155346642982,0.4825,0.9787501982004103,579
AB_N30,bias_beta_10,steps,64.0,22.33340120077699,0.9726970955230843,0.3233333333333333,1.006470743639135,388
AB_N30,bias_beta_10,steps,128.0,42.52780396542706,1.0128002849718087,0.17916666666666667,1.0838943596491515,215
AB_N30,bias_beta_10,steps,256.0,81.13757883200199,0.9806687405527964,0.09916666666666667,0.9017797961108581,119
AB_N30,bias_beta_10,steps,512.0,153.66671761361306,0.9931092357282764,0.045,1.0626557898065554,54
AB_N30,bias_beta_10,steps,1024.0,297.67517356840574,0.9672984656717195,0.0175,0.9349506182424517,21
AB_N30,cost_lambda_5,cost_time,32.0,7.463984664372496,1.1875140486876892,0.5108333333333334,1.2060502005762563,613
AB_N30,cost_lambda_5,cost_time,64.0,12.436239952162722,1.2096148443887824,0.3475,1.2083847752015935,417
AB_N30,cost_lambda_5,cost_time,128.0,22.476259005308698,1.2339972563405033,0.1925,1.1765296708795507,231
AB_N30,cost_lambda_5,cost_time,256.0,39.232057274822075,1.2262332864189385,0.11333333333333333,1.192615385401259,136
AB_N30,cost_lambda_5,cost_time,512.0,78.26337194402505,1.234852916569665,0.0575,1.3255209173074314,69
AB_N30,cost_lambda_5,cost_time,1024.0,146.5709247494624,1.203791009873482,0.03,1.364959899479599,36
AB_N30,cost_lambda_10,cost_time,32.0,3.148023868736045,1.181821718302002,0.7616666666666667,1.1646486171356238,914
AB_N30,cost_lambda_10,cost_time,64.0,3.9429334401625646,1.2077873139933404,0.6866666666666666,1.1905418361281288,824
AB_N30,cost_lambda_10,cost_time,128.0,4.937479254806617,1.2065417402748349,0.6166666666666667,1.1912787464688774,740
AB_N30,cost_lambda_10,cost_time,256.0,6.556283185931277,1.2074168677261221,0.5325,1.2025863043016876,639
AB_N30,cost_lambda_10,cost_time,512.0,9.322808917684984,1.2230478846366337,0.4533333333333333,1.2118339070116089,544
AB_N30,cost_lambda_10,cost_time,1024.0,13.42561230615032,1.2824377282718449,0.36666666666666664,1.2927270239202182,440
Penrose_N24,baseline_uniform,steps,32.0,27.902922648936237,1.1077829232653493,0.165,1.035001424985446,198
Penrose_N24,baseline_uniform,steps,64.0,57.62224870796689,1.1313622717476135,0.08083333333333333,1.0322563685531596,97
Penrose_N24,baseline_uniform,steps,128.0,116.79491302197721,1.130780325090285,0.04583333333333333,1.0300562751973983,55
Penrose_N24,baseline_uniform,steps,256.0,234.48901585856152,1.1546440848105157,0.025,1.0843619375224494,30
Penrose_N24,baseline_uniform,steps,512.0,440.9711610508472,1.1206376156305609,0.011666666666666667,1.0404180732296238,14
Penrose_N24,baseline_uniform,steps,1024.0,833.2395371393358,1.1643279348778108,0.006666666666666667,,8
