substrate,seed,linger_n,n_walkers,mean_start_depth,mean_disturb_depth,mean_descend_depth,mean_linger_end_depth,mean_ascend_depth,mean_residue_after_disturb,mean_residue_after_descend,mean_residue_linger_start,mean_residue_linger_end,mean_residue_after_ascend,median_residue_after_ascend,std_residue_after_ascend,mean_phys_dist_final,frac_near_return_2,frac_near_return_3
AB_N30,0,0,5000,0.48347304752451753,0.4786196027850927,0.6074361226517387,0.6074361226517387,0.2718426734321343,1.038194060916014,0.9255252139164837,0.9255252139164837,0.9255252139164837,1.2496566751081113,1.2544294036877324,0.5393278945147894,12.113835156653149,0.0266,0.039
AB_N30,0,5,5000,0.48347304752451753,0.47996697300220487,0.607889559297497,0.6115153281830884,0.26145988325876884,1.03854920615786,0.9228681350046373,0.9228681350046373,0.9197873374068087,1.25832831618278,1.2661083603991878,0.5434113690506429,12.141060229954793,0.023,0.0526
AB_N30,0,10,5000,0.48347304752451753,0.48234024780549206,0.6072310012911682,0.6076176433531509,0.2687507206113377,1.02682970294165,0.9215356728825549,0.9215356728825549,0.9250911824240696,1.2596497611134048,1.2938694648663294,0.5392346183614292,12.20756050402187,0.0314,0.0468
AB_N30,0,20,5000,0.48347304752451753,0.47869395809559867,0.6140885715485485,0.6053647506929589,0.26505712477484883,1.0257146528799095,0.9157970618056095,0.9157970618056095,0.9240172727822035,1.2610359275880596,1.2938694648848021,0.541110372614418,12.400140989915872,0.0254,0.038
AB_N30,0,40,5000,0.48347304752451753,0.48382456256345246,0.6076027752382885,0.6082347638568161,0.26060862195676227,1.0310368956792262,0.9299553671919263,0.9299553671919263,0.9136845530834827,1.2510434440708298,1.2720779386443197,0.5397427078379481,12.524488766608254,0.0254,0.0368
AB_N30,0,80,5000,0.48347304752451753,0.4809157567659613,0.6104889824560934,0.6068052082186791,0.26837671066508123,1.0306447566386312,0.917507771631275,0.917507771631275,0.9239180359709939,1.2544436777350427,1.2938694648663294,0.5357076946954349,12.608444916227397,0.0302,0.0422
AB_N30,0,160,5000,0.48347304752451753,0.48129250134322554,0.6077324754381007,0.6066229150489305,0.2643405728154075,1.03031622738769,0.9231352143326969,0.9231352143326969,0.9231176961352004,1.2569327504349783,1.2816274418313796,0.5484922570898633,13.294810411508317,0.0268,0.0402
AB_N30,1,0,5000,0.4851435131785208,0.48406982467843973,0.6098424019319818,0.6098424019319818,0.2635083198327305,1.0306206699650968,0.9193935402056311,0.9193935402056311,0.9193935402056311,1.2623152293036917,1.2938694649342404,0.5439170817701549,12.023466114520728,0.0314,0.0474
AB_N30,1,5,5000,0.4851435131785208,0.47816855682180065,0.6132232640926534,0.6030675333189854,0.26388829416648857,1.0286910817256976,0.9217124947807901,0.9217124947807901,0.9228163875650541,1.2597873549750642,1.2661083603991878,0.5364885657260248,12.133467198195865,0.0214,0.0492
AB_N30,1,10,5000,0.4851435131785208,0.47484378198612276,0.6100140528527502,0.6093091224663454,0.271458241807517,1.0288964254932427,0.9282917665406161,0.9282917665406161,0.920261730550013,1.2390203305106533,1.2278338449306727,0.5431471944061678,12.328081766625225,0.026,0.039
AB_N30,1,20,5000,0.4851435131785208,0.4748938784295505,0.608037634307435,0.6097882809306848,0.27022095927163764,1.0343022478092945,0.9216133040931085,0.9216133040931085,0.9219953913735186,1.2627437383185334,1.270672644540903,0.5386638706227712,12.301757513082324,0.0306,0.0424
AB_N30,1,40,5000,0.4851435131785208,0.48413588782155104,0.6116120828628455,0.6063023386063767,0.26119060633193364,1.0258321854220551,0.9196412999199077,0.9196412999199077,0.9255053186468581,1.2597627163426315,1.2748823305700463,0.5357789046368406,12.326106469663383,0.0314,0.0442
AB_N30,1,80,5000,0.4851435131785208,0.4841709181558069,0.6050002698346019,0.6095099334462464,0.2608740847946555,1.0287169139453112,0.923137339554177,0.923137339554177,0.9232431397643203,1.267784332424758,1.2938694649342404,0.539217625573435,12.809132875647311,0.0226,0.0352
AB_N30,1,160,5000,0.4851435131785208,0.48362039220112946,0.6077452746892062,0.6070360935721419,0.2637536359839602,1.029813923372014,0.9272305738918858,0.9272305738918858,0.9177621011703675,1.2620671588127725,1.2748823306717063,0.5465024399493283,13.366920844842506,0.0248,0.0382
AB_N30,2,0,5000,0.4844384503936746,0.4826582286276589,0.6088531816116496,0.6088531816116496,0.2650892283141508,1.0181072446550812,0.9247653693312035,0.9247653693312035,0.9247653693312035,1.2664022396936934,1.2938694649342404,0.5405830375124836,12.171981550905109,0.0282,0.041
AB_N30,2,5,5000,0.4844384503936746,0.4835819815801835,0.6069622889645436,0.6073537881603813,0.26707795613885865,1.0249710771192406,0.9285027120192091,0.9285027120192091,0.9253125808993226,1.2590752552690312,1.289148898775919,0.5389663421534769,12.182106489625063,0.0238,0.0492
AB_N30,2,10,5000,0.4844384503936746,0.48427903073902634,0.6070857206169065,0.6114445577055412,0.2688688967729574,1.0280317762506002,0.9247179718499614,0.9247179718499614,0.9204971652938732,1.2590379934532103,1.2748823305642247,0.5432367145084078,12.479264667324106,0.0284,0.0398
AB_N30,2,20,5000,0.4844384503936746,0.48073824940938814,0.6092927929498857,0.6150905967383089,0.26144141213927286,1.0233175220992272,0.9172469387006841,0.9172469387006841,0.9279699298622632,1.256505274336492,1.2938694649342404,0.5420275162279414,12.429783735966799,0.0222,0.0364
AB_N30,2,40,5000,0.4844384503936746,0.48996014585315406,0.6056050316216596,0.6100947014589867,0.2651268456335807,1.0169204914486094,0.9255132068310279,0.9255132068310279,0.9078937039535722,1.2730344545434777,1.2938694648848021,0.5370502521596067,12.519676550499515,0.022,0.0338
AB_N30,2,80,5000,0.4844384503936746,0.4807966134126833,0.6053006872220333,0.6122471580657981,0.2671795633602199,1.035883876747532,0.9211908010720187,0.9211908010720187,0.9156860979581325,1.2570802454274626,1.2681013422497118,0.5450687753662533,12.867096490712376,0.0272,0.0388
AB_N30,2,160,5000,0.4844384503936746,0.4811814550537936,0.6075420530147214,0.6081599894235322,0.26595939884408437,1.0424234321366586,0.9302946190982421,0.9302946190982421,0.9199628119037702,1.259946976837578,1.2816274417740006,0.5393019175787609,13.179467212154215,0.0282,0.0388
AB_N30,3,0,5000,0.4848278244395103,0.48348275996419726,0.6062693441889639,0.6062693441889639,0.2705052861334213,1.032318410143559,0.921887608230631,0.921887608230631,0.921887608230631,1.2461357502769863,1.2544294036877324,0.5405165045922322,12.089921510263611,0.026,0.039
AB_N30,3,5,5000,0.4848278244395103,0.48252977916606543,0.6098814761448882,0.6050994438634361,0.26654338120801874,1.0311229066994982,0.9199258371579359,0.9199258371579359,0.9193961163809549,1.2500178405016074,1.2661083603991878,0.5502572889073231,12.337059535612214,0.0204,0.0452
AB_N30,3,10,5000,0.4848278244395103,0.47809400722775025,0.6078665130096721,0.6081208679091001,0.2588291790676383,1.0360370210774297,0.9219233007763189,0.9219233007763189,0.9148724305853855,1.2559158234875027,1.2544294036877324,0.5387715720297416,12.437477946763629,0.0268,0.0398
