substrate,linger_n,seed,n_walkers,mean_start_depth,mean_disturb_depth,mean_descend_depth,mean_linger_end_depth,mean_ascend_depth,mean_residue_after_disturb,mean_residue_after_descend,mean_residue_linger_start,mean_residue_linger_end,mean_residue_after_ascend,median_residue_after_ascend,std_residue_after_ascend,mean_phys_dist_final,frac_near_return_2,frac_near_return_3
AB_N30,0,4.5,5000.0,0.48513856127217014,0.48084873268530404,0.6077980977171963,0.6077980977171963,0.2660551498707346,1.030583562016961,0.9221919938667578,0.9221919938667578,0.9221919938667578,1.253927718795408,1.2716121606775064,0.5404893513585826,12.144868887162701,0.02832,0.04154
AB_N30,5,4.5,5000.0,0.48513856127217014,0.4800314790766043,0.6094502253796331,0.6070179150012521,0.26534692926108316,1.030815797923059,0.9201350301679424,0.9201350301679424,0.920640493198172,1.2551042881438685,1.2642923340988903,0.5408245793273723,12.214416081879808,0.02136,0.048260000000000004
AB_N30,10,4.5,5000.0,0.48513856127217014,0.48022431663090465,0.607349260963079,0.6083553158178543,0.266296529330848,1.0299976015567611,0.9237260045593161,0.9237260045593161,0.9190461765542246,1.2514945666678023,1.2575723686258928,0.5395151927558546,12.356258162624789,0.027600000000000003,0.04102
AB_N30,20,4.5,5000.0,0.48513856127217014,0.48159883005286747,0.6095927174972476,0.6088862161574543,0.26674828789773064,1.0276010127996407,0.9188692110927337,0.9188692110927337,0.9231766177717793,1.2526255725117372,1.2662956672163284,0.5416733959927703,12.291693038562354,0.02772,0.0409
AB_N30,40,4.5,5000.0,0.48513856127217014,0.48299174328221567,0.607559711098284,0.6074249256948442,0.26424386438880665,1.0272898052265846,0.9218672268106076,0.9218672268106076,0.9199132454276981,1.2553384821683815,1.2678916103018123,0.5383556529899146,12.505140198806318,0.02718,0.04102
AB_N30,80,4.5,5000.0,0.48513856127217014,0.48241551907925373,0.6081799794181506,0.6083845660934377,0.26750769326466417,1.0270396578237884,0.9188339537374073,0.9188339537374073,0.9220047921137544,1.2520924313504298,1.2613926236567665,0.5403429202286951,12.748541160107914,0.02722,0.03962
AB_N30,160,4.5,5000.0,0.48513856127217014,0.48100413455269264,0.6094149825900806,0.6086306549180265,0.2640740370459881,1.0330540575733096,0.9207743910155916,0.9207743910155916,0.9203697678157751,1.2559205303613337,1.2705140010576117,0.5417949329027795,13.338980847385034,0.02456,0.036520000000000004
Penrose_N24,0,4.5,5000.0,0.5068214307203298,0.5342278618209415,0.6560190117522563,0.6560190117522563,0.3208421694476618,1.0992918047639946,0.9916615433186623,0.9916615433186623,0.9916615433186623,1.3403317108991668,1.3434909263803607,0.5914449989058942,12.276809401534987,0.02814,0.03784
Penrose_N24,5,4.5,5000.0,0.5068214307203298,0.5333738413071908,0.6554770305095405,0.6549755614095003,0.32079232879627606,1.0987841811756132,0.9880799501532647,0.9880799501532647,0.9865145013183731,1.3346640809518724,1.3269735180846276,0.5911111676169377,12.301624119075548,0.0178,0.05056000000000001
Penrose_N24,10,4.5,5000.0,0.5068214307203298,0.5328221732118738,0.6552630029445254,0.656033067613637,0.3208429733615258,1.1008492078587633,0.9916126140777823,0.9916126140777823,0.9882259097005669,1.33507407067987,1.3395958526807281,0.5924176652751423,12.397410839716825,0.026240000000000003,0.0351
Penrose_N24,20,4.5,5000.0,0.5068214307203298,0.5319805343239755,0.6567866382634946,0.6546457024521515,0.3220578533909303,1.1004344864589255,0.9891087506277989,0.9891087506277989,0.9956279812974154,1.3346750681183164,1.3336756925690814,0.592651238664438,12.473768371105031,0.027739999999999997,0.036180000000000004
Penrose_N24,40,4.5,5000.0,0.5068214307203298,0.5346924928385046,0.656191625408793,0.6547515158990445,0.3209635001915813,1.0972289374653996,0.9860069839100077,0.9860069839100077,0.9907987892601391,1.3390061200833394,1.3407192591552834,0.591673564809866,12.683351332911716,0.02596,0.034339999999999996
Penrose_N24,80,4.5,5000.0,0.5068214307203298,0.5333266664518377,0.6560587493913783,0.6539079477856689,0.32231837240157357,1.0959376198340274,0.9922849067756898,0.9922849067756898,0.9907977368174004,1.338005753532334,1.345555475949261,0.5938989344836381,13.016598384177726,0.02498,0.03368
Penrose_N24,160,4.5,5000.0,0.5068214307203298,0.5338079009081053,0.6574997702825811,0.6563224448538256,0.31998557266866834,1.0937567008564577,0.9884240906527036,0.9884240906527036,0.988525600428377,1.337817178123487,1.3379672350794125,0.5934830894048662,13.643804359071973,0.0224,0.029720000000000003
