descent_steps,ascent_steps,asymmetry,dip_timing,dip_sharpness,excursion,min_depth,recovery,descent_smoothness,ascent_smoothness,start_depth,final_depth,perp_residue,phys_dist,walker_id,substrate,seed,threshold
358,666,0.30078125,0.349609375,0.9746341463414634,0.2704363435923015,0.05415406030236958,2.0,-453.8702173591916,-371.86972514892653,0.3245904038946711,0.7023176471948636,1.4142135623730951,1.4142135623730951,57,AB_N30,0,2.0
744,280,-0.453125,0.7265625,0.9053658536585366,0.6456946156628447,0.0341858210832191,0.766362394577129,-415.46815545153095,-222.68681715769407,0.6798804367460638,0.5290218929089221,0.76536686473746,1.8477590650401519,303,AB_N30,0,2.0
561,463,-0.095703125,0.5478515625,0.9629268292682926,0.3247731932935304,0.036784844030205766,1.963598228302714,-610.0030732249455,-238.58721266336815,0.36155803732373615,0.6745089109835605,1.4142135624,1.4142135624000005,910,AB_N30,0,2.0
117,907,0.771484375,0.1142578125,0.984390243902439,0.18718186581772311,0.05735471067460429,0.9999999999946576,-184.3531473865019,-1665.716163703756,0.2445365764923274,0.2445365764923274,0.0,0.0,1028,AB_N30,0,2.0
111,913,0.783203125,0.1083984375,0.9668292682926829,0.21728845793509166,0.032652340185237994,1.442828794061757,-188.25127270920174,-1009.6108292762432,0.24994079812032965,0.3461623839127079,0.76536686473746,1.8477590650401468,1190,AB_N30,0,2.0
510,514,0.00390625,0.498046875,0.9229268292682927,0.7246662168502869,0.022898899200925138,0.9999999999986201,-237.738510541261,-242.1903729354701,0.747565116051212,0.747565116051212,0.0,0.0,1227,AB_N30,0,2.0
224,800,0.5625,0.21875,0.9921951219512195,0.2671162704238934,0.00013626652507470194,0.9999999999962564,-293.47149683616925,-1057.8969318934073,0.2672525369489681,0.2672525369489681,0.0,0.0,1361,AB_N30,0,2.0
78,946,0.84765625,0.076171875,0.9834146341463414,0.22213721756294869,4.082439961361484e-05,1.2275969818176617,-117.46419830586626,-1256.2527516760524,0.2221780419625623,0.2727358022304903,1.84775906504015,0.7653668647374634,1378,AB_N30,0,2.0
203,821,0.603515625,0.1982421875,0.9229268292682927,0.601822079500634,0.040604289064141375,0.22945215357499038,-119.62086583268717,-2139.4384659642265,0.6424263685647754,0.17869366127477038,0.76536686473746,1.8477590650401519,1526,AB_N30,0,2.0
200,824,0.609375,0.1953125,0.9931707317073171,0.21691839325972073,0.010522931577144679,2.0,-311.8373160946479,-441.94806286328577,0.2274413248368654,0.6889376350693849,1.4142135623999998,1.4142135624000005,1638,AB_N30,0,2.0
248,776,0.515625,0.2421875,0.9053658536585366,0.6150576756199507,0.05854691925629829,0.7605898589488235,-153.71767087538845,-600.8529983370897,0.673604594876249,0.5263535500022284,0.76536686473746,1.847759065040149,1811,AB_N30,0,2.0
789,235,-0.541015625,0.7705078125,0.9824390243902439,0.27848439536670444,0.010593365425972223,2.0,-994.0448569910142,-109.27901547489617,0.28907776079267666,0.7298666913266338,1.4142135623730951,1.4142135623730951,1886,AB_N30,0,2.0
561,463,-0.095703125,0.5478515625,0.984390243902439,0.2523359028464649,0.022898899200925138,1.2299473267771923,-769.7567487715512,-522.2127045402237,0.27523480204739004,0.3332587683580739,2.0,2.0,2047,AB_N30,0,2.0
27,997,0.947265625,0.0263671875,0.9668292682926829,0.379038594089842,0.028738456943256274,1.4704839384038844,-27.276063975920746,-658.7293989125778,0.40777705103309825,0.5861086215890289,0.765366864645072,1.847759065001878,2101,AB_N30,0,2.0
80,944,0.84375,0.078125,0.9473170731707317,0.6834465305496394,0.003269900366847822,0.9999999999985368,-39.728692724627656,-478.6445877927726,0.6867164309164873,0.6867164309164873,0.0,0.0,2493,AB_N30,0,2.0
19,1005,0.962890625,0.0185546875,0.9082926829268293,0.6995533839566412,0.010826256818755597,0.48737738743022463,-9.976698902792933,-1058.3813095815342,0.7103796407753968,0.3517727574600036,0.76536686473746,1.8477590650401472,2977,AB_N30,0,2.0
977,47,-0.908203125,0.9541015625,0.9921951219512195,0.23861690481639064,0.010522931577144679,2.0,-1452.3304665472497,-34.78402080740415,0.24913983639353532,0.5115297502123043,0.765366864645072,1.8477590650018814,3047,AB_N30,0,2.0
135,889,0.736328125,0.1318359375,0.9278048780487805,0.5860793741541345,0.02604649306590201,0.4354165785876138,-75.7405005879946,-1223.517970750406,0.6121258672200365,0.28123516894130063,0.76536686473746,1.847759065040149,3619,AB_N30,0,2.0
37,987,0.927734375,0.0361328125,0.96,0.2891194388241406,0.03555509481180308,0.18781373074553595,-45.16039102657703,-6632.286554011229,0.3246745336359437,0.08985569524860848,1.4142135623730951,1.4142135623730951,4319,AB_N30,0,2.0
724,300,-0.4140625,0.70703125,0.9863414634146341,0.27448133794632656,0.02682482733220537,1.5220281042109087,-930.6056249993571,-259.81359004142723,0.30130616527853193,0.44459313776944853,0.765366864645072,1.8477590650018787,4320,AB_N30,0,2.0
18,1006,0.96484375,0.017578125,0.9590243902439024,0.4227108193874922,0.04549505558784439,0.4760381657303053,-16.331001415470897,-1814.2983571088114,0.4682058749753366,0.24672153868389657,1.8477590650401499,0.7653668647374634,4352,AB_N30,0,2.0
774,250,-0.51171875,0.755859375,0.9453658536585365,0.4880369849329478,0.03819662053298489,0.8675078874447393,-546.4072824399367,-205.50285390107848,0.5262336054659327,0.461572554327934,1.4142135623730951,1.4142135623730951,4595,AB_N30,0,2.0
356,668,0.3046875,0.34765625,0.8917073170731707,0.8701755551452014,0.041354161541336865,0.4887544409862174,-133.06872612067917,-543.4656697725753,0.9115297166865383,0.4666563285566899,0.76536686473746,1.8477590650401472,4605,AB_N30,0,2.0
68,956,0.8671875,0.06640625,0.9795121951219512,0.17680880269460264,0.03541058683640219,2.0,-144.41568903991285,-646.3604580615421,0.21221938953100483,0.5524341032278317,1.4142135624,1.4142135624000005,4674,AB_N30,0,2.0
624,400,-0.21875,0.609375,0.9853658536585366,0.22770953157325324,0.0409249897283257,0.9999999999956084,-993.9623722745655,-564.1647823645212,0.26863452130157894,0.26863452130157894,0.0,0.0,4989,AB_N30,0,2.0
325,699,0.365234375,0.3173828125,0.984390243902439,0.2715661065329614,0.05603796847743625,2.0,-409.4487098332884,-329.59820473556704,0.3276040750103977,0.7766213399818143,0.76536686473746,1.8477590650401505,5212,AB_N30,0,2.0
437,587,0.146484375,0.4267578125,0.9356097560975609,0.630139887539857,0.04808767145536308,0.4851253094345417,-245.61480718550285,-684.2814419419714,0.67822755899522,0.3537844793856686,0.76536686473746,1.8477590650401536,5220,AB_N30,0,2.0
361,663,0.294921875,0.3525390625,0.9258536585365854,0.5101018605336345,0.04757109452309971,1.6194965284427698,-247.46083414812858,-272.2803250418571,0.5576729550567342,0.8736792868111382,0.76536686473746,1.8477590650401534,5394,AB_N30,0,2.0
744,280,-0.453125,0.7265625,0.9590243902439024,0.5521036938048118,0.045671338129582795,0.7574180108498989,-483.59408305345255,-231.89587730602727,0.5977750319343946,0.46384461967486246,0.76536686473746,1.8477590650401472,5877,AB_N30,0,2.0
836,188,-0.6328125,0.81640625,0.9570731707317073,0.4748491647880053,0.041354161541336865,0.9999999999978941,-629.62689230703,-133.53721597596282,0.5162033263293422,0.5162033263293422,0.0,0.0,6034,AB_N30,0,2.0
123,901,0.759765625,0.1201171875,0.9004878048780488,0.6905323422420543,0.03268351903144151,0.2950064777668456,-56.6276143946565,-1635.134650701542,0.7232158612734958,0.2363950331006549,0.765366864645072,1.847759065001882,6169,AB_N30,0,2.0
101,923,0.802734375,0.0986328125,0.9980487804878049,0.20254331880720966,0.03268351903144151,2.0,-172.6359527098256,-441.28627518556704,0.23522683783865117,0.8010538033884625,1.4142135623730951,1.4142135623730951,6188,AB_N30,0,2.0
701,323,-0.369140625,0.6845703125,0.9931707317073171,0.17695384769363398,0.01678466858791816,0.740702607935217,-1444.295975670617,-812.5184660863646,0.19373851628155214,0.14785484505950475,1.847759064947762,0.7653668647757251,6346,AB_N30,0,2.0
644,380,-0.2578125,0.62890625,0.9385365853658536,0.4815546167700766,0.042983235987749,0.9213935082342749,-482.15720843079174,-293.15652706921236,0.5245378527578256,0.48668453374086307,1.4142135623730951,1.4142135623730951,6540,AB_N30,0,2.0
246,778,0.51953125,0.240234375,0.9863414634146341,0.2054560795737551,0.018117497427285745,2.0,-439.8732828092241,-444.11667459756507,0.22357357700104086,0.6248282733955486,1.4142135623,1.4142135623000058,6612,AB_N30,0,2.0
291,733,0.431640625,0.2841796875,0.9609756097560975,0.36764831206793436,0.010826256818755597,0.7058409866744395,-293.7936233803437,-1010.6162142428434,0.37847456888668995,0.27032750415868445,2.0,2.0,6714,AB_N30,0,2.0
355,669,0.306640625,0.3466796875,0.9863414634146341,0.23788129530028235,0.04448499216335744,2.0,-541.8677809864716,-310.4634032253176,0.2823662874636398,0.7973705367444444,0.76536686473746,1.847759065040149,6786,AB_N30,0,2.0
879,145,-0.716796875,0.8583984375,0.9014634146341464,0.7863160006748232,0.04385708201915128,0.3510187638092743,-390.93692062541885,-171.12363647584897,0.8301730826939745,0.31986875253983127,0.7653668646833404,1.847759064909495,6918,AB_N30,0,2.0
197,827,0.615234375,0.1923828125,0.9541463414634146,0.41756826508059763,0.027785519490396426,1.04577619073466,-166.51610167919645,-663.794485675172,0.44535378457099406,0.4644684691191103,0.765366864645072,1.8477590650018854,6965,AB_N30,0,2.0
793,231,-0.548828125,0.7744140625,0.9824390243902439,0.31704159131798737,0.028645693340112688,1.3746548961158227,-879.7332372467637,-179.40039604398885,0.34568728465810006,0.4644684691191103,1.4142135623,1.4142135623000005,7091,AB_N30,0,2.0
376,648,0.265625,0.3671875,0.9804878048780488,0.2154585414917196,0.06926532009642405,1.2519380896312382,-637.8932569164891,-878.4982268329018,0.28472386158814367,0.3390060749275523,1.84775906504015,0.7653668647374601,7113,AB_N30,0,2.0
10,1014,0.98046875,0.009765625,0.8731707317073171,0.8794026728498731,0.02311289290527163,0.9999999999988629,-2.485157139524432,-404.9469052311134,0.9025155657551447,0.9025155657551447,0.0,0.0,7139,AB_N30,0,2.0
38,986,0.92578125,0.037109375,0.9863414634146341,0.2539907411392035,0.036742462359713346,2.0,-52.110963904415925,-615.8703174662351,0.29073320349891685,0.6094410529918246,0.76536686473746,1.847759065040149,7235,AB_N30,0,2.0
339,685,0.337890625,0.3310546875,0.9258536585365854,0.5401741909835078,0.03583730405361474,0.7102848728881282,-231.65320015325852,-651.8518073021213,0.5760114950371226,0.4195148606344934,1.4142135623730951,1.4142135623730951,7755,AB_N30,0,2.0
71,953,0.861328125,0.0693359375,0.9482926829268292,0.4879033330400374,0.045671338129582795,0.967743443064707,-51.75825991880248,-689.5126702584834,0.5335746711696202,0.5178365895294628,0.7653668646450721,1.8477590650018787,7828,AB_N30,0,2.0
894,130,-0.74609375,0.873046875,0.8751219512195122,0.8315772897847914,0.05060834354093957,0.6318240339582394,-386.1508897469684,-93.49577907108538,0.882185633325731,0.5760188613214581,0.76536686473746,1.847759065040153,8166,AB_N30,0,2.0
479,545,0.064453125,0.4677734375,0.9795121951219512,0.40171799614759796,0.010593365425972223,1.5243748076540133,-397.7728809941451,-321.88551234523993,0.4123113615735702,0.6229621585361469,0.765366864645072,1.847759065001882,8233,AB_N30,0,2.0
46,978,0.91015625,0.044921875,0.9736585365853658,0.2748613448549435,0.0521053061086475,1.330718693165696,-64.4532221732824,-956.2670643243657,0.326966650963591,0.4178684357371143,1.84775906504015,0.7653668647374614,8396,AB_N30,0,2.0
40,984,0.921875,0.0390625,0.9239024390243903,0.5809668876118301,0.045671338129582795,0.2946284613306601,-22.335276997867318,-1998.827275288997,0.6266382257414129,0.21684071831101348,0.76536686473746,1.8477590650401472,8426,AB_N30,0,2.0
702,322,-0.37109375,0.685546875,0.9697560975609756,0.3452750009418296,0.01849098828023754,1.0478511747044956,-713.6228454589146,-332.49286185412177,0.36376598922206715,0.3802878036142774,1.8477590650018818,0.7653668646450721,8942,AB_N30,0,2.0
35,989,0.931640625,0.0341796875,0.9804878048780488,0.2932673565692584,0.02573842920064362,2.0,-46.900329141838505,-478.5090888788389,0.319005785769902,0.7604703228886711,0.7653668647757282,1.8477590649477638,8978,AB_N30,0,2.0
1012,12,-0.9765625,0.98828125,0.8731707317073171,0.9129116120516094,0.026076132131182872,0.5663502566932611,-400.0123444577333,-5.040435373236994,0.9389877441827923,0.543103857955437,0.76536686473746,1.8477590650401472,9286,AB_N30,0,2.0
922,102,-0.80078125,0.900390625,0.9707317073170731,0.4358075082425369,0.017447678381048548,0.3956550315970152,-735.6541414572534,-226.9322891756142,0.45325518662358544,0.1898771118253616,1.847759064947762,0.7653668647757282,9872,AB_N30,0,2.0
71,953,0.861328125,0.0693359375,0.9785365853658536,0.28578141361334175,0.02580996315432993,1.161805155153996,-83.03846134486206,-1026.1710889419069,0.3115913767676717,0.3578322827386685,1.8477590650401499,0.7653668647374601,10082,AB_N30,0,2.0
796,228,-0.5546875,0.77734375,0.9453658536585365,0.3683112256810659,0.05498608926942128,0.7504514833583616,-755.687968665192,-290.8852133379909,0.42329731495048717,0.3313857949200639,1.4142135624,1.4142135623999996,10250,AB_N30,0,2.0
635,389,-0.240234375,0.6201171875,0.9521951219512195,0.5203488494969709,0.01678466858791816,0.09648706181759616,-431.50011772977814,-2661.551687868835,0.5371335180848891,0.06699160019614392,1.9999999999673386,1.9999999999673381,10307,AB_N30,0,2.0
