substrate,threshold,seed,n_near_loops,n_dippers,mean_residue_all_dippers,mean_residue_brachy,mean_residue_anti_brachy,mean_residue_symmetric,n_brachy,n_anti_brachy,n_symmetric,mean_residue_v_dip,mean_residue_u_dip,mean_residue_early_dip,mean_residue_mid_dip,mean_residue_late_dip,n_early,n_mid,n_late,spearman_asymmetry_vs_residue,spearman_asymmetry_p,spearman_sharpness_vs_residue,spearman_timing_vs_residue,spearman_recovery_vs_residue,spearman_descent_smooth_vs_residue,spearman_ascent_smooth_vs_residue,spearman_excursion_vs_residue,mean_asymmetry,mean_sharpness,mean_timing,mean_excursion,mean_recovery
AB_N30,2.0,4.5,194.7,170.7,1.0041927317211259,1.020420059290503,0.9933147824652144,0.9699301868108876,89.2,65.2,16.3,1.1329543835847986,0.790375557352095,1.0193173097617265,1.0015955295088368,0.9864197340649363,68.7,54.1,47.9,0.0223275888612667,0.5260633466699917,0.22457896762056268,-0.0223275888612667,-0.09791731104579575,-0.09117729508445412,-0.24368690812496613,-0.25425688961611226,0.107757708917019,0.9546474938621106,0.4461211455414905,0.43931619462445115,1.1018940504873744
AB_N30,3.0,4.5,295.5,256.5,1.0810098403332784,1.1009153721550828,1.0644741949736882,1.049292632762929,134.4,96.7,25.4,1.2309542340644117,0.894353790102356,1.1009646824262933,1.074479599275613,1.0611995824129998,103.2,83.5,69.8,0.02890697716292806,0.5381816977979305,0.23943129985295628,-0.02890697716292806,-0.10389182770466769,-0.09408960823469144,-0.2526446843084224,-0.2696022113465724,0.11358138444254888,0.9547432949552606,0.4432093077787256,0.4378525559590793,1.1028667886500334
Penrose_N24,2.0,4.5,196.6,180.3,1.0058389485159247,0.9950980877094633,1.0031678308914183,1.067482976681974,96.8,64.7,18.8,1.1965415799338317,0.8011969127174344,0.9992197915982353,1.0397112070130512,0.9769300815616633,74.6,57.2,48.5,-0.0024019597355956377,0.6129735869748898,0.2687865604613412,0.0024019597355956377,-0.010796887904839158,-0.14027020197150655,-0.18811773730661854,-0.3019689994888922,0.13136381813481265,0.9669149757077807,0.43431809093259366,0.4781195954192682,1.1111721925401645
Penrose_N24,3.0,4.5,268.2,241.7,1.1594233327935726,1.1391012263815306,1.1766035106120512,1.196008604049793,128.4,87.9,25.4,1.422812472767735,0.9261516801488415,1.1358590770793842,1.188397009370871,1.160490745527532,99.1,77.1,65.5,-0.01318698108804566,0.41619146788664196,0.2883707293647787,0.01318698108804566,-0.08522870640757436,-0.1644500704391711,-0.2529561853862432,-0.3242859181958635,0.12731717713890428,0.9676505046393746,0.43634141143054783,0.468508944424861,1.0848631487890754
