model,seed,history,checkpoint,M,M_norm,struct_access,eff_alt,edge_count,total_weight,n_active,frac_inactive,headroom,frac_saturated
Fixed,52,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,53,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,54,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,55,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,56,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,57,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,58,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,59,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,60,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,61,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,62,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,63,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,64,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,65,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,66,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,67,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,68,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,69,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,70,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,71,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,72,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,73,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,74,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,75,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,76,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,77,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,78,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,79,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,80,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,81,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,82,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,83,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,84,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,85,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,86,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,87,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,88,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,89,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
Fixed,90,A,0,0.000000,0.000000,40,256.000000,144,144.000000,0,1.000000,5.000000,0.000000
