substrate,subset,perturbation,replicate,feature_set,auc
AB_N30,boundary_25pct,shuffle,1,weave,0.9440963829432821
AB_N30,boundary_25pct,shuffle,1,hybrid,0.9454215864973441
AB_N30,boundary_25pct,shuffle,2,address,0.49320820695465223
AB_N30,boundary_25pct,shuffle,2,weave,0.9437087084747915
AB_N30,boundary_25pct,shuffle,2,hybrid,0.9445008346685234
AB_N30,boundary_25pct,shuffle,3,address,0.4831078989322075
AB_N30,boundary_25pct,shuffle,3,weave,0.9429519343577846
AB_N30,boundary_25pct,shuffle,3,hybrid,0.9440670227439683
AB_N30,boundary_25pct,shuffle,4,address,0.4807271263075774
AB_N30,boundary_25pct,shuffle,4,weave,0.9437738202093242
AB_N30,boundary_25pct,shuffle,4,hybrid,0.943852912991149
AB_N30,boundary_25pct,shuffle,5,address,0.46933976301725383
AB_N30,boundary_25pct,shuffle,5,weave,0.9431264977196911
AB_N30,boundary_25pct,shuffle,5,hybrid,0.9439116333897768
AB_N30,boundary_25pct,shuffle,6,address,0.4950940505051352
AB_N30,boundary_25pct,shuffle,6,weave,0.9443833938712681
AB_N30,boundary_25pct,shuffle,6,hybrid,0.9442335969359936
AB_N30,boundary_25pct,shuffle,7,address,0.5371797990643884
AB_N30,boundary_25pct,shuffle,7,weave,0.9439294092927627
AB_N30,boundary_25pct,shuffle,7,hybrid,0.9452797787319511
AB_N30,boundary_25pct,shuffle,8,address,0.5205623257112657
AB_N30,boundary_25pct,shuffle,8,weave,0.9431856175768129
AB_N30,boundary_25pct,shuffle,8,hybrid,0.9452877679018322
AB_N30,boundary_25pct,shuffle,9,address,0.511213399116158
AB_N30,boundary_25pct,shuffle,9,weave,0.943796389614239
AB_N30,boundary_25pct,shuffle,9,hybrid,0.943693129593523
AB_N30,full_patch,native,0,address,0.8431670963497455
AB_N30,full_patch,native,0,weave,0.9768542950450994
AB_N30,full_patch,native,0,hybrid,0.9771639804902552
AB_N30,full_patch,rewire,0,address,0.8428215913919079
AB_N30,full_patch,rewire,0,weave,0.740370186127917
AB_N30,full_patch,rewire,0,hybrid,0.8424805279932134
AB_N30,full_patch,rewire,1,address,0.8429222667324864
AB_N30,full_patch,rewire,1,weave,0.7414242557351859
AB_N30,full_patch,rewire,1,hybrid,0.8416399553716971
AB_N30,full_patch,rewire,2,address,0.8427042677582146
AB_N30,full_patch,rewire,2,weave,0.7391655114080691
AB_N30,full_patch,rewire,2,hybrid,0.8416812286355716
AB_N30,full_patch,rewire,3,address,0.8424838213942107
AB_N30,full_patch,rewire,3,weave,0.7405625932614116
AB_N30,full_patch,rewire,3,hybrid,0.8417466736498855
