arm,patch,pair,seed,replicate,budget,start,S_local_null
regular,0,0,4,1,300,orig,-23.00000
regular,0,0,4,1,1000,orig,-16.00000
regular,0,0,4,1,100,distant,-1.00000
regular,0,0,4,1,300,distant,-16.00000
regular,0,0,4,1,1000,distant,-15.00000
regular,0,0,4,2,100,orig,0.00000
regular,0,0,4,2,300,orig,6.00000
regular,0,0,4,2,1000,orig,-16.00000
regular,0,0,4,2,100,distant,-15.00000
regular,0,0,4,2,300,distant,-21.00000
regular,0,0,4,2,1000,distant,-17.00000
regular,0,0,4,3,100,orig,-1.00000
regular,0,0,4,3,300,orig,-15.00000
regular,0,0,4,3,1000,orig,-16.00000
regular,0,0,4,3,100,distant,-1.00000
regular,0,0,4,3,300,distant,-17.00000
regular,0,0,4,3,1000,distant,-16.00000
regular,0,0,4,4,100,orig,-21.00000
regular,0,0,4,4,300,orig,-22.00000
regular,0,0,4,4,1000,orig,-16.00000
regular,0,0,4,4,100,distant,-14.00000
regular,0,0,4,4,300,distant,-17.00000
regular,0,0,4,4,1000,distant,-15.00000
regular,0,0,5,0,100,orig,9.00000
regular,0,0,5,0,300,orig,14.00000
regular,0,0,5,0,1000,orig,15.00000
regular,0,0,5,0,100,distant,9.00000
regular,0,0,5,0,300,distant,14.00000
regular,0,0,5,0,1000,distant,15.00000
regular,0,0,5,1,100,orig,16.00000
regular,0,0,5,1,300,orig,16.00000
regular,0,0,5,1,1000,orig,15.00000
regular,0,0,5,1,100,distant,15.00000
regular,0,0,5,1,300,distant,15.00000
regular,0,0,5,1,1000,distant,15.00000
regular,0,0,5,2,100,orig,12.00000
regular,0,0,5,2,300,orig,15.00000
regular,0,0,5,2,1000,orig,15.00000
regular,0,0,5,2,100,distant,13.00000
regular,0,0,5,2,300,distant,16.00000
regular,0,0,5,2,1000,distant,15.00000
regular,0,0,5,3,100,orig,3.00000
regular,0,0,5,3,300,orig,14.00000
regular,0,0,5,3,1000,orig,15.00000
regular,0,0,5,3,100,distant,3.00000
regular,0,0,5,3,300,distant,14.00000
regular,0,0,5,3,1000,distant,15.00000
regular,0,0,5,4,100,orig,17.00000
regular,0,0,5,4,300,orig,15.00000
regular,0,0,5,4,1000,orig,15.00000
regular,0,0,5,4,100,distant,17.00000
regular,0,0,5,4,300,distant,15.00000
regular,0,0,5,4,1000,distant,15.00000
regular,0,0,6,0,100,orig,-4.00000
regular,0,0,6,0,300,orig,-2.00000
regular,0,0,6,0,1000,orig,-2.00000
regular,0,0,6,0,100,distant,0.00000
regular,0,0,6,0,300,distant,-1.00000
regular,0,0,6,0,1000,distant,-2.00000
regular,0,0,6,1,100,orig,0.00000
regular,0,0,6,1,300,orig,0.00000
regular,0,0,6,1,1000,orig,0.00000
regular,0,0,6,1,100,distant,0.00000
regular,0,0,6,1,300,distant,0.00000
regular,0,0,6,1,1000,distant,0.00000
regular,0,0,6,2,100,orig,0.00000
regular,0,0,6,2,300,orig,0.00000
regular,0,0,6,2,1000,orig,-2.00000
regular,0,0,6,2,100,distant,0.00000
regular,0,0,6,2,300,distant,0.00000
regular,0,0,6,2,1000,distant,-4.00000
regular,0,0,6,3,100,orig,-2.00000
regular,0,0,6,3,300,orig,-2.00000
regular,0,0,6,3,1000,orig,-2.00000
regular,0,0,6,3,100,distant,0.00000
regular,0,0,6,3,300,distant,3.00000
regular,0,0,6,3,1000,distant,-2.00000
regular,0,0,6,4,100,orig,-2.00000
regular,0,0,6,4,300,orig,-3.00000
regular,0,0,6,4,1000,orig,-2.00000
regular,0,0,6,4,100,distant,-2.00000
regular,0,0,6,4,300,distant,-3.00000
regular,0,0,6,4,1000,distant,-2.00000
regular,0,0,7,0,100,orig,0.00000
regular,0,0,7,0,300,orig,5.00000
regular,0,0,7,0,1000,orig,5.00000
regular,0,0,7,0,100,distant,0.00000
regular,0,0,7,0,300,distant,0.00000
regular,0,0,7,0,1000,distant,5.00000
regular,0,0,7,1,100,orig,0.00000
regular,0,0,7,1,300,orig,0.00000
regular,0,0,7,1,1000,orig,4.00000
regular,0,0,7,1,100,distant,0.00000
regular,0,0,7,1,300,distant,0.00000
regular,0,0,7,1,1000,distant,4.00000
regular,0,0,7,2,100,orig,3.00000
regular,0,0,7,2,300,orig,5.00000
regular,0,0,7,2,1000,orig,5.00000
regular,0,0,7,2,100,distant,3.00000
regular,0,0,7,2,300,distant,5.00000
regular,0,0,7,2,1000,distant,5.00000
regular,0,0,7,3,100,orig,0.00000
regular,0,0,7,3,300,orig,1.00000
regular,0,0,7,3,1000,orig,5.00000
regular,0,0,7,3,100,distant,1.00000
regular,0,0,7,3,300,distant,1.00000
regular,0,0,7,3,1000,distant,5.00000
regular,0,0,7,4,100,orig,2.00000
regular,0,0,7,4,300,orig,2.00000
regular,0,0,7,4,1000,orig,5.00000
regular,0,0,7,4,100,distant,0.00000
regular,0,0,7,4,300,distant,0.00000
regular,0,0,7,4,1000,distant,5.00000
regular,0,0,8,0,100,orig,8.00000
regular,0,0,8,0,300,orig,8.00000
regular,0,0,8,0,1000,orig,15.00000
regular,0,0,8,0,100,distant,0.00000
regular,0,0,8,0,300,distant,5.00000
regular,0,0,8,0,1000,distant,15.00000
regular,0,0,8,1,100,orig,1.00000
regular,0,0,8,1,300,orig,16.00000
regular,0,0,8,1,1000,orig,16.00000
regular,0,0,8,1,100,distant,0.00000
regular,0,0,8,1,300,distant,16.00000
regular,0,0,8,1,1000,distant,16.00000
regular,0,0,8,2,100,orig,13.00000
regular,0,0,8,2,300,orig,16.00000
regular,0,0,8,2,1000,orig,16.00000
regular,0,0,8,2,100,distant,11.00000
regular,0,0,8,2,300,distant,15.00000
regular,0,0,8,2,1000,distant,15.00000
regular,0,0,8,3,100,orig,0.00000
regular,0,0,8,3,300,orig,16.00000
regular,0,0,8,3,1000,orig,16.00000
regular,0,0,8,3,100,distant,0.00000
regular,0,0,8,3,300,distant,0.00000
regular,0,0,8,3,1000,distant,16.00000
regular,0,0,8,4,100,orig,1.00000
regular,0,0,8,4,300,orig,1.00000
regular,0,0,8,4,1000,orig,16.00000
regular,0,0,8,4,100,distant,0.00000
regular,0,0,8,4,300,distant,16.00000
regular,0,0,8,4,1000,distant,16.00000
regular,0,0,9,0,100,orig,11.00000
regular,0,0,9,0,300,orig,31.00000
regular,0,0,9,0,1000,orig,32.00000
regular,0,0,9,0,100,distant,4.00000
regular,0,0,9,0,300,distant,32.00000
regular,0,0,9,0,1000,distant,32.00000
regular,0,0,9,1,100,orig,0.00000
regular,0,0,9,1,300,orig,19.00000
regular,0,0,9,1,1000,orig,32.00000
regular,0,0,9,1,100,distant,26.00000
regular,0,0,9,1,300,distant,30.00000
regular,0,0,9,1,1000,distant,32.00000
regular,0,0,9,2,100,orig,21.00000
regular,0,0,9,2,300,orig,30.00000
regular,0,0,9,2,1000,orig,32.00000
regular,0,0,9,2,100,distant,21.00000
regular,0,0,9,2,300,distant,30.00000
regular,0,0,9,2,1000,distant,32.00000
regular,0,0,9,3,100,orig,7.00000
regular,0,0,9,3,300,orig,7.00000
regular,0,0,9,3,1000,orig,32.00000
regular,0,0,9,3,100,distant,7.00000
regular,0,0,9,3,300,distant,7.00000
regular,0,0,9,3,1000,distant,32.00000
regular,0,0,9,4,100,orig,0.00000
regular,0,0,9,4,300,orig,22.00000
regular,0,0,9,4,1000,orig,32.00000
regular,0,0,9,4,100,distant,0.00000
regular,0,0,9,4,300,distant,22.00000
regular,0,0,9,4,1000,distant,32.00000
regular,0,0,10,0,100,orig,1.00000
regular,0,0,10,0,300,orig,2.00000
regular,0,0,10,0,1000,orig,2.00000
regular,0,0,10,0,100,distant,1.00000
