substrate,threshold,n_near_loops_mean,mean_perp_residue,median_perp_residue
AB_N30,1.0,8.1,0.5278494202412093,0.35996806421002425
AB_N30,2.0,33.5,0.9789978678785394,0.9813815637385662
AB_N30,3.0,49.6,1.036834488147003,1.0085426092157657
Penrose_N24,1.0,5.1,0.4844247218770418,0.13901481600297738
Penrose_N24,2.0,30.9,1.047383097919527,1.041916944870221
Penrose_N24,3.0,40.6,1.0812933530497177,1.085337161249978
