substrate,seed,threshold,walker_id,phys_return_dist,perp_residue,signed_perp_x,signed_perp_y,loop_area,start_depth,min_depth_visited,mean_depth_visited,visited_shallow,start_texture
AB_N30,0,1.0,270,0.0,0.0,0.0,1.1102230246251565e-16,136.78174593039873,0.14971821061479695,0.0521053061086475,0.4785340140450202,True,-0.7120184531486505
AB_N30,0,1.0,521,0.0,0.0,8.881784197001252e-16,2.220446049250313e-16,129.58935777537783,0.15153387159242437,0.042983235987749,0.48579958235926785,True,3.217254477571213
AB_N30,0,1.0,588,0.0,0.0,2.220446049250313e-16,-4.440892098500626e-16,29.778174593822257,0.4164692453883334,0.010522931577144679,0.4693384768429218,True,-0.6601627276640926
AB_N30,0,1.0,957,0.0,0.0,2.220446049250313e-16,0.0,27.970562749124923,0.25604980982671244,0.04574436631360135,0.47324632310912407,True,1.28094180564957
AB_N30,0,1.0,2394,0.7653668647374569,1.84775906504015,0.7071067812000014,-1.707106781200001,24.202795794272603,0.42628013858681724,0.024188640960717378,0.47883908527696534,True,-0.6601627276640926
AB_N30,0,1.0,3539,0.7653668647374647,1.84775906504015,-0.7071067811999989,-1.707106781200001,168.13529932099686,0.26716169676590396,0.007552027041436871,0.48017327413891175,True,-0.7120184531486505
AB_N30,0,1.0,4800,0.0,0.0,9.992007221626409e-16,2.220446049250313e-16,38.33452377856969,0.09198475769905878,0.003269900366847822,0.46761564468420225,True,-0.6601627276640926
AB_N30,0,1.0,6532,0.7653668647374599,1.84775906504015,1.7071067812000005,-0.7071067812,150.2566196648707,0.46782117773534937,0.00013626652507470194,0.4880780121756097,True,-0.6601627276640926
AB_N30,0,1.0,6754,0.7653668647374583,1.84775906504015,1.7071067812000005,-0.7071067811999998,57.516504293945154,0.3199066042440569,0.02573842920064362,0.48118289161403105,True,-0.6601627276640926
AB_N30,0,1.0,7440,0.7653668647374634,1.84775906504015,-0.7071067811999998,-1.7071067812000005,137.82159082185734,0.2533278422456552,0.03398175201137421,0.4754889839838511,True,-0.7120184531486505
AB_N30,0,1.0,9137,0.0,0.0,0.0,-4.440892098500626e-16,68.69848480899579,0.35993860381408205,0.036883927351446744,0.4781460149719608,True,-0.6601627276640926
AB_N30,0,1.0,9291,0.0,0.0,-2.220446049250313e-16,0.0,116.86143571325479,0.6677503112936005,0.07778840713076596,0.49249294788420994,True,0.6902597825196508
AB_N30,0,1.0,9787,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,103.15432893251665,0.5448736320029753,0.05224440377692352,0.4864331986379408,True,-0.6601627276640926
AB_N30,0,1.0,11387,0.0,0.0,1.1102230246251565e-16,0.0,1.1213203428397946,0.4954594851791796,0.021022979845770395,0.4843735210260973,True,0.8964860929806059
AB_N30,0,1.0,14109,0.0,0.0,0.0,2.220446049250313e-16,21.02081527915891,0.138814954085135,0.04539739194553016,0.48132002395748696,True,1.28094180564957
AB_N30,0,1.0,14761,0.0,0.0,0.0,6.661338147750939e-16,77.35533905951169,0.19699244611636124,0.042983235987749,0.4798918615865826,True,-0.7120184531486505
AB_N30,0,1.0,15320,0.7653668647374604,1.84775906504015,-0.7071067812,-1.7071067811999994,112.09366876020475,0.08719016962495896,0.017568767024822574,0.4930648302712086,True,-0.7120184531486505
AB_N30,0,1.0,15502,0.0,0.0,2.220446049250313e-16,-1.1102230246251565e-16,262.107647738627,0.1737526418450005,0.028738456943256274,0.4764805971724839,True,-0.7120184530613121
AB_N30,0,1.0,16169,0.7653668647374614,1.84775906504015,-1.7071067811999998,-0.7071067812000003,338.23075375026644,0.4164342666458162,0.026076132131182872,0.47786993406396605,True,-0.7120184531486505
