substrate,seed,threshold,n_walkers,n_near_loops,mean_perp_residue,median_perp_residue,std_perp_residue,mean_signed_perp_x,mean_signed_perp_y,mean_loop_area,median_loop_area,spearman_area_vs_residue,spearman_area_vs_residue_p,spearman_start_depth_vs_residue,spearman_min_depth_vs_residue,mean_residue_deep_start,mean_residue_shallow_start,mean_residue_visited_shallow,mean_residue_not_visited_shallow,spearman_pathlen_vs_residue,control
AB_N30,0,1.0,20000,24,0.6159196883428671,0.0,0.8710419765870927,-0.058925565095833125,-0.40236892706666677,104.8023613427318,107.6239988463607,0.28313397966197995,0.18003522924518622,0.09490524457943464,-0.3702914851721165,0.7698996104256969,0.4619397662600375,0.6159196883428671,,,real
AB_N30,0,2.0,20000,123,0.9541750537351089,0.76536686473746,0.5471187385212288,0.07177583027886192,0.013470359754471518,108.23869993765032,96.92640687131984,0.21366204329011657,0.017648953950950518,-0.14613198296250754,-0.1716694869086854,0.9129965863729378,0.9960285779392827,0.9541750537351089,,,real
AB_N30,0,3.0,20000,205,1.0846698106619885,1.08239220030269,0.5197900066836305,0.07494615136780497,0.011531517223414611,105.09980433431663,83.80508652751439,0.1285260099307764,0.06627124517030926,-0.22168469758028403,-0.09499213484424975,0.995165619718086,1.1750514936739684,1.0846698106619885,,,real
AB_N30,1,1.0,20000,22,0.8398904841074196,0.0,0.9200539279591359,-0.52985701135,0.09090909090909106,123.62385043932926,92.25483399687786,0.05028802643864418,0.8241242811468141,-0.11251945915646636,0.03901730785754092,0.6719123872873273,1.007868580927512,0.8398904841074196,,,real
AB_N30,1,2.0,20000,116,1.0559142177306042,0.7653668647757284,0.542159607343703,-0.0933485096982758,-0.01933310937068961,106.41621783704821,79.24442635681311,0.02586823956695649,0.7828258522659025,-0.3384594057462427,0.012328619571549354,0.9174568885179393,1.1943715469432687,1.0559142177306042,,,real
AB_N30,1,3.0,20000,174,1.1170800960942844,1.08239220030269,0.49841256781071824,-0.05213257363275854,-0.05689364906149419,105.68339940238512,81.68376618428968,0.018349557680595648,0.8100799395162814,-0.3390748602400371,-0.0244493522940193,0.9475527464600205,1.2866074457285483,1.1170800960942844,,,real
AB_N30,2,1.0,20000,20,1.016267485764429,1.8477590650018816,0.9192485282504885,-0.08535533905999988,0.2060660171800001,122.31274432800697,114.45242597105094,-0.06953824256347442,0.7708119979052732,-0.3622457287027505,0.37817794567373464,0.7391036260122332,1.2934313455166246,1.016267485764429,,,real
AB_N30,2,2.0,20000,126,1.0483682284421947,0.76536686473746,0.5174317325356627,0.11592541045555578,-0.038719679816666616,110.09324401872314,93.911688245572,0.009451064358964388,0.916349639871362,-0.2908782812217836,0.1131181153297179,0.9156854056435574,1.1810510512408308,1.0483682284421947,,,real
AB_N30,2,3.0,20000,191,1.1013430993022484,1.08239220030269,0.4670635619194102,0.15358389412879597,-0.04468865919581144,112.48419216659964,95.27564927562582,0.051940624332843834,0.4754723847922043,-0.31148765864669403,0.08886929498825076,0.9743587433199892,1.2296641327159001,1.1013430993022484,,,real
AB_N30,3,1.0,20000,12,1.0778594545990554,1.847759064993956,0.9109575040537499,-0.3089255651,0.058925565108333335,92.63785016905517,56.78427124737931,-0.36192673327519337,0.24765755122618063,-0.4297879957642921,0.54289009991279,0.923879532520075,1.2318393766780353,1.0778594545990554,,,real
