linger_steps,max_consecutive_linger,min_idx,excursion,start_depth,min_depth,final_residue,residue_at_min,substrate,seed,threshold
29,1,142,0.3169755378887372,0.38233851143050523,0.06536297354176801,0.76536686473746,1.0982079768925375,AB_N30,0,3.0
26,3,792,0.2865534561403992,0.32210855095220225,0.03555509481180308,0.76536686473746,2.415259356376103,AB_N30,0,3.0
15,4,772,0.294096641089727,0.3199066042440569,0.02580996315432993,1.4142135624,0.7279220613703924,AB_N30,0,3.0
38,3,821,0.49802304873168357,0.5154707271127321,0.017447678381048548,0.76536686473746,0.8801154785103381,AB_N30,0,3.0
52,3,1020,0.5964921492818814,0.6403492313010327,0.04385708201915128,1.08239220030269,1.7114123372788472,AB_N30,0,3.0
12,4,619,0.20888655323616812,0.22737754151640566,0.01849098828023754,2.141444941474327,1.9352431381732993,AB_N30,0,3.0
16,1,210,0.23144908922095486,0.2998901494289925,0.06844106020803764,1.4142135624,1.455248778026662,AB_N30,0,3.0
9,4,754,0.18434250979255284,0.21038900285845485,0.02604649306590201,1.08239220030269,0.7765503076910533,AB_N30,0,3.0
45,3,907,0.5567505036046094,0.5643521852695933,0.0076016816649838725,1.4142135624,1.707846269245294,AB_N30,0,3.0
53,3,400,0.44839221158978815,0.49594187500427667,0.04754966341448852,1.4142135623730951,2.1558338371763437,AB_N30,0,3.0
48,2,846,0.42540084711445825,0.49931473069512,0.07391388358066175,1.84775906504015,1.8747582845999373,AB_N30,0,3.0
24,1,320,0.27667883563401807,0.31728312469815945,0.040604289064141375,2.141444941537851,2.141444941537851,AB_N30,0,3.0
51,2,443,0.6073995554791298,0.6258697476338431,0.01847019215471324,0.0,1.765714871097586,AB_N30,0,3.0
80,4,968,0.665403679080422,0.6829724461052445,0.017568767024822574,0.76536686473746,1.8747582845835908,AB_N30,0,3.0
53,3,627,0.3583020407695081,0.40974725215152763,0.05144521138201952,0.76536686473746,1.7320508075798613,AB_N30,0,3.0
112,6,293,0.671698869807472,0.7084837138376777,0.036784844030205766,1.0823922002644217,1.0290162792863677,AB_N30,0,3.0
25,1,592,0.3023185346899141,0.3478135902777585,0.04549505558784439,0.0,2.0,AB_N30,0,3.0
2,1,530,0.20575301999214513,0.23149144919278875,0.02573842920064362,1.08239220030269,0.34314575049999996,AB_N30,0,3.0
128,5,437,0.7186288463510064,0.779489540105934,0.06086069375492753,1.08239220030269,1.2985728708818178,AB_N30,0,3.0
3,1,23,0.16493894205080406,0.19367739899406033,0.028738456943256274,0.765366864645072,1.919971744795951,AB_N30,0,3.0
77,4,777,0.635813849100637,0.666035223692504,0.030221374591867023,0.0,1.4653280375698314,AB_N30,0,3.0
10,3,578,0.28043596222597467,0.30135827400108883,0.020922311775114166,0.0,2.0419306633709575,AB_N30,0,3.0
38,4,944,0.45275877058275904,0.49574200657050804,0.042983235987749,0.76536686473746,0.8870155378247014,AB_N30,0,3.0
19,3,549,0.18187503565854202,0.21861749801825536,0.036742462359713346,0.765366864645072,0.6103957749646056,AB_N30,0,3.0
58,4,326,0.5687168505885548,0.6013691907737928,0.032652340185237994,0.0,1.7740310756494029,AB_N30,0,3.0
37,6,904,0.4234099914106655,0.42665941319749856,0.0032494217868330733,0.76536686473746,1.0982079770550277,AB_N30,0,3.0
81,9,359,0.6257201414302939,0.6497363800551681,0.02401623862487423,0.76536686473746,0.9262096826393084,AB_N30,0,3.0
