substrate,threshold,biggest_drop_from,biggest_drop_to,drop_magnitude,residue_before,residue_after
AB_N30,2.0,80-159,160-319,-0.3608513967366887,0.7435348291054187,0.38268343236873
AB_N30,3.0,40-79,80-159,-0.17043165127514093,1.0173087459740167,0.8468770946988757
Penrose_N24,2.0,20-39,40-79,-0.15909753532382975,1.010587849617269,0.8514903142934394
Penrose_N24,3.0,80-159,160-319,-0.25868254839252036,0.8767165371408396,0.6180339887483193
