model,seed,history,checkpoint,delta,M_measured
Fixed,185,A,0,0.001,0
Fixed,186,A,0,0.001,0
Fixed,187,A,0,0.001,0
Fixed,188,A,0,0.001,0
Fixed,189,A,0,0.001,0
Fixed,190,A,0,0.001,0
Fixed,191,A,0,0.001,0
Fixed,192,A,0,0.001,0
Fixed,193,A,0,0.001,0
Fixed,194,A,0,0.001,0
Fixed,195,A,0,0.001,0
Fixed,196,A,0,0.001,0
Fixed,197,A,0,0.001,0
Fixed,198,A,0,0.001,0
Fixed,199,A,0,0.001,0
Fixed,0,A,0,0.01,0
Fixed,1,A,0,0.01,0
Fixed,2,A,0,0.01,0
Fixed,3,A,0,0.01,0
Fixed,4,A,0,0.01,0
Fixed,5,A,0,0.01,0
Fixed,6,A,0,0.01,0
Fixed,7,A,0,0.01,0
Fixed,8,A,0,0.01,0
Fixed,9,A,0,0.01,0
Fixed,10,A,0,0.01,0
Fixed,11,A,0,0.01,0
Fixed,12,A,0,0.01,0
Fixed,13,A,0,0.01,0
Fixed,14,A,0,0.01,0
Fixed,15,A,0,0.01,0
Fixed,16,A,0,0.01,0
Fixed,17,A,0,0.01,0
Fixed,18,A,0,0.01,0
Fixed,19,A,0,0.01,0
Fixed,20,A,0,0.01,0
Fixed,21,A,0,0.01,0
Fixed,22,A,0,0.01,0
Fixed,23,A,0,0.01,0
Fixed,24,A,0,0.01,0
Fixed,25,A,0,0.01,0
Fixed,26,A,0,0.01,0
Fixed,27,A,0,0.01,0
Fixed,28,A,0,0.01,0
Fixed,29,A,0,0.01,0
Fixed,30,A,0,0.01,0
Fixed,31,A,0,0.01,0
Fixed,32,A,0,0.01,0
Fixed,33,A,0,0.01,0
Fixed,34,A,0,0.01,0
Fixed,35,A,0,0.01,0
Fixed,36,A,0,0.01,0
Fixed,37,A,0,0.01,0
Fixed,38,A,0,0.01,0
Fixed,39,A,0,0.01,0
Fixed,40,A,0,0.01,0
Fixed,41,A,0,0.01,0
Fixed,42,A,0,0.01,0
