model,checkpoint,delta,auc,paired_frac,tie_frac,signed_sep,balanced_acc
Reinforced,5000,0.001,0.6148,0.6350,0.0000,3.419710,0.6138
Reinforced,5000,0.01,0.6147,0.6325,0.0050,3.417100,0.6125
Reinforced,5000,0.1,0.6144,0.6350,0.0100,3.395000,0.6138
Reinforced,5000,0.5,0.6126,0.6225,0.0550,3.325000,0.6062
Reinforced,5000,1.0,0.6080,0.6125,0.0650,3.255000,0.5850
Reinforced,10000,0.0,0.5622,0.5900,0.0000,-0.047507,0.5725
Reinforced,10000,0.001,0.4953,0.5000,0.7200,-0.047510,0.4975
Reinforced,10000,0.01,0.5021,0.5050,0.8500,-0.047500,0.5012
Reinforced,10000,0.1,0.4879,0.4900,0.9100,-0.048000,0.4938
Reinforced,10000,0.5,0.4951,0.4975,0.9350,-0.042500,0.4975
Reinforced,10000,1.0,0.4975,0.4975,0.9450,-0.045000,0.4988
Growing,0,0.0,1.0000,1.0000,0.0000,168.000000,1.0000
Growing,0,0.001,1.0000,1.0000,0.0000,168.000000,1.0000
Growing,0,0.01,1.0000,1.0000,0.0000,168.160000,1.0000
Growing,0,0.1,1.0000,1.0000,0.0000,168.800000,1.0000
Growing,0,0.5,1.0000,1.0000,0.0000,172.000000,1.0000
Growing,0,1.0,1.0000,1.0000,0.0000,156.000000,1.0000
Growing,100,0.0,0.9900,0.9900,0.0000,191.352851,0.9575
Growing,100,0.001,0.9900,0.9900,0.0000,191.355290,0.9575
Growing,100,0.01,0.9901,0.9900,0.0000,191.429900,0.9575
Growing,100,0.1,0.9901,0.9900,0.0000,191.789000,0.9575
Growing,100,0.5,0.9902,0.9900,0.0000,193.900000,0.9600
Growing,100,1.0,0.9855,0.9900,0.0000,188.510000,0.9450
Growing,200,0.0,0.9535,0.9350,0.0000,202.930658,0.8900
Growing,200,0.001,0.9535,0.9350,0.0000,202.932790,0.8900
Growing,200,0.01,0.9535,0.9350,0.0000,202.988600,0.8900
Growing,200,0.1,0.9535,0.9350,0.0000,203.308000,0.8900
Growing,200,0.5,0.9534,0.9350,0.0000,205.210000,0.8900
Growing,200,1.0,0.9474,0.9275,0.0050,201.865000,0.8850
Growing,400,0.0,0.9076,0.9050,0.0000,216.264138,0.8050
Growing,400,0.001,0.9076,0.9050,0.0000,216.265920,0.8050
Growing,400,0.01,0.9076,0.9050,0.0000,216.308150,0.8050
Growing,400,0.1,0.9075,0.9050,0.0000,216.608500,0.8037
Growing,400,0.5,0.9074,0.9050,0.0000,218.187500,0.8050
Growing,400,1.0,0.9010,0.9000,0.0000,216.235000,0.7925
Growing,1000,0.0,0.8109,0.8350,0.0000,188.110321,0.7425
Growing,1000,0.001,0.8109,0.8350,0.0000,188.110975,0.7425
Growing,1000,0.01,0.8109,0.8350,0.0000,188.132450,0.7425
Growing,1000,0.1,0.8107,0.8350,0.0000,188.236500,0.7425
Growing,1000,0.5,0.8110,0.8375,0.0050,188.820000,0.7412
Growing,1000,1.0,0.8071,0.8300,0.0000,187.385000,0.7350
Growing,2000,0.0,0.7603,0.7600,0.0000,133.392848,0.6975
Growing,2000,0.001,0.7603,0.7600,0.0000,133.393315,0.6975
Growing,2000,0.01,0.7603,0.7600,0.0000,133.403650,0.6975
Growing,2000,0.1,0.7603,0.7600,0.0000,133.324000,0.6950
Growing,2000,0.5,0.7592,0.7575,0.0050,132.640000,0.6987
Growing,2000,1.0,0.7582,0.7650,0.0000,131.525000,0.7037
Growing,5000,0.0,0.7060,0.6950,0.0000,31.983764,0.6300
Growing,5000,0.001,0.7060,0.6950,0.0000,31.982720,0.6300
Growing,5000,0.01,0.7059,0.6950,0.0000,31.969150,0.6300
Growing,5000,0.1,0.7060,0.6900,0.0000,31.838500,0.6300
Growing,5000,0.5,0.7048,0.6900,0.0000,31.347500,0.6325
Growing,5000,1.0,0.7043,0.6975,0.0050,30.550000,0.6300
Growing,10000,0.0,0.6256,0.6350,0.0000,1.719855,0.6075
Growing,10000,0.001,0.6256,0.6350,0.0000,1.719745,0.6088
Growing,10000,0.01,0.6256,0.6325,0.0050,1.718250,0.6100
Growing,10000,0.1,0.6220,0.6250,0.0100,1.696500,0.6025
Growing,10000,0.5,0.6151,0.6275,0.0750,1.630000,0.5925
Growing,10000,1.0,0.6134,0.6150,0.1200,1.620000,0.5875
Growing-MatchedControl,0,0.0,1.0000,1.0000,0.0000,140.000000,1.0000
Growing-MatchedControl,0,0.001,1.0000,1.0000,0.0000,140.000000,1.0000
Growing-MatchedControl,0,0.01,1.0000,1.0000,0.0000,140.160000,1.0000
Growing-MatchedControl,0,0.1,1.0000,1.0000,0.0000,140.800000,1.0000
Growing-MatchedControl,0,0.5,1.0000,1.0000,0.0000,144.000000,1.0000
Growing-MatchedControl,0,1.0,1.0000,1.0000,0.0000,128.000000,1.0000
Growing-MatchedControl,100,0.0,0.9791,0.9800,0.0000,145.859025,0.9125
Growing-MatchedControl,100,0.001,0.9791,0.9800,0.0000,145.860920,0.9125
Growing-MatchedControl,100,0.01,0.9793,0.9800,0.0000,145.938000,0.9125
Growing-MatchedControl,100,0.1,0.9791,0.9750,0.0000,146.265000,0.9125
Growing-MatchedControl,100,0.5,0.9791,0.9825,0.0050,148.175000,0.9138
Growing-MatchedControl,100,1.0,0.9670,0.9600,0.0000,140.795000,0.8962
Growing-MatchedControl,200,0.0,0.8817,0.9150,0.0000,133.509212,0.7850
Growing-MatchedControl,200,0.001,0.8817,0.9150,0.0000,133.510955,0.7850
Growing-MatchedControl,200,0.01,0.8818,0.9150,0.0000,133.566350,0.7850
Growing-MatchedControl,200,0.1,0.8815,0.9150,0.0000,133.742000,0.7850
Growing-MatchedControl,200,0.5,0.8812,0.9125,0.0050,135.180000,0.7850
Growing-MatchedControl,200,1.0,0.8644,0.8850,0.0000,129.370000,0.7650
Growing-MatchedControl,400,0.0,0.7664,0.7950,0.0000,112.401194,0.6900
Growing-MatchedControl,400,0.001,0.7664,0.7950,0.0000,112.402305,0.6900
Growing-MatchedControl,400,0.01,0.7665,0.7950,0.0000,112.435950,0.6900
Growing-MatchedControl,400,0.1,0.7663,0.7950,0.0000,112.491000,0.6900
Growing-MatchedControl,400,0.5,0.7653,0.7950,0.0000,113.027500,0.6913
Growing-MatchedControl,400,1.0,0.7544,0.7750,0.0100,109.245000,0.6775
Growing-MatchedControl,1000,0.0,0.6503,0.7100,0.0000,64.620305,0.6050
Growing-MatchedControl,1000,0.001,0.6503,0.7100,0.0000,64.620540,0.6050
Growing-MatchedControl,1000,0.01,0.6504,0.7100,0.0000,64.630200,0.6050
Growing-MatchedControl,1000,0.1,0.6501,0.7100,0.0000,64.545000,0.6050
Growing-MatchedControl,1000,0.5,0.6489,0.6975,0.0050,64.145000,0.6062
Growing-MatchedControl,1000,1.0,0.6454,0.7075,0.0050,62.315000,0.5950
Growing-MatchedControl,2000,0.0,0.5887,0.5900,0.0000,29.755567,0.5675
Growing-MatchedControl,2000,0.001,0.5887,0.5900,0.0000,29.755065,0.5675
Growing-MatchedControl,2000,0.01,0.5886,0.5900,0.0000,29.747400,0.5675
Growing-MatchedControl,2000,0.1,0.5881,0.5850,0.0000,29.608500,0.5675
Growing-MatchedControl,2000,0.5,0.5874,0.5850,0.0000,29.172500,0.5662
Growing-MatchedControl,2000,1.0,0.5865,0.5850,0.0000,28.565000,0.5625
Growing-MatchedControl,5000,0.0,0.5621,0.5450,0.0000,5.759809,0.5475
Growing-MatchedControl,5000,0.001,0.5620,0.5450,0.0000,5.758975,0.5475
Growing-MatchedControl,5000,0.01,0.5619,0.5450,0.0000,5.751900,0.5475
Growing-MatchedControl,5000,0.1,0.5614,0.5425,0.0050,5.694000,0.5450
Growing-MatchedControl,5000,0.5,0.5617,0.5450,0.0100,5.630000,0.5500
Growing-MatchedControl,5000,1.0,0.5595,0.5575,0.0050,5.270000,0.5425
Growing-MatchedControl,10000,0.0,0.5310,0.5250,0.0000,0.461165,0.5225
Growing-MatchedControl,10000,0.001,0.5310,0.5275,0.0050,0.461010,0.5300
Growing-MatchedControl,10000,0.01,0.5311,0.5250,0.0000,0.461200,0.5325
Growing-MatchedControl,10000,0.1,0.5317,0.5275,0.0150,0.463000,0.5262
Growing-MatchedControl,10000,0.5,0.5306,0.5325,0.0950,0.430000,0.5225
Growing-MatchedControl,10000,1.0,0.5276,0.5150,0.1400,0.435000,0.5200
